workerid,gender,language,income,age,order,featureID,feature,animal
4,M,english,6,25,13,22,friendly,dog
4,M,english,6,25,14,24,loud,elephant
5,M,English,4,35,1,21,loyal,dog
5,M,English,4,35,2,24,loud,dog
5,M,English,4,35,3,22,friendly,cat
5,M,English,4,35,4,23,playful,dog
5,M,English,4,35,5,17,busy,bee
5,M,English,4,35,6,25,happy,dog
5,M,English,4,35,7,26,slithery,snake
5,M,English,4,35,8,28,hairy,dog
5,M,English,4,35,9,27,dumb,platypus
5,M,English,4,35,10,19,sleek,otter
5,M,English,4,35,11,29,striped,zebra
5,M,English,4,35,12,18,proud,lion
5,M,English,4,35,13,20,lazy,cat
5,M,English,4,35,14,16,quiet,cat
6,F,English,4,45,1,29,striped,skunk
6,F,English,4,45,2,24,loud,dog
6,F,English,4,45,3,16,quiet,mouse
6,F,English,4,45,4,17,busy,bee
6,F,English,4,45,5,23,playful,cat
6,F,English,4,45,6,28,hairy,monkey
6,F,English,4,45,7,21,loyal,dog
6,F,English,4,45,8,26,slithery,snake
6,F,English,4,45,9,20,lazy,sloth
6,F,English,4,45,10,22,friendly,dog
6,F,English,4,45,11,18,proud,elephant
6,F,English,4,45,12,19,sleek,horse
6,F,English,4,45,13,27,dumb,pigeon
6,F,English,4,45,14,25,happy,dog
7,F,english,4,45,1,23,playful,kitten
7,F,english,4,45,2,29,striped,tiger
7,F,english,4,45,3,24,loud,dog
7,F,english,4,45,4,28,hairy,gorilla
7,F,english,4,45,5,22,friendly,horse
7,F,english,4,45,6,25,happy,rabbit
7,F,english,4,45,7,27,dumb,mosquito
7,F,english,4,45,8,21,loyal,ant
7,F,english,4,45,9,26,slithery,snail
7,F,english,4,45,10,19,sleek,snake
7,F,english,4,45,11,20,lazy,cat
7,F,english,4,45,12,17,busy,camel
7,F,english,4,45,13,18,proud,lion
7,F,english,4,45,14,16,quiet,fish
8,M,english,4,25,1,27,dumb,dog
8,M,english,4,25,2,25,happy,dog
8,M,english,4,25,3,16,quiet,cat
8,M,english,4,25,4,26,slithery,snake
8,M,english,4,25,5,28,hairy,rat
8,M,english,4,25,6,29,striped,zebra
8,M,english,4,25,7,19,sleek,eel
8,M,english,4,25,8,21,loyal,dog
8,M,english,4,25,9,23,playful,dog
8,M,english,4,25,10,18,proud,dog
8,M,english,4,25,11,20,lazy,cat
8,M,english,4,25,12,24,loud,dog
8,M,english,4,25,13,17,busy,horse
8,M,english,4,25,14,22,friendly,dog
9,M,English,6,35,1,17,busy,hummingbird
9,M,English,6,35,2,20,lazy,dog
9,M,English,6,35,3,22,friendly,dog
9,M,English,6,35,4,24,loud,lion
9,M,English,6,35,5,19,sleek,cheetah
9,M,English,6,35,6,26,slithery,snake
9,M,English,6,35,7,29,striped,zebra
9,M,English,6,35,8,25,happy,dolphin
9,M,English,6,35,9,28,hairy,monkey
9,M,English,6,35,10,16,quiet,lizard
9,M,English,6,35,11,27,dumb,alligator
9,M,English,6,35,12,18,proud,lion
9,M,English,6,35,13,21,loyal,dog
9,M,English,6,35,14,23,playful,dog
10,F,english,6,35,1,28,hairy,bear
10,F,english,6,35,2,25,happy,dog
10,F,english,6,35,3,22,friendly,dog
10,F,english,6,35,4,29,striped,zebra
10,F,english,6,35,5,17,busy,ant
10,F,english,6,35,6,27,dumb,mouse
10,F,english,6,35,7,21,loyal,dog
10,F,english,6,35,8,18,proud,cat
10,F,english,6,35,9,19,sleek,snake
10,F,english,6,35,10,16,quiet,mouse
10,F,english,6,35,11,23,playful,dog
10,F,english,6,35,12,20,lazy,cat
10,F,english,6,35,13,24,loud,bird
10,F,english,6,35,14,26,slithery,snake
11,M,english,4,35,1,25,happy,rabbit
11,M,english,4,35,2,28,hairy,dog
11,M,english,4,35,3,20,lazy,cat
11,M,english,4,35,4,23,playful,dog
11,M,english,4,35,5,24,loud,lion
11,M,english,4,35,6,22,friendly,dog
11,M,english,4,35,7,17,busy,beaver
11,M,english,4,35,8,18,proud,lion
11,M,english,4,35,9,26,slithery,snake
11,M,english,4,35,10,27,dumb,hippo
11,M,english,4,35,11,21,loyal,dog
11,M,english,4,35,12,19,sleek,cat
11,M,english,4,35,13,29,striped,tiger
11,M,english,4,35,14,16,quiet,mouse
12,M,English,4,65,1,28,hairy,beaver
12,M,English,4,65,2,29,striped,skunk
12,M,English,4,65,3,25,happy,dog
12,M,English,4,65,4,26,slithery,snake
12,M,English,4,65,5,21,loyal,dog
12,M,English,4,65,6,23,playful,cat
12,M,English,4,65,7,19,sleek,cat
12,M,English,4,65,8,18,proud,wolf
12,M,English,4,65,9,20,lazy,cat
12,M,English,4,65,10,16,quiet,cat
12,M,English,4,65,11,17,busy,beaver
12,M,English,4,65,12,22,friendly,dog
12,M,English,4,65,13,27,dumb,chicken
12,M,English,4,65,14,24,loud,bird
13,M,English,4,55,1,25,happy,puppy
13,M,English,4,55,2,19,sleek,gazelle
13,M,English,4,55,3,22,friendly,panda
13,M,English,4,55,4,26,slithery,eel
13,M,English,4,55,5,29,striped,zebra
13,M,English,4,55,6,27,dumb,fish
13,M,English,4,55,7,24,loud,lion
13,M,English,4,55,8,28,hairy,ape
13,M,English,4,55,9,16,quiet,snail
13,M,English,4,55,10,20,lazy,sloth
13,M,English,4,55,11,18,proud,peacock
13,M,English,4,55,12,17,busy,bee
13,M,English,4,55,13,21,loyal,dog
13,M,English,4,55,14,23,playful,kitten
14,F,english,4,45,1,17,busy,chipmunk
14,F,english,4,45,2,21,loyal,dog
14,F,english,4,45,3,16,quiet,hamster
14,F,english,4,45,4,23,playful,cat
14,F,english,4,45,5,22,friendly,cat
14,F,english,4,45,6,19,sleek,fish
14,F,english,4,45,7,29,striped,tiger
14,F,english,4,45,8,26,slithery,sloth
14,F,english,4,45,9,27,dumb,cow
14,F,english,4,45,10,24,loud,elephant
14,F,english,4,45,11,28,hairy,monkey
14,F,english,4,45,12,20,lazy,orangatang
14,F,english,4,45,13,18,proud,eagle
14,F,english,4,45,14,25,happy,squirrel
15,M,English,6,45,1,17,busy,beaver
15,M,English,6,45,2,28,hairy,buffalo
15,M,English,6,45,3,27,dumb,lemming
15,M,English,6,45,4,18,proud,lion
15,M,English,6,45,5,29,striped,zebra
15,M,English,6,45,6,23,playful,cat
15,M,English,6,45,7,21,loyal,dog
15,M,English,6,45,8,19,sleek,tiger
15,M,English,6,45,9,20,lazy,sloth
15,M,English,6,45,10,16,quiet,lizard
15,M,English,6,45,11,22,friendly,monkey
15,M,English,6,45,12,24,loud,cat
15,M,English,6,45,13,26,slithery,snake
15,M,English,6,45,14,25,happy,dog
16,F,English,0,55,1,20,lazy,sloth
16,F,English,0,55,2,22,friendly,dog
16,F,English,0,55,3,26,slithery,snake
16,F,English,0,55,4,18,proud,lion
16,F,English,0,55,5,25,happy,dog
16,F,English,0,55,6,19,sleek,cougar
16,F,English,0,55,7,16,quiet,mouse
16,F,English,0,55,8,24,loud,crow
16,F,English,0,55,9,21,loyal,dog
16,F,English,0,55,10,23,playful,dog
16,F,English,0,55,11,28,hairy,cat
16,F,English,0,55,12,17,busy,bee
16,F,English,0,55,13,29,striped,zebra
16,F,English,0,55,14,27,dumb,bear
17,M,English,4,25,1,20,lazy,sloth
17,M,English,4,25,2,19,sleek,fish
17,M,English,4,25,3,27,dumb,cow
17,M,English,4,25,4,21,loyal,dog
17,M,English,4,25,5,24,loud,lion
17,M,English,4,25,6,25,happy,dog
17,M,English,4,25,7,29,striped,zebra
17,M,English,4,25,8,22,friendly,dog
17,M,English,4,25,9,28,hairy,dog
17,M,English,4,25,10,18,proud,cat
17,M,English,4,25,11,16,quiet,fish
17,M,English,4,25,12,26,slithery,snake
17,M,English,4,25,13,23,playful,dog
17,M,English,4,25,14,17,busy,bee
18,M,English,6,35,1,21,loyal,dog
18,M,English,6,35,2,23,playful,cat
18,M,English,6,35,3,24,loud,dog
18,M,English,6,35,4,20,lazy,bassethounds
18,M,English,6,35,5,28,hairy,bears
18,M,English,6,35,6,25,happy,dog
18,M,English,6,35,7,27,dumb,donkey
18,M,English,6,35,8,18,proud,cat
18,M,English,6,35,9,26,slithery,snake
18,M,English,6,35,10,22,friendly,dog
18,M,English,6,35,11,19,sleek,turtle
18,M,English,6,35,12,17,busy,llama
18,M,English,6,35,13,29,striped,tiger
18,M,English,6,35,14,16,quiet,worm
19,F,English,4,35,1,20,lazy,sloth
19,F,English,4,35,2,28,hairy,gorilla
19,F,English,4,35,3,27,dumb,ape
19,F,English,4,35,4,21,loyal,dog
19,F,English,4,35,5,19,sleek,snake
19,F,English,4,35,6,22,friendly,dog
19,F,English,4,35,7,26,slithery,snake
19,F,English,4,35,8,16,quiet,cat
19,F,English,4,35,9,18,proud,lion
19,F,English,4,35,10,17,busy,beaver
19,F,English,4,35,11,24,loud,gorilla
19,F,English,4,35,12,29,striped,zebra
19,F,English,4,35,13,23,playful,dog
19,F,English,4,35,14,25,happy,dog
20,M,English,4,35,1,28,hairy,cat
20,M,English,4,35,2,26,slithery,snake
20,M,English,4,35,3,29,striped,zebra
20,M,English,4,35,4,20,lazy,sloth
20,M,English,4,35,5,21,loyal,dog
20,M,English,4,35,6,25,happy,dog
20,M,English,4,35,7,23,playful,ferret
20,M,English,4,35,8,19,sleek,mongoose
20,M,English,4,35,9,16,quiet,mouse
20,M,English,4,35,10,27,dumb,toad
20,M,English,4,35,11,18,proud,lion
20,M,English,4,35,12,17,busy,meerkat
20,M,English,4,35,13,22,friendly,monkey
20,M,English,4,35,14,24,loud,falcon
21,F,english,4,55,1,28,hairy,ape
21,F,english,4,55,2,29,striped,zebra
21,F,english,4,55,3,19,sleek,cat
21,F,english,4,55,4,17,busy,beaver
21,F,english,4,55,5,27,dumb,ox
21,F,english,4,55,6,16,quiet,mouse
21,F,english,4,55,7,23,playful,squirrel
21,F,english,4,55,8,20,lazy,pig
21,F,english,4,55,9,22,friendly,dog
21,F,english,4,55,10,21,loyal,dog
21,F,english,4,55,11,24,loud,monkey
21,F,english,4,55,12,18,proud,lion
21,F,english,4,55,13,26,slithery,snake
21,F,english,4,55,14,25,happy,raccoon
22,M,english,6,35,1,17,busy,horse
22,M,english,6,35,2,23,playful,dog
22,M,english,6,35,3,20,lazy,cat
22,M,english,6,35,4,24,loud,bird
22,M,english,6,35,5,29,striped,zebra
22,M,english,6,35,6,26,slithery,snake
22,M,english,6,35,7,25,happy,gerbil
22,M,english,6,35,8,18,proud,lion
22,M,english,6,35,9,21,loyal,wolf
22,M,english,6,35,10,27,dumb,pig
22,M,english,6,35,11,16,quiet,mouse
22,M,english,6,35,12,28,hairy,bear
22,M,english,6,35,13,19,sleek,otter
22,M,english,6,35,14,22,friendly,monkey
23,F,English,0,17,1,29,striped,zebra
23,F,English,0,17,2,23,playful,cat
23,F,English,0,17,3,20,lazy,sloth
23,F,English,0,17,4,18,proud,lion
23,F,English,0,17,5,22,friendly,dog
23,F,English,0,17,6,26,slithery,snake
23,F,English,0,17,7,17,busy,bee
23,F,English,0,17,8,24,loud,bear
23,F,English,0,17,9,16,quiet,deer
23,F,English,0,17,10,27,dumb,dodobird
23,F,English,0,17,11,28,hairy,sheep
23,F,English,0,17,12,21,loyal,dog
23,F,English,0,17,13,19,sleek,scorpion
23,F,English,0,17,14,25,happy,otter
24,M,Engish,6,35,1,21,loyal,dog
24,M,Engish,6,35,2,29,striped,zebra
24,M,Engish,6,35,3,24,loud,dog
24,M,Engish,6,35,4,26,slithery,snake
24,M,Engish,6,35,5,19,sleek,eel
24,M,Engish,6,35,6,27,dumb,deer
24,M,Engish,6,35,7,20,lazy,cat
24,M,Engish,6,35,8,18,proud,lion
24,M,Engish,6,35,9,28,hairy,caterpillar
24,M,Engish,6,35,10,23,playful,rabbit
24,M,Engish,6,35,11,25,happy,dog
24,M,Engish,6,35,12,22,friendly,dog
24,M,Engish,6,35,13,17,busy,bee
24,M,Engish,6,35,14,16,quiet,cat
25,F,English,8,35,1,26,slithery,snake
25,F,English,8,35,2,20,lazy,bear
25,F,English,8,35,3,25,happy,dog
25,F,English,8,35,4,18,proud,cat
25,F,English,8,35,5,22,friendly,dog
25,F,English,8,35,6,23,playful,cat
25,F,English,8,35,7,24,loud,lion
25,F,English,8,35,8,17,busy,bird
25,F,English,8,35,9,28,hairy,monkey
25,F,English,8,35,10,27,dumb,rat
25,F,English,8,35,11,21,loyal,cat
25,F,English,8,35,12,16,quiet,snake
25,F,English,8,35,13,29,striped,zebra
25,F,English,8,35,14,19,sleek,horse
26,M,Vietnamese,4,25,1,19,sleek,rat
26,M,Vietnamese,4,25,2,25,happy,dog
26,M,Vietnamese,4,25,3,26,slithery,cat
26,M,Vietnamese,4,25,4,17,busy,rabbit
26,M,Vietnamese,4,25,5,21,loyal,dog
26,M,Vietnamese,4,25,6,23,playful,dog
26,M,Vietnamese,4,25,7,27,dumb,hyena
26,M,Vietnamese,4,25,8,16,quiet,turtle
26,M,Vietnamese,4,25,9,22,friendly,dog
26,M,Vietnamese,4,25,10,28,hairy,lion
26,M,Vietnamese,4,25,11,20,lazy,turtle
26,M,Vietnamese,4,25,12,18,proud,tiger
26,M,Vietnamese,4,25,13,29,striped,zebra
26,M,Vietnamese,4,25,14,24,loud,dog
27,F,english,6,55,1,19,sleek,horse
27,F,english,6,55,2,16,quiet,mouse
27,F,english,6,55,3,23,playful,cat
27,F,english,6,55,4,21,loyal,dog
27,F,english,6,55,5,29,striped,zebra
27,F,english,6,55,6,20,lazy,cat
27,F,english,6,55,7,28,hairy,gorilla
27,F,english,6,55,8,17,busy,beaver
27,F,english,6,55,9,25,happy,dog
27,F,english,6,55,10,26,slithery,snake
27,F,english,6,55,11,27,dumb,mule
27,F,english,6,55,12,22,friendly,dog
27,F,english,6,55,13,18,proud,lion
27,F,english,6,55,14,24,loud,monkey
28,F,English,10,45,1,27,dumb,donkey
28,F,English,10,45,2,21,loyal,dog
28,F,English,10,45,3,16,quiet,cat
28,F,English,10,45,4,23,playful,dog
28,F,English,10,45,5,26,slithery,snake
28,F,English,10,45,6,22,friendly,dog
28,F,English,10,45,7,24,loud,dog
28,F,English,10,45,8,29,striped,zebra
28,F,English,10,45,9,25,happy,dog
28,F,English,10,45,10,19,sleek,cougar
28,F,English,10,45,11,17,busy,beaver
28,F,English,10,45,12,20,lazy,sloth
28,F,English,10,45,13,18,proud,lion
28,F,English,10,45,14,28,hairy,bear
29,F,English,8,35,1,28,hairy,dog
29,F,English,8,35,2,26,slithery,snake
29,F,English,8,35,3,21,loyal,dog
29,F,English,8,35,4,16,quiet,turtle
29,F,English,8,35,5,17,busy,bee
29,F,English,8,35,6,25,happy,bird
29,F,English,8,35,7,27,dumb,mouse
29,F,English,8,35,8,22,friendly,dog
29,F,English,8,35,9,19,sleek,leopard
29,F,English,8,35,10,29,striped,zebra
29,F,English,8,35,11,23,playful,monkey
29,F,English,8,35,12,24,loud,chimpanzee
29,F,English,8,35,13,18,proud,bear
29,F,English,8,35,14,20,lazy,cat
30,F,English,4,65,1,27,dumb,mule
30,F,English,4,65,2,21,loyal,dog
30,F,English,4,65,3,26,slithery,snake
30,F,English,4,65,4,29,striped,zebra
30,F,English,4,65,5,16,quiet,mouse
30,F,English,4,65,6,20,lazy,sloth
30,F,English,4,65,7,24,loud,elephant
30,F,English,4,65,8,28,hairy,monkey
30,F,English,4,65,9,19,sleek,seal
30,F,English,4,65,10,22,friendly,dog
30,F,English,4,65,11,25,happy,dog
30,F,English,4,65,12,23,playful,otter
30,F,English,4,65,13,18,proud,peacock
30,F,English,4,65,14,17,busy,bee
31,M,english,4,35,1,24,loud,lion
31,M,english,4,35,2,23,playful,dog
31,M,english,4,35,3,25,happy,dog
31,M,english,4,35,4,27,dumb,turtle
31,M,english,4,35,5,22,friendly,horse
31,M,english,4,35,6,29,striped,zebra
31,M,english,4,35,7,21,loyal,dog
31,M,english,4,35,8,26,slithery,snake
31,M,english,4,35,9,20,lazy,slothe
31,M,english,4,35,10,16,quiet,cheeta
31,M,english,4,35,11,28,hairy,monkey
31,M,english,4,35,12,17,busy,cat
31,M,english,4,35,13,18,proud,cat
31,M,english,4,35,14,19,sleek,porcupine
32,M,English,4,35,1,18,proud,lion
32,M,English,4,35,2,29,striped,zebra
32,M,English,4,35,3,20,lazy,panda
32,M,English,4,35,4,25,happy,dog
32,M,English,4,35,5,27,dumb,owl
32,M,English,4,35,6,23,playful,cat
32,M,English,4,35,7,28,hairy,gorilla
32,M,English,4,35,8,16,quiet,mouse
32,M,English,4,35,9,22,friendly,bird
32,M,English,4,35,10,21,loyal,dog
32,M,English,4,35,11,19,sleek,panther
32,M,English,4,35,12,17,busy,cheetah
32,M,English,4,35,13,26,slithery,snake
32,M,English,4,35,14,24,loud,bird
33,M,English,4,35,1,21,loyal,dog
33,M,English,4,35,2,27,dumb,bird
33,M,English,4,35,3,24,loud,owl
33,M,English,4,35,4,26,slithery,snake
33,M,English,4,35,5,25,happy,dog
33,M,English,4,35,6,17,busy,ant
33,M,English,4,35,7,18,proud,lion
33,M,English,4,35,8,28,hairy,cat
33,M,English,4,35,9,20,lazy,cat
33,M,English,4,35,10,29,striped,zebra
33,M,English,4,35,11,22,friendly,dog
33,M,English,4,35,12,23,playful,dog
33,M,English,4,35,13,19,sleek,lizard
33,M,English,4,35,14,16,quiet,sloth
34,F,English,4,35,1,27,dumb,donkey
34,F,English,4,35,2,18,proud,horse
34,F,English,4,35,3,25,happy,dog
34,F,English,4,35,4,20,lazy,cat
34,F,English,4,35,5,17,busy,mouse
34,F,English,4,35,6,19,sleek,bird
34,F,English,4,35,7,21,loyal,dog
34,F,English,4,35,8,26,slithery,snake
34,F,English,4,35,9,16,quiet,mouse
34,F,English,4,35,10,24,loud,rooster
34,F,English,4,35,11,29,striped,zebra
34,F,English,4,35,12,28,hairy,bear
34,F,English,4,35,13,23,playful,puppy
34,F,English,4,35,14,22,friendly,dog
35,F,English,4,65,1,20,lazy,cat
35,F,English,4,65,2,18,proud,horse
35,F,English,4,65,3,16,quiet,mouse
35,F,English,4,65,4,29,striped,zebra
35,F,English,4,65,5,21,loyal,dog
35,F,English,4,65,6,24,loud,goat
35,F,English,4,65,7,27,dumb,sheep
35,F,English,4,65,8,17,busy,beaver
35,F,English,4,65,9,28,hairy,ape
35,F,English,4,65,10,19,sleek,elephant
35,F,English,4,65,11,23,playful,kid(goat)
35,F,English,4,65,12,26,slithery,snake
35,F,English,4,65,13,25,happy,ferret
35,F,English,4,65,14,22,friendly,dog
36,M,English,4,35,1,24,loud,dog
36,M,English,4,35,2,22,friendly,cat
36,M,English,4,35,3,19,sleek,fox
36,M,English,4,35,4,27,dumb,turkey
36,M,English,4,35,5,18,proud,meerkat
36,M,English,4,35,6,26,slithery,sloth
36,M,English,4,35,7,29,striped,tiger
36,M,English,4,35,8,28,hairy,horse
36,M,English,4,35,9,21,loyal,cat
36,M,English,4,35,10,16,quiet,mouse
36,M,English,4,35,11,17,busy,skunk
36,M,English,4,35,12,23,playful,parrot
36,M,English,4,35,13,25,happy,puppy
36,M,English,4,35,14,20,lazy,cat
37,M,English,4,35,1,20,lazy,cat
37,M,English,4,35,2,29,striped,zebra
37,M,English,4,35,3,24,loud,bear
37,M,English,4,35,4,17,busy,snake
37,M,English,4,35,5,26,slithery,snake
37,M,English,4,35,6,27,dumb,bird
37,M,English,4,35,7,18,proud,peacock
37,M,English,4,35,8,25,happy,dog
37,M,English,4,35,9,21,loyal,dog
37,M,English,4,35,10,28,hairy,bear
37,M,English,4,35,11,23,playful,cat
37,M,English,4,35,12,16,quiet,turtle
37,M,English,4,35,13,19,sleek,ferrett
37,M,English,4,35,14,22,friendly,dog
38,F,English,8,65,1,23,playful,dog
38,F,English,8,65,2,26,slithery,snake
38,F,English,8,65,3,27,dumb,donkey
38,F,English,8,65,4,17,busy,bees
38,F,English,8,65,5,28,hairy,gorilla
38,F,English,8,65,6,29,striped,zebra
38,F,English,8,65,7,19,sleek,giraffe
38,F,English,8,65,8,24,loud,lion
38,F,English,8,65,9,25,happy,dog
38,F,English,8,65,10,18,proud,lion
38,F,English,8,65,11,21,loyal,dog
38,F,English,8,65,12,20,lazy,cat
38,F,English,8,65,13,22,friendly,dog
38,F,English,8,65,14,16,quiet,snake
39,M,English,6,35,1,19,sleek,deer
39,M,English,6,35,2,20,lazy,sloth
39,M,English,6,35,3,23,playful,rabbit
39,M,English,6,35,4,28,hairy,bear
39,M,English,6,35,5,22,friendly,dog
39,M,English,6,35,6,17,busy,bee
39,M,English,6,35,7,26,slithery,snake
39,M,English,6,35,8,21,loyal,dog
39,M,English,6,35,9,27,dumb,donkey
39,M,English,6,35,10,24,loud,dog
39,M,English,6,35,11,25,happy,dog
39,M,English,6,35,12,29,striped,zebra
39,M,English,6,35,13,18,proud,lion
39,M,English,6,35,14,16,quiet,owl
40,F,English,4,25,1,21,loyal,dog
40,F,English,4,25,2,27,dumb,ostrich
40,F,English,4,25,3,28,hairy,bear
40,F,English,4,25,4,23,playful,cat
40,F,English,4,25,5,17,busy,squirrel
40,F,English,4,25,6,25,happy,dog
40,F,English,4,25,7,18,proud,lion
40,F,English,4,25,8,22,friendly,dog
40,F,English,4,25,9,19,sleek,cat
40,F,English,4,25,10,20,lazy,turtle
40,F,English,4,25,11,29,striped,zebra
40,F,English,4,25,12,24,loud,monkey
40,F,English,4,25,13,26,slithery,snake
40,F,English,4,25,14,16,quiet,mouse
41,M,english,6,35,1,19,sleek,eel
41,M,english,6,35,2,25,happy,dog
41,M,english,6,35,3,23,playful,dog
41,M,english,6,35,4,18,proud,tiger
41,M,english,6,35,5,29,striped,tiger
41,M,english,6,35,6,28,hairy,cat
41,M,english,6,35,7,26,slithery,snake
41,M,english,6,35,8,27,dumb,roach
41,M,english,6,35,9,16,quiet,mouse
41,M,english,6,35,10,22,friendly,dog
41,M,english,6,35,11,21,loyal,dog
41,M,english,6,35,12,20,lazy,cat
41,M,english,6,35,13,24,loud,ape
41,M,english,6,35,14,17,busy,bee
42,F,english,6,35,1,20,lazy,cow
42,F,english,6,35,2,26,slithery,snake
42,F,english,6,35,3,27,dumb,pig
42,F,english,6,35,4,16,quiet,turtle
42,F,english,6,35,5,22,friendly,dog
42,F,english,6,35,6,23,playful,cat
42,F,english,6,35,7,28,hairy,monkey
42,F,english,6,35,8,17,busy,cat
42,F,english,6,35,9,25,happy,dog
42,F,english,6,35,10,18,proud,lion
42,F,english,6,35,11,19,sleek,seal
42,F,english,6,35,12,21,loyal,dog
42,F,english,6,35,13,29,striped,zebra
42,F,english,6,35,14,24,loud,dog
43,M,English,4,35,1,23,playful,dog
43,M,English,4,35,2,29,striped,zebra
43,M,English,4,35,3,16,quiet,mouse
43,M,English,4,35,4,22,friendly,dog
43,M,English,4,35,5,27,dumb,cat
43,M,English,4,35,6,17,busy,ant
43,M,English,4,35,7,21,loyal,dog
43,M,English,4,35,8,28,hairy,mammoth
43,M,English,4,35,9,20,lazy,cat
43,M,English,4,35,10,24,loud,bird
43,M,English,4,35,11,18,proud,deer
43,M,English,4,35,12,19,sleek,cheetah
43,M,English,4,35,13,25,happy,wombat
43,M,English,4,35,14,26,slithery,snake
44,M,English,4,25,1,29,striped,zebra
44,M,English,4,25,2,19,sleek,mongoose
44,M,English,4,25,3,20,lazy,sloth
44,M,English,4,25,4,26,slithery,snake
44,M,English,4,25,5,24,loud,elephant
44,M,English,4,25,6,22,friendly,cat
44,M,English,4,25,7,25,happy,dog
44,M,English,4,25,8,28,hairy,gerbil
44,M,English,4,25,9,23,playful,monkey
44,M,English,4,25,10,27,dumb,lizard
44,M,English,4,25,11,18,proud,lion
44,M,English,4,25,12,17,busy,ant
44,M,English,4,25,13,16,quiet,fly
44,M,English,4,25,14,21,loyal,meerkat
45,M,English,4,25,1,22,friendly,dog
45,M,English,4,25,2,25,happy,hyena
45,M,English,4,25,3,16,quiet,rabbit
45,M,English,4,25,4,24,loud,lion
45,M,English,4,25,5,18,proud,tiger
45,M,English,4,25,6,20,lazy,cat
45,M,English,4,25,7,19,sleek,dolphin
45,M,English,4,25,8,28,hairy,sloth
45,M,English,4,25,9,23,playful,dog
45,M,English,4,25,10,29,striped,zebra
45,M,English,4,25,11,21,loyal,dog
45,M,English,4,25,12,17,busy,beaver
45,M,English,4,25,13,27,dumb,turtle
45,M,English,4,25,14,26,slithery,snake
46,M,English,4,25,1,17,busy,bee
46,M,English,4,25,2,27,dumb,sloth
46,M,English,4,25,3,21,loyal,dog
46,M,English,4,25,4,24,loud,fox
46,M,English,4,25,5,19,sleek,rabbit
46,M,English,4,25,6,28,hairy,cat
46,M,English,4,25,7,25,happy,bird
46,M,English,4,25,8,26,slithery,snake
46,M,English,4,25,9,29,striped,zebra
46,M,English,4,25,10,23,playful,iguana
46,M,English,4,25,11,20,lazy,koala
46,M,English,4,25,12,22,friendly,elephant
46,M,English,4,25,13,16,quiet,mouse
46,M,English,4,25,14,18,proud,lion
47,F,english,0,25,1,25,happy,dog
47,F,english,0,25,2,28,hairy,monkey
47,F,english,0,25,3,29,striped,zebra
47,F,english,0,25,4,21,loyal,dog
47,F,english,0,25,5,23,playful,dolphin
47,F,english,0,25,6,26,slithery,snake
47,F,english,0,25,7,17,busy,ant
47,F,english,0,25,8,27,dumb,cat
47,F,english,0,25,9,19,sleek,stallion
47,F,english,0,25,10,22,friendly,dog
47,F,english,0,25,11,16,quiet,hamster
47,F,english,0,25,12,24,loud,hyena
47,F,english,0,25,13,18,proud,lion
47,F,english,0,25,14,20,lazy,lion
