workerID,gender,age,income,language,order,categoryID,animal,condition,set1prob,set2prob,set3prob,set4prob,set1,set2,set3,set4
2,M,35,8,English,10,29,tiger,person,0.55,0.575,0.625,0.425,striped;fierce,striped;nonviolent,unpatterned;fierce,unpatterned;nonviolent
2,M,35,8,English,11,9,dog,animal,0.8,0.225,0.225,0.65,loyal;friendly,loyal;unfriendly,disloyal;friendly,disloyal;unfriendly
2,M,35,8,English,12,6,buffalo,animal,0.85,0.5,0.25,0.25,big;strong,big;weak,small;strong,small;weak
2,M,35,8,English,13,31,wolf,person,0.575,0.55,0.55,0.5,scary;mean,scary;nice,unalarming;mean,unalarming;nice
2,M,35,8,English,14,13,fish,person,0.6,0.375,0.475,0.475,scaly;wet,scaly;dry,smooth;wet,smooth;dry
2,M,35,8,English,15,32,zebra,person,0.5,0.5,0.6,0.55,striped;exotic,striped;native,unpatterned;exotic,unpatterned;native
2,M,35,8,English,16,14,fox,animal,0.675,0.6,0.525,0.525,sly;smart,sly;stupid,artless;smart,artless;stupid
3,F,35,6,English,1,1,ant,animal,0.875,0.275,0,0,small;strong,small;weak,large;strong,large;weak
3,F,35,6,English,2,23,ox,person,0.7,0.575,0.575,0.6,strong;big,strong;small,weak;big,weak;small
3,F,35,6,English,3,27,shark,animal,0.825,0.45,0.675,0.275,scary;dangerous,scary;safe,unalarming;dangerous,unalarming;safe
3,F,35,6,English,4,16,goat,animal,0.85,0.675,0.525,0.3,funny;hungry,funny;full,humorless;hungry,humorless;full
3,F,35,6,English,5,4,bee,animal,0.75,0,0.15,0,busy;small,busy;large,idle;small,idle;large
3,F,35,6,English,6,25,pig,person,0.775,0.7,0.6,0.675,dirty;fat,dirty;thin,clean;fat,clean;thin
3,F,35,6,English,7,20,lion,person,0.85,0.575,0.45,0.675,ferocious;scary,ferocious;unalarming,nonviolent;scary,nonviolent;unalarming
3,F,35,6,English,8,26,rabbit,animal,1,0.3,0.325,0.4,fast;furry,fast;hairless,slow;furry,slow;hairless
3,F,35,6,English,9,14,fox,animal,0.75,0.525,0.4,0.3,sly;smart,sly;stupid,artless;smart,artless;stupid
3,F,35,6,English,10,17,goose,person,0.75,0.6,0.35,0.7,loud;mean,loud;nice,quiet;mean,quiet;nice
3,F,35,6,English,11,31,wolf,animal,0.825,0.45,0.275,0.4,scary;mean,scary;nice,unalarming;mean,unalarming;nice
3,F,35,6,English,12,7,cat,person,0.375,0.65,0.725,0.825,independent;lazy,independent;fast,dependent;lazy,dependent;fast
3,F,35,6,English,13,12,elephant,person,0.375,0.75,0.65,0.6,huge;smart,huge;stupid,small;smart,small;stupid
3,F,35,6,English,14,30,whale,person,0.4,0.8,0.625,0.75,large;graceful,large;awkward,small;graceful,small;awkward
3,F,35,6,English,15,28,sheep,animal,1,0.275,0,0,wooly;fluffy,wooly;hard,hairless;fluffy,hairless;hard
3,F,35,6,English,16,2,bat,animal,0.625,0.55,0.725,0.325,scary;blind,scary;sighted,unalarming;blind,unalarming;sighted
4,M,35,4,English,1,15,frog,animal,0.625,0.425,0.5,0.35,slimy;noisy,slimy;quiet,nonslippery;noisy,nonslippery;quiet
4,M,35,4,English,2,25,pig,animal,0.575,0.35,0.4,0.25,dirty;fat,dirty;thin,clean;fat,clean;thin
4,M,35,4,English,3,8,cow,person,0.5,0.5,0.5,0.5,fat;dumb,fat;smart,thin;dumb,thin;smart
4,M,35,4,English,4,18,horse,animal,0.6,0.3,0.575,0.25,fast;strong,fast;weak,slow;strong,slow;weak
4,M,35,4,English,5,17,goose,person,0.65,0.5,0.3,0.55,loud;mean,loud;nice,quiet;mean,quiet;nice
4,M,35,4,English,6,4,bee,animal,0.625,0.475,0.375,0.225,busy;small,busy;large,idle;small,idle;large
4,M,35,4,English,7,30,whale,person,0.3,0.575,0.575,0.375,large;graceful,large;awkward,small;graceful,small;awkward
4,M,35,4,English,8,12,elephant,person,0.5,0.5,0.5,0.5,huge;smart,huge;stupid,small;smart,small;stupid
4,M,35,4,English,9,23,ox,animal,0.65,0.3,0.425,0.2,strong;big,strong;small,weak;big,weak;small
4,M,35,4,English,10,3,bear,person,0.6,0.3,0.5,0.5,scary;big,scary;small,unalarming;big,unalarming;small
4,M,35,4,English,11,21,monkey,animal,0.375,0.55,0.45,0.575,funny;smart,funny;stupid,humorless;smart,humorless;stupid
4,M,35,4,English,12,14,fox,animal,0.55,0.45,0.525,0.425,sly;smart,sly;stupid,artless;smart,artless;stupid
4,M,35,4,English,13,2,bat,animal,0.4,0.55,0.4,0.55,scary;blind,scary;sighted,unalarming;blind,unalarming;sighted
4,M,35,4,English,14,29,tiger,animal,0.5,0.4,0.5,0.4,striped;fierce,striped;nonviolent,unpatterned;fierce,unpatterned;nonviolent
4,M,35,4,English,15,7,cat,animal,0.25,0.6,0.675,0.6,independent;lazy,independent;fast,dependent;lazy,dependent;fast
4,M,35,4,English,16,32,zebra,animal,0.55,0.5,0.4,0.475,striped;exotic,striped;native,unpatterned;exotic,unpatterned;native
5,F,35,8,english,1,12,elephant,animal,0.875,0.25,0,0,huge;smart,huge;stupid,small;smart,small;stupid
5,F,35,8,english,2,23,ox,person,0.85,0.2,0.2,0.825,strong;big,strong;small,weak;big,weak;small
5,F,35,8,english,3,8,cow,person,0.875,0.35,0.75,0.75,fat;dumb,fat;smart,thin;dumb,thin;smart
5,F,35,8,english,4,1,ant,person,0.2,0.875,0.925,0.175,small;strong,small;weak,large;strong,large;weak
5,F,35,8,english,5,16,goat,animal,0,0,1,0.975,funny;hungry,funny;full,humorless;hungry,humorless;full
5,F,35,8,english,6,5,bird,person,1,0.65,0.05,0.575,free;graceful,free;awkward,unfree;graceful,unfree;awkward
5,F,35,8,english,7,32,zebra,animal,1,1,0,0,striped;exotic,striped;native,unpatterned;exotic,unpatterned;native
5,F,35,8,english,8,25,pig,animal,1,0,0.55,0,dirty;fat,dirty;thin,clean;fat,clean;thin
5,F,35,8,english,9,28,sheep,person,0.575,0,0,0.6,wooly;fluffy,wooly;hard,hairless;fluffy,hairless;hard
5,F,35,8,english,10,31,wolf,animal,0.95,0.625,0.25,0.075,scary;mean,scary;nice,unalarming;mean,unalarming;nice
5,F,35,8,english,11,27,shark,person,1,0.125,0.3,1,scary;dangerous,scary;safe,unalarming;dangerous,unalarming;safe
5,F,35,8,english,12,4,bee,person,0.85,0.875,0.85,0.9,busy;small,busy;large,idle;small,idle;large
5,F,35,8,english,13,24,penguin,animal,1,0.65,0.575,0.625,cold;cute,cold;unattractive,hot;cute,hot;unattractive
5,F,35,8,english,14,22,owl,animal,0.35,1,0.15,0.325,wise;quiet,wise;loud,foolish;quiet,foolish;loud
5,F,35,8,english,15,11,duck,animal,1,0.625,0.8,0.15,loud;cute,loud;unattractive,quiet;cute,quiet;unattractive
5,F,35,8,english,16,29,tiger,animal,1,0.375,0.05,0.05,striped;fierce,striped;nonviolent,unpatterned;fierce,unpatterned;nonviolent
6,M,45,4,English,1,20,lion,person,0.325,0.325,0.875,0.875,ferocious;scary,ferocious;unalarming,nonviolent;scary,nonviolent;unalarming
6,M,45,4,English,2,31,wolf,animal,0.975,0.575,0.65,0.4,scary;mean,scary;nice,unalarming;mean,unalarming;nice
6,M,45,4,English,3,1,ant,person,0.975,0.975,1,0.975,small;strong,small;weak,large;strong,large;weak
6,M,45,4,English,4,13,fish,animal,0.975,0,0.975,0.025,scaly;wet,scaly;dry,smooth;wet,smooth;dry
6,M,45,4,English,5,12,elephant,animal,0.775,0.85,0,0,huge;smart,huge;stupid,small;smart,small;stupid
6,M,45,4,English,6,19,kangaroo,animal,0.975,0.325,0.725,0.3,jumpy;bouncy,jumpy;inelastic,relaxed;bouncy,relaxed;inelastic
6,M,45,4,English,7,7,cat,animal,0.675,0.975,0.975,0.975,independent;lazy,independent;fast,dependent;lazy,dependent;fast
6,M,45,4,English,8,5,bird,animal,0.975,0.65,0.65,0.375,free;graceful,free;awkward,unfree;graceful,unfree;awkward
6,M,45,4,English,9,9,dog,animal,1,0.8,0.35,0.675,loyal;friendly,loyal;unfriendly,disloyal;friendly,disloyal;unfriendly
6,M,45,4,English,10,17,goose,person,0.975,0.975,0.975,0.975,loud;mean,loud;nice,quiet;mean,quiet;nice
6,M,45,4,English,11,8,cow,person,0.975,0.975,0.975,0.975,fat;dumb,fat;smart,thin;dumb,thin;smart
6,M,45,4,English,12,21,monkey,animal,0.625,0.575,0.4,0.325,funny;smart,funny;stupid,humorless;smart,humorless;stupid
6,M,45,4,English,13,3,bear,animal,0.975,0.275,0.975,0.25,scary;big,scary;small,unalarming;big,unalarming;small
6,M,45,4,English,14,29,tiger,animal,1,0.15,0.65,0.825,striped;fierce,striped;nonviolent,unpatterned;fierce,unpatterned;nonviolent
6,M,45,4,English,15,14,fox,person,0.975,0.575,1,0.7,sly;smart,sly;stupid,artless;smart,artless;stupid
6,M,45,4,English,16,25,pig,person,1,1,1,1,dirty;fat,dirty;thin,clean;fat,clean;thin
7,M,25,4,English,1,7,cat,animal,1,0.525,0.45,0.3,independent;lazy,independent;fast,dependent;lazy,dependent;fast
7,M,25,4,English,2,13,fish,animal,1,0.325,0.475,0,scaly;wet,scaly;dry,smooth;wet,smooth;dry
7,M,25,4,English,3,28,sheep,animal,1,0.5,0.5,0,wooly;fluffy,wooly;hard,hairless;fluffy,hairless;hard
7,M,25,4,English,4,2,bat,person,0,1,0.5,0.5,scary;blind,scary;sighted,unalarming;blind,unalarming;sighted
7,M,25,4,English,5,12,elephant,person,0.5,0.5,0.5,0.5,huge;smart,huge;stupid,small;smart,small;stupid
7,M,25,4,English,6,26,rabbit,animal,1,0.5,0.5,0,fast;furry,fast;hairless,slow;furry,slow;hairless
7,M,25,4,English,7,25,pig,animal,1,0.5,0.5,0,dirty;fat,dirty;thin,clean;fat,clean;thin
7,M,25,4,English,8,3,bear,person,1,0,0,1,scary;big,scary;small,unalarming;big,unalarming;small
7,M,25,4,English,9,18,horse,animal,1,0.5,0.5,0,fast;strong,fast;weak,slow;strong,slow;weak
7,M,25,4,English,10,14,fox,person,0.65,0.3,0.3,0.65,sly;smart,sly;stupid,artless;smart,artless;stupid
7,M,25,4,English,11,22,owl,animal,0.5,1,0,0.5,wise;quiet,wise;loud,foolish;quiet,foolish;loud
7,M,25,4,English,12,17,goose,animal,0.5,0.025,1,0.5,loud;mean,loud;nice,quiet;mean,quiet;nice
7,M,25,4,English,13,6,buffalo,animal,1,0.5,0.5,0.025,big;strong,big;weak,small;strong,small;weak
7,M,25,4,English,14,21,monkey,animal,1,0.5,0.5,0,funny;smart,funny;stupid,humorless;smart,humorless;stupid
7,M,25,4,English,15,31,wolf,person,1,0,0,1,scary;mean,scary;nice,unalarming;mean,unalarming;nice
7,M,25,4,English,16,24,penguin,person,0.3,1,1,0,cold;cute,cold;unattractive,hot;cute,hot;unattractive
8,F,35,6,english,1,16,goat,person,0.525,0.625,0.575,0.4,funny;hungry,funny;full,humorless;hungry,humorless;full
8,F,35,6,english,2,12,elephant,animal,0.45,0.7,0.3,0.725,huge;smart,huge;stupid,small;smart,small;stupid
8,F,35,6,english,3,8,cow,animal,0.7,0.2,0.225,0.25,fat;dumb,fat;smart,thin;dumb,thin;smart
8,F,35,6,english,4,29,tiger,person,0.575,0.7,0.65,0.7,striped;fierce,striped;nonviolent,unpatterned;fierce,unpatterned;nonviolent
8,F,35,6,english,5,7,cat,person,0.25,0.625,0.675,0.25,independent;lazy,independent;fast,dependent;lazy,dependent;fast
8,F,35,6,english,6,22,owl,person,0.75,0.375,0.35,0.7,wise;quiet,wise;loud,foolish;quiet,foolish;loud
8,F,35,6,english,7,5,bird,animal,0.725,0.3,0.3,0.625,free;graceful,free;awkward,unfree;graceful,unfree;awkward
8,F,35,6,english,8,27,shark,animal,0.325,0.3,0.3,0.725,scary;dangerous,scary;safe,unalarming;dangerous,unalarming;safe
8,F,35,6,english,9,19,kangaroo,person,0.65,0.725,0.3,0.3,jumpy;bouncy,jumpy;inelastic,relaxed;bouncy,relaxed;inelastic
8,F,35,6,english,10,10,dolphin,animal,0.625,0.45,0.6,0.65,smart;friendly,smart;unfriendly,stupid;friendly,stupid;unfriendly
8,F,35,6,english,11,2,bat,person,0.325,0.65,0.65,0.35,scary;blind,scary;sighted,unalarming;blind,unalarming;sighted
8,F,35,6,english,12,24,penguin,animal,0.775,0.425,0.175,0.275,cold;cute,cold;unattractive,hot;cute,hot;unattractive
8,F,35,6,english,13,4,bee,animal,0.8,0.575,0.325,0.45,busy;small,busy;large,idle;small,idle;large
8,F,35,6,english,14,32,zebra,person,0.725,0.5,0.45,0.65,striped;exotic,striped;native,unpatterned;exotic,unpatterned;native
8,F,35,6,english,15,11,duck,person,0.375,0.65,0.625,0.575,loud;cute,loud;unattractive,quiet;cute,quiet;unattractive
8,F,35,6,english,16,26,rabbit,animal,0.675,0.7,0.325,0.25,fast;furry,fast;hairless,slow;furry,slow;hairless
9,M,25,4,English,1,4,bee,person,0.425,0.6,0.35,0.65,busy;small,busy;large,idle;small,idle;large
9,M,25,4,English,2,9,dog,animal,0.85,0.325,0.15,0.175,loyal;friendly,loyal;unfriendly,disloyal;friendly,disloyal;unfriendly
9,M,25,4,English,3,6,buffalo,animal,1,0.65,0.3,0.025,big;strong,big;weak,small;strong,small;weak
9,M,25,4,English,4,8,cow,animal,0.65,0.675,0.1,0.075,fat;dumb,fat;smart,thin;dumb,thin;smart
9,M,25,4,English,5,12,elephant,person,0.7,0.725,0.625,0.675,huge;smart,huge;stupid,small;smart,small;stupid
9,M,25,4,English,6,26,rabbit,animal,0.975,0.125,0.125,0.1,fast;furry,fast;hairless,slow;furry,slow;hairless
9,M,25,4,English,7,29,tiger,person,0.775,0.75,0.825,0.8,striped;fierce,striped;nonviolent,unpatterned;fierce,unpatterned;nonviolent
9,M,25,4,English,8,7,cat,animal,0.9,0.75,0.3,0.3,independent;lazy,independent;fast,dependent;lazy,dependent;fast
9,M,25,4,English,9,25,pig,animal,0.875,0.65,0.25,0.175,dirty;fat,dirty;thin,clean;fat,clean;thin
9,M,25,4,English,10,18,horse,person,0.9,0.85,0.85,0.875,fast;strong,fast;weak,slow;strong,slow;weak
9,M,25,4,English,11,20,lion,animal,0.8,0.275,0.75,0.3,ferocious;scary,ferocious;unalarming,nonviolent;scary,nonviolent;unalarming
9,M,25,4,English,12,15,frog,animal,0.7,0.825,0.125,0.15,slimy;noisy,slimy;quiet,nonslippery;noisy,nonslippery;quiet
9,M,25,4,English,13,14,fox,person,0.875,0.9,0.9,0.9,sly;smart,sly;stupid,artless;smart,artless;stupid
9,M,25,4,English,14,16,goat,person,0.925,0.9,0.9,0.925,funny;hungry,funny;full,humorless;hungry,humorless;full
9,M,25,4,English,15,31,wolf,person,0.925,0.95,0.95,0.925,scary;mean,scary;nice,unalarming;mean,unalarming;nice
9,M,25,4,English,16,21,monkey,person,0.9,0.9,0.9,0.9,funny;smart,funny;stupid,humorless;smart,humorless;stupid
10,F,55,11,English,1,28,sheep,animal,0.975,0.65,0.025,0.1,wooly;fluffy,wooly;hard,hairless;fluffy,hairless;hard
10,F,55,11,English,2,32,zebra,person,0,0.025,0.625,0.5,striped;exotic,striped;native,unpatterned;exotic,unpatterned;native
10,F,55,11,English,3,25,pig,person,0.975,0.975,0.975,0.975,dirty;fat,dirty;thin,clean;fat,clean;thin
10,F,55,11,English,4,2,bat,animal,0.975,0.025,0.975,0,scary;blind,scary;sighted,unalarming;blind,unalarming;sighted
10,F,55,11,English,5,4,bee,person,0.975,0.975,0.975,0.975,busy;small,busy;large,idle;small,idle;large
10,F,55,11,English,6,16,goat,animal,0.95,0.95,0.95,0.975,funny;hungry,funny;full,humorless;hungry,humorless;full
10,F,55,11,English,7,19,kangaroo,person,0.975,0.75,0.9,0.65,jumpy;bouncy,jumpy;inelastic,relaxed;bouncy,relaxed;inelastic
10,F,55,11,English,8,27,shark,animal,0.975,0.925,0.95,0.875,scary;dangerous,scary;safe,unalarming;dangerous,unalarming;safe
10,F,55,11,English,9,21,monkey,person,0.975,0.975,0.975,0.975,funny;smart,funny;stupid,humorless;smart,humorless;stupid
10,F,55,11,English,10,20,lion,person,0.975,0.9,0.975,0.975,ferocious;scary,ferocious;unalarming,nonviolent;scary,nonviolent;unalarming
10,F,55,11,English,11,12,elephant,animal,0.9,0.9,0.775,0.75,huge;smart,huge;stupid,small;smart,small;stupid
10,F,55,11,English,12,15,frog,person,0.975,0.975,0.975,0.975,slimy;noisy,slimy;quiet,nonslippery;noisy,nonslippery;quiet
10,F,55,11,English,13,11,duck,person,0.975,0.975,0.975,0.975,loud;cute,loud;unattractive,quiet;cute,quiet;unattractive
10,F,55,11,English,14,26,rabbit,animal,0.975,0.625,0.825,0.375,fast;furry,fast;hairless,slow;furry,slow;hairless
10,F,55,11,English,15,24,penguin,animal,0.975,0.625,0.975,0.425,cold;cute,cold;unattractive,hot;cute,hot;unattractive
10,F,55,11,English,16,5,bird,animal,0.975,0.975,0.975,0.975,free;graceful,free;awkward,unfree;graceful,unfree;awkward
11,M,25,4,ENGLISH,1,27,shark,animal,1,0.5,1,0,scary;dangerous,scary;safe,unalarming;dangerous,unalarming;safe
11,M,25,4,ENGLISH,2,26,rabbit,person,0.5,0.5,0.5,0.5,fast;furry,fast;hairless,slow;furry,slow;hairless
11,M,25,4,ENGLISH,3,13,fish,animal,1,0.175,1,0.175,scaly;wet,scaly;dry,smooth;wet,smooth;dry
11,M,25,4,ENGLISH,4,21,monkey,animal,0.5,0.5,0.5,0.5,funny;smart,funny;stupid,humorless;smart,humorless;stupid
11,M,25,4,ENGLISH,5,12,elephant,animal,0.5,0.5,0.5,0.5,huge;smart,huge;stupid,small;smart,small;stupid
11,M,25,4,ENGLISH,6,5,bird,person,0.975,0.975,0.975,0.975,free;graceful,free;awkward,unfree;graceful,unfree;awkward
11,M,25,4,ENGLISH,7,14,fox,animal,0.775,0.825,0.5,0.475,sly;smart,sly;stupid,artless;smart,artless;stupid
11,M,25,4,ENGLISH,8,18,horse,animal,0.5,0.5,0.5,0.5,fast;strong,fast;weak,slow;strong,slow;weak
11,M,25,4,ENGLISH,9,17,goose,animal,0.5,0.5,0.5,0.5,loud;mean,loud;nice,quiet;mean,quiet;nice
11,M,25,4,ENGLISH,10,8,cow,person,0.775,0.825,0.825,0.8,fat;dumb,fat;smart,thin;dumb,thin;smart
11,M,25,4,ENGLISH,11,28,sheep,person,0.8,0.8,0.825,0.825,wooly;fluffy,wooly;hard,hairless;fluffy,hairless;hard
11,M,25,4,ENGLISH,12,32,zebra,person,0.45,0.475,0.9,0.85,striped;exotic,striped;native,unpatterned;exotic,unpatterned;native
11,M,25,4,ENGLISH,13,10,dolphin,person,0.75,0.75,0.8,0.8,smart;friendly,smart;unfriendly,stupid;friendly,stupid;unfriendly
11,M,25,4,ENGLISH,14,4,bee,person,0.85,0.85,0.85,0.875,busy;small,busy;large,idle;small,idle;large
11,M,25,4,ENGLISH,15,6,buffalo,animal,0.9,0.125,0.875,0.075,big;strong,big;weak,small;strong,small;weak
11,M,25,4,ENGLISH,16,30,whale,animal,0.5,0.5,0.5,0.5,large;graceful,large;awkward,small;graceful,small;awkward
12,F,35,4,English,1,17,goose,animal,0.675,0.725,0.125,0.425,loud;mean,loud;nice,quiet;mean,quiet;nice
12,F,35,4,English,2,8,cow,person,0.8,0.8,0.8,0.8,fat;dumb,fat;smart,thin;dumb,thin;smart
12,F,35,4,English,3,3,bear,animal,0.9,0.65,0.3,0,scary;big,scary;small,unalarming;big,unalarming;small
12,F,35,4,English,4,26,rabbit,person,0.3,0.325,0.3,0.3,fast;furry,fast;hairless,slow;furry,slow;hairless
12,F,35,4,English,5,24,penguin,animal,0.975,0.25,0.275,0.25,cold;cute,cold;unattractive,hot;cute,hot;unattractive
12,F,35,4,English,6,7,cat,animal,0.975,0.775,0.375,0.375,independent;lazy,independent;fast,dependent;lazy,dependent;fast
12,F,35,4,English,7,11,duck,person,0.85,0.85,0.85,0.875,loud;cute,loud;unattractive,quiet;cute,quiet;unattractive
12,F,35,4,English,8,10,dolphin,person,0.95,0.975,0.95,0.95,smart;friendly,smart;unfriendly,stupid;friendly,stupid;unfriendly
12,F,35,4,English,9,13,fish,person,0.125,0.1,0.975,0.925,scaly;wet,scaly;dry,smooth;wet,smooth;dry
12,F,35,4,English,10,15,frog,person,0.15,0.15,0.95,0.925,slimy;noisy,slimy;quiet,nonslippery;noisy,nonslippery;quiet
12,F,35,4,English,11,27,shark,animal,0.075,0.625,0.575,0.075,scary;dangerous,scary;safe,unalarming;dangerous,unalarming;safe
12,F,35,4,English,12,22,owl,person,0.975,0.975,0.975,0.975,wise;quiet,wise;loud,foolish;quiet,foolish;loud
12,F,35,4,English,13,9,dog,animal,0.675,0.75,0.8,0.575,loyal;friendly,loyal;unfriendly,disloyal;friendly,disloyal;unfriendly
12,F,35,4,English,14,16,goat,animal,0.625,0.65,0.625,0.6,funny;hungry,funny;full,humorless;hungry,humorless;full
12,F,35,4,English,15,20,lion,person,0.775,0.575,0.75,0.825,ferocious;scary,ferocious;unalarming,nonviolent;scary,nonviolent;unalarming
12,F,35,4,English,16,12,elephant,animal,0.9,0.875,0.375,0.35,huge;smart,huge;stupid,small;smart,small;stupid
13,F,35,4,English,1,21,monkey,person,1,1,1,1,funny;smart,funny;stupid,humorless;smart,humorless;stupid
13,F,35,4,English,2,30,whale,animal,1,0.675,0,0,large;graceful,large;awkward,small;graceful,small;awkward
13,F,35,4,English,3,8,cow,animal,1,1,0,0,fat;dumb,fat;smart,thin;dumb,thin;smart
13,F,35,4,English,4,28,sheep,animal,1,0.625,0.725,0,wooly;fluffy,wooly;hard,hairless;fluffy,hairless;hard
13,F,35,4,English,5,25,pig,person,1,1,1,1,dirty;fat,dirty;thin,clean;fat,clean;thin
13,F,35,4,English,6,6,buffalo,person,1,1,1,1,big;strong,big;weak,small;strong,small;weak
13,F,35,4,English,7,10,dolphin,person,1,1,1,1,smart;friendly,smart;unfriendly,stupid;friendly,stupid;unfriendly
13,F,35,4,English,8,23,ox,person,1,1,1,1,strong;big,strong;small,weak;big,weak;small
13,F,35,4,English,9,2,bat,person,1,1,1,1,scary;blind,scary;sighted,unalarming;blind,unalarming;sighted
13,F,35,4,English,10,15,frog,person,1,1,1,1,slimy;noisy,slimy;quiet,nonslippery;noisy,nonslippery;quiet
13,F,35,4,English,11,19,kangaroo,animal,0.875,0.425,0.775,0.575,jumpy;bouncy,jumpy;inelastic,relaxed;bouncy,relaxed;inelastic
13,F,35,4,English,12,27,shark,person,1,1,1,1,scary;dangerous,scary;safe,unalarming;dangerous,unalarming;safe
13,F,35,4,English,13,32,zebra,person,0,0,1,1,striped;exotic,striped;native,unpatterned;exotic,unpatterned;native
13,F,35,4,English,14,7,cat,animal,1,1,1,1,independent;lazy,independent;fast,dependent;lazy,dependent;fast
13,F,35,4,English,15,3,bear,person,1,1,1,1,scary;big,scary;small,unalarming;big,unalarming;small
13,F,35,4,English,16,17,goose,person,1,1,1,1,loud;mean,loud;nice,quiet;mean,quiet;nice
14,M,25,8,english,1,5,bird,person,0.65,0.5,0.325,0.35,free;graceful,free;awkward,unfree;graceful,unfree;awkward
14,M,25,8,english,2,29,tiger,person,0.625,0.425,0.6,0.55,striped;fierce,striped;nonviolent,unpatterned;fierce,unpatterned;nonviolent
14,M,25,8,english,3,4,bee,animal,0.575,0.575,0.6,0.6,busy;small,busy;large,idle;small,idle;large
14,M,25,8,english,4,7,cat,person,0.375,0.6,0.15,0.65,independent;lazy,independent;fast,dependent;lazy,dependent;fast
14,M,25,8,english,5,15,frog,animal,0.55,0.55,0.3,0.575,slimy;noisy,slimy;quiet,nonslippery;noisy,nonslippery;quiet
14,M,25,8,english,6,16,goat,animal,0.625,0.6,0.6,0.6,funny;hungry,funny;full,humorless;hungry,humorless;full
14,M,25,8,english,7,6,buffalo,person,0.825,0.4,0.65,0.75,big;strong,big;weak,small;strong,small;weak
14,M,25,8,english,8,13,fish,person,0.4,0.65,0.45,0.575,scaly;wet,scaly;dry,smooth;wet,smooth;dry
14,M,25,8,english,9,1,ant,animal,0.675,0.625,0.75,0.625,small;strong,small;weak,large;strong,large;weak
14,M,25,8,english,10,3,bear,animal,0.775,0.4,0.375,0.75,scary;big,scary;small,unalarming;big,unalarming;small
