animal,feature,alternatives,numAlts
rabbit,sleek,jaguar;dog;cat;rabbit;kitten;cheetah;man,7
rabbit,playful,jaguar;dog;cat;rabbit;kitten;cheetah;man,7
rabbit,loyal,jaguar;dog;cat;rabbit;kitten;cheetah;man,7
rabbit,friendly,jaguar;dog;cat;rabbit;kitten;cheetah;man,7
mouse,small,ant;mouse;cat;man,4
mouse,lazy,ant;mouse;cat;man,4
mouse,industrious,ant;mouse;cat;man,4
mouse,quiet,ant;mouse;cat;man,4
mouse,cute,ant;mouse;cat;man,4
beaver,funny,ant;beaver;monkey;bee;man,5
beaver,industrious,ant;beaver;monkey;bee;man,5
beaver,busy,ant;beaver;monkey;bee;man,5
beaver,fast,ant;beaver;monkey;bee;man,5
beaver,small,ant;beaver;monkey;bee;man,5
beaver,smart,ant;beaver;monkey;bee;man,5
horse,hairy,horse;jaguar;bear;gorilla;elephant;cheetah;man,7
horse,big,horse;jaguar;bear;gorilla;elephant;cheetah;man,7
horse,hard,horse;jaguar;bear;gorilla;elephant;cheetah;man,7
horse,fast,horse;jaguar;bear;gorilla;elephant;cheetah;man,7
horse,sleek,horse;jaguar;bear;gorilla;elephant;cheetah;man,7
horse,agile,horse;jaguar;bear;gorilla;elephant;cheetah;man,7
horse,strong,horse;jaguar;bear;gorilla;elephant;cheetah;man,7
eagle,cute,eagle;lion;horse;cat;man,5
eagle,lazy,eagle;lion;horse;cat;man,5
eagle,proud,eagle;lion;horse;cat;man,5
eagle,fast,eagle;lion;horse;cat;man,5
eagle,fierce,eagle;lion;horse;cat;man,5
eagle,majestic,eagle;lion;horse;cat;man,5
eagle,strong,eagle;lion;horse;cat;man,5
jaguar,happy,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
jaguar,lazy,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
jaguar,cute,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
jaguar,agile,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
jaguar,fast,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
jaguar,sleek,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
jaguar,slimy,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
jaguar,slippery,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
jaguar,long,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
jaguar,slithery,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
jaguar,strong,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
jaguar,smart,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
jaguar,scaly,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
armadillo,lazy,turtle;sloth;armadillo;man,4
armadillo,slow,turtle;sloth;armadillo;man,4
armadillo,hard,turtle;sloth;armadillo;man,4
armadillo,strong,turtle;sloth;armadillo;man,4
cat,cute,sloth;kitten;dog;cat;man,5
cat,lazy,sloth;kitten;dog;cat;man,5
cat,slow,sloth;kitten;dog;cat;man,5
cat,playful,sloth;kitten;dog;cat;man,5
cat,loyal,sloth;kitten;dog;cat;man,5
cat,friendly,sloth;kitten;dog;cat;man,5
dog,lazy,dog;cat;man,3
dog,cute,dog;cat;man,3
dog,loyal,dog;cat;man,3
dog,friendly,dog;cat;man,3
kitten,playful,kitten;dog;cat;man,4
kitten,cute,kitten;dog;cat;man,4
kitten,loyal,kitten;dog;cat;man,4
kitten,lazy,kitten;dog;cat;man,4
kitten,friendly,kitten;dog;cat;man,4
hyena,funny,monkey;dog;cat;hyena;lion;bird;man,7
hyena,lazy,monkey;dog;cat;hyena;lion;bird;man,7
hyena,cute,monkey;dog;cat;hyena;lion;bird;man,7
hyena,fast,monkey;dog;cat;hyena;lion;bird;man,7
hyena,small,monkey;dog;cat;hyena;lion;bird;man,7
hyena,loyal,monkey;dog;cat;hyena;lion;bird;man,7
hyena,fierce,monkey;dog;cat;hyena;lion;bird;man,7
hyena,strong,monkey;dog;cat;hyena;lion;bird;man,7
hyena,loud,monkey;dog;cat;hyena;lion;bird;man,7
hyena,friendly,monkey;dog;cat;hyena;lion;bird;man,7
hyena,smart,monkey;dog;cat;hyena;lion;bird;man,7
dolphin,fast,dolphin;dog;bird;man,4
dolphin,loyal,dolphin;dog;bird;man,4
dolphin,small,dolphin;dog;bird;man,4
dolphin,friendly,dolphin;dog;bird;man,4
dolphin,smart,dolphin;dog;bird;man,4
dolphin,happy,dolphin;dog;bird;man,4
snake,slithery,sloth;giraffe;snake;man,4
snake,tall,sloth;giraffe;snake;man,4
snake,lazy,sloth;giraffe;snake;man,4
snake,slow,sloth;giraffe;snake;man,4
snake,long,sloth;giraffe;snake;man,4
deer,stubborn,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
deer,lazy,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
deer,slow,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
deer,cute,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
deer,big,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
deer,quiet,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
deer,fast,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
deer,sleek,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
deer,loyal,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
deer,dumb,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
deer,fat,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
deer,agile,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
deer,small,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
deer,strong,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
deer,friendly,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
deer,dirty,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
sloth,cute,turtle;sloth;cat;man,4
sloth,lazy,turtle;sloth;cat;man,4
sloth,slow,turtle;sloth;cat;man,4
sloth,strong,turtle;sloth;cat;man,4
gorilla,hairy,monkey;bear;cat;gorilla;elephant;whale;man,7
gorilla,funny,monkey;bear;cat;gorilla;elephant;whale;man,7
gorilla,lazy,monkey;bear;cat;gorilla;elephant;whale;man,7
gorilla,cute,monkey;bear;cat;gorilla;elephant;whale;man,7
gorilla,big,monkey;bear;cat;gorilla;elephant;whale;man,7
gorilla,hard,monkey;bear;cat;gorilla;elephant;whale;man,7
gorilla,majestic,monkey;bear;cat;gorilla;elephant;whale;man,7
gorilla,strong,monkey;bear;cat;gorilla;elephant;whale;man,7
gorilla,smart,monkey;bear;cat;gorilla;elephant;whale;man,7
bear,hairy,gorilla;whale;horse;bear;elephant;man,6
bear,big,gorilla;whale;horse;bear;elephant;man,6
bear,hard,gorilla;whale;horse;bear;elephant;man,6
bear,fast,gorilla;whale;horse;bear;elephant;man,6
bear,majestic,gorilla;whale;horse;bear;elephant;man,6
bear,strong,gorilla;whale;horse;bear;elephant;man,6
tiger,fierce,tiger;lion;zebra;man,4
tiger,striped,tiger;lion;zebra;man,4
tiger,strong,tiger;lion;zebra;man,4
tiger,fast,tiger;lion;zebra;man,4
bee,industrious,ant;beaver;jaguar;cheetah;bee;man,6
bee,busy,ant;beaver;jaguar;cheetah;bee;man,6
bee,agile,ant;beaver;jaguar;cheetah;bee;man,6
bee,fast,ant;beaver;jaguar;cheetah;bee;man,6
bee,sleek,ant;beaver;jaguar;cheetah;bee;man,6
bee,small,ant;beaver;jaguar;cheetah;bee;man,6
eel,slimy,eel;man,2
eel,slippery,eel;man,2
cougar,happy,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
cougar,lazy,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
cougar,cute,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
cougar,agile,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
cougar,fast,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
cougar,sleek,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
cougar,slimy,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
cougar,slippery,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
cougar,long,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
cougar,slithery,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
cougar,strong,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
cougar,smart,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
cougar,scaly,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
fish,slimy,fish;man,2
fish,scaly,fish;man,2
donkey,stubborn,turtle;sloth;donkey;man,4
donkey,lazy,turtle;sloth;donkey;man,4
donkey,slow,turtle;sloth;donkey;man,4
donkey,strong,turtle;sloth;donkey;man,4
cow,majestic,whale;cow;elephant;man,4
cow,big,whale;cow;elephant;man,4
cow,hard,whale;cow;elephant;man,4
cow,fat,whale;cow;elephant;man,4
hippo,majestic,hippo;whale;elephant;man,4
hippo,big,hippo;whale;elephant;man,4
hippo,hard,hippo;whale;elephant;man,4
hippo,fat,hippo;whale;elephant;man,4
mule,stubborn,turtle;sloth;mule;man,4
mule,lazy,turtle;sloth;mule;man,4
mule,slow,turtle;sloth;mule;man,4
mule,strong,turtle;sloth;mule;man,4
pig,dirty,pig;man,2
pig,fat,pig;man,2
zebra,fierce,tiger;cheetah;jaguar;zebra;man,5
zebra,agile,tiger;cheetah;jaguar;zebra;man,5
zebra,striped,tiger;cheetah;jaguar;zebra;man,5
zebra,fast,tiger;cheetah;jaguar;zebra;man,5
zebra,sleek,tiger;cheetah;jaguar;zebra;man,5
