workerid	Answer.gender	Answer.nativeLanguage	Answer.income	Answer.age	Answer.orders	Answer.categoryIDs	Answer.origAnimals	Answer.features	Answer.featureNums	Answer.altAnimals
A2E3TO92MCQ9XU	M	English	6	35	1,2,3,4,5,6,7,8,9	29,1,21,1,21,29,21,1,29	whale,ant,monkey,ant,monkey,whale,monkey,ant,whale	majestic,busy,smart,small,funny,graceful,playful,strong,large	3,3,2,1,1,2,3,2,1	brontosaurus,zebra,cat,mouse,platypus,cat,velociraptor,elephant,blue whale
A1IW4F5LP5152V	M	english	4	25	1,2,3,4,5,6,7,8,9	1,21,21,29,29,1,29,21,1	ant,monkey,monkey,whale,whale,ant,whale,monkey,ant	strong,funny,smart,large,majestic,busy,graceful,playful,small	2,1,2,1,3,3,2,3,1	bear,puppy,coyote,elephant,lion,bee,lion,dog,rabbit
A3GQZQ1GYUG3PC	M	English	4	25	1,2,3,4,5,6,7,8,9	1,29,21,29,21,1,1,21,29	ant,whale,monkey,whale,monkey,ant,ant,monkey,whale	busy,graceful,smart,majestic,playful,strong,small,funny,large	3,2,2,3,3,2,1,1,1	bear,eagle,dog,horse,cat,lion,mouse,monkey,elephant
A9HFZID537EXA	M	English	4	25	1,2,3,4,5,6,7,8,9	21,29,29,1,1,1,29,21,21	monkey,whale,whale,ant,ant,ant,whale,monkey,monkey	playful,large,majestic,busy,small,strong,graceful,funny,smart	3,1,3,3,1,2,2,1,2	dog,elephant,lion,bee,ant,bear,eagle,cat,dolphin
A6WIMDZ0F4NF5	F	English	4	25	1,2,3,4,5,6,7,8,9	21,29,21,1,1,29,1,21,29	monkey,whale,monkey,ant,ant,whale,ant,monkey,whale	smart,majestic,funny,strong,busy,large,small,playful,graceful	2,3,1,2,3,1,1,3,2	cat,horse,dog,bear,beaver,ox,mouse,panda,swan
A16TESTJICU76L	M	English	4	25	1,2,3,4,5,6,7,8,9	29,21,21,1,29,29,21,1,1	whale,monkey,monkey,ant,whale,whale,monkey,ant,ant	graceful,playful,smart,strong,large,majestic,funny,busy,small	2,3,2,2,1,3,1,3,1	Swan,Dog,Dolphin,Lion,Elephant,Tiger,Chimpanzee,Bee,Ant
A2ASJ41RBJA0E5	M	English	6	35	1,2,3,4,5,6,7,8,9	29,21,21,29,29,1,21,1,1	whale,monkey,monkey,whale,whale,ant,monkey,ant,ant	majestic,playful,smart,graceful,large,small,funny,strong,busy	3,3,2,2,1,1,1,2,3	eagle,cat,dolphin,lion,elephant,mouse,walrus,ox,ant
A22XK2FSFIAAFG	M	English	4	25	1,2,3,4,5,6,7,8,9	21,29,29,1,1,1,21,29,21	monkey,whale,whale,ant,ant,ant,monkey,whale,monkey	playful,graceful,large,small,busy,strong,funny,majestic,smart	3,2,1,1,3,2,1,3,2	cat,deer,elephant,mouse,bird,lion,monkey,rabbit,dog
A3NSX46VYD9J49	F	english	8	45	1,2,3,4,5,6,7,8,9	21,29,1,1,29,29,21,21,1	monkey,whale,ant,ant,whale,whale,monkey,monkey,ant	smart,large,small,busy,graceful,majestic,funny,playful,strong	2,1,1,3,2,3,1,3,2	cat,eleqhant,hamster,monkey,gazelle,lion,chimpanzee,dog,tiger
A36NTNEXBNBIOD	M	Vietnamese	0	25	1,2,3,4,5,6,7,8,9	1,21,21,29,29,21,1,1,29	ant,monkey,monkey,whale,whale,monkey,ant,ant,whale	busy,funny,playful,graceful,majestic,smart,strong,small,large	3,1,3,2,3,2,2,1,1	dog,cat,dog,swan,peacock,dolphin,polar bear,mouse,elephant
A3G3LOU9P9P60N	M	English	4	25	1,2,3,4,5,6,7,8,9	1,29,21,29,29,1,21,1,21	ant,whale,monkey,whale,whale,ant,monkey,ant,monkey	busy,majestic,funny,large,graceful,small,smart,strong,playful	3,3,1,1,2,1,2,2,3	bee,lion,hyena,elephant,cheetah,ant,elephant,ox,dog
A3BX7MIZ81VOD0	M	English	4	25	1,2,3,4,5,6,7,8,9	1,29,1,29,21,29,21,21,1	ant,whale,ant,whale,monkey,whale,monkey,monkey,ant	strong,graceful,small,majestic,playful,large,funny,smart,busy	2,2,1,3,3,1,1,2,3	lion,gazelle,snail,monkey,panda,giraffe,orangutang,owl,bee
A2GNS8YQ7S233F	M	English	0	25	1,2,3,4,5,6,7,8,9	1,1,21,29,1,21,29,29,21	ant,ant,monkey,whale,ant,monkey,whale,whale,monkey	busy,small,playful,graceful,strong,funny,majestic,large,smart	3,1,3,2,2,1,3,1,2	bee,snail,dolphin,butterfly,ox,beaver,whale,whale,dog
A27LGC4MU1R7PQ	M	English	0	25	1,2,3,4,5,6,7,8,9	29,21,21,29,21,1,1,1,29	whale,monkey,monkey,whale,monkey,ant,ant,ant,whale	large,funny,smart,majestic,playful,strong,busy,small,graceful	1,1,2,3,3,2,3,1,2	elephant,giraffe,owl,eagle,kitten,bear,bee,mouse,gazelle
A27HVVLSZZ13XK	M	English	4	45	1,2,3,4,5,6,7,8,9	1,21,29,29,29,21,1,21,1	ant,monkey,whale,whale,whale,monkey,ant,monkey,ant	busy,playful,graceful,majestic,large,funny,strong,smart,small	3,3,2,3,1,1,2,2,1	beaver,otter,cat,lion,elephant,dog,ox,owl,mouse
A1DH9XSPAHZHVB	F	English	4	45	1,2,3,4,5,6,7,8,9	21,21,21,29,1,29,29,1,1	monkey,monkey,monkey,whale,ant,whale,whale,ant,ant	playful,funny,smart,large,strong,majestic,graceful,small,busy	3,1,2,1,2,3,2,1,3	dog,squirrel,cat,elephant,lion,eagle,swan,mouse,ant
A2QH6KC3S3KCMX	M	English	4	25	1,2,3,4,5,6,7,8,9	1,21,21,29,1,29,1,29,21	ant,monkey,monkey,whale,ant,whale,ant,whale,monkey	strong,playful,smart,large,small,graceful,busy,majestic,funny	2,3,2,1,1,2,3,3,1	elephant,cat,horse,rhino,hamster,giraffe,dog,lion,sloth
A1DX8T0U3UTD0R	M	English	6	45	1,2,3,4,5,6,7,8,9	29,1,21,29,1,21,29,21,1	whale,ant,monkey,whale,ant,monkey,whale,monkey,ant	graceful,busy,smart,large,small,funny,majestic,playful,strong	2,3,2,1,1,1,3,3,2	cat,hamster,monkey,whale,mouse,cat,dog,squirrel,bull
A1FDAQBV8RBA5K	M	English	0	25	1,2,3,4,5,6,7,8,9	1,1,21,1,29,29,21,29,21	ant,ant,monkey,ant,whale,whale,monkey,whale,monkey	busy,small,playful,strong,majestic,graceful,smart,large,funny	3,1,3,2,3,2,2,1,1	bee,snail,bird,ape,peacock,swan,otter,whale,monkey
A61GHYNS1DFT7	M	English	4	25	1,2,3,4,5,6,7,8,9	29,29,1,1,21,21,29,21,1	whale,whale,ant,ant,monkey,monkey,whale,monkey,ant	large,majestic,strong,busy,funny,smart,graceful,playful,small	1,3,2,3,1,2,2,3,1	elephant,lion,bear,bee,baboon,dolphin,giraffe,monkey,sugarglider
AMMWXVR95HRTK	F	English	6	45	1,2,3,4,5,6,7,8,9	21,29,21,1,29,29,21,1,1	monkey,whale,monkey,ant,whale,whale,monkey,ant,ant	playful,majestic,smart,strong,graceful,large,funny,small,busy	3,3,2,2,2,1,1,1,3	seal,lion,dolphin,bear,swan,elephant,monkey,mouse,beaver
A2B3EQ7U5OBODP	F	English	8	45	1,2,3,4,5,6,7,8,9	21,29,29,1,29,21,1,1,21	monkey,whale,whale,ant,whale,monkey,ant,ant,monkey	funny,large,majestic,busy,graceful,smart,small,strong,playful	1,1,3,3,2,2,1,2,3	cat,elephant,lion,bee,gazelle,chimpanzee,mouse,rhino,kitten
A3L566X0J1DLP	M	english	6	35	1,2,3,4,5,6,7,8,9	29,21,29,21,1,1,1,21,29	whale,monkey,whale,monkey,ant,ant,ant,monkey,whale	graceful,funny,majestic,smart,busy,strong,small,playful,large	2,1,3,2,3,2,1,3,1	EAGLE,seal,peacock,dolphin,beaver,lion,mouse,dog,gorilla
A3VNTN07XJ79H0	M	English	11	45	1,2,3,4,5,6,7,8,9	21,29,29,1,21,1,1,29,21	monkey,whale,whale,ant,monkey,ant,ant,whale,monkey	playful,large,graceful,strong,funny,busy,small,majestic,smart	3,1,2,2,1,3,1,3,2	kitten,elephant,swan,ox,monkey,bee,ant,eagle,dolphin
A1CH1PHXP9V5BL	F	English	4	45	1,2,3,4,5,6,7,8,9	1,21,1,29,1,29,21,29,21	ant,monkey,ant,whale,ant,whale,monkey,whale,monkey	small,playful,strong,large,busy,graceful,smart,majestic,funny	1,3,2,1,3,2,2,3,1	ant,dog,lion,whale,bee,swan,dolphin,horse,dog
A1ZMSISQD2JE50	F	english	11	35	1,2,3,4,5,6,7,8,9	29,21,29,1,21,29,21,1,1	whale,monkey,whale,ant,monkey,whale,monkey,ant,ant	graceful,playful,large,strong,funny,majestic,smart,busy,small	2,3,1,2,1,3,2,3,1	GIRAFFE,KITTEN,RHINOCEROS,LION,OSTRICH,EAGLE,CAT,ANT,FLEA
A1LHQPNEW7I704	M	english	4	35	1,2,3,4,5,6,7,8,9	21,21,21,29,1,29,29,1,1	monkey,monkey,monkey,whale,ant,whale,whale,ant,ant	funny,playful,smart,graceful,small,large,majestic,strong,busy	1,3,2,2,1,1,3,2,3	monkey,squirrel,parrot,swan,mouse,elephant,whale,ox,beaver
A1TWKYR6QMINZY	M	English	4	25	1,2,3,4,5,6,7,8,9	1,21,21,1,29,29,1,21,29	ant,monkey,monkey,ant,whale,whale,ant,monkey,whale	busy,playful,smart,small,majestic,graceful,strong,funny,large	3,3,2,1,3,2,2,1,1	monkey,puppy,dolphin,mouse,unicorn,swan,gorilla,monkey,elephant
A2PAXN8UZU4W0O	F	English	4	25	1,2,3,4,5,6,7,8,9	1,21,29,29,21,1,1,21,29	ant,monkey,whale,whale,monkey,ant,ant,monkey,whale	strong,smart,large,majestic,funny,busy,small,playful,graceful	2,2,1,3,1,3,1,3,2	lion,monkey,elephant,peacock,monkey,ant,beatle,monkey,gazelle
A34YD9P7KI4RF	F	English	4	55	1,2,3,4,5,6,7,8,9	1,29,21,1,21,29,1,29,21	ant,whale,monkey,ant,monkey,whale,ant,whale,monkey	strong,graceful,playful,small,funny,majestic,busy,large,smart	2,2,3,1,1,3,3,1,2	cougar,cheetah,kitten,puppy,bird,tiger,monkey,elephant,dolphin
A3IQR2DCG24H8I	F	English	6	45	1,2,3,4,5,6,7,8,9	1,29,29,21,21,1,21,1,29	ant,whale,whale,monkey,monkey,ant,monkey,ant,whale	busy,graceful,majestic,smart,playful,strong,funny,small,large	3,2,3,2,3,2,1,1,1	beaver,swan,eagle,monkey,kitten,bear,dingo,ant,elephant
A18WSAKX5YN2FB	F	ENGLISH	4	35	1,2,3,4,5,6,7,8,9	1,1,29,29,1,29,21,21,21	ant,ant,whale,whale,ant,whale,monkey,monkey,monkey	busy,small,majestic,graceful,strong,large,funny,smart,playful	3,1,3,2,2,1,1,2,3	BEE,ANT,LION,SWAN,OX,ELEPHANT,MONKEY,APE,PUPPY
A3U38W8L9DG6L5	M	English	8	55	1,2,3,4,5,6,7,8,9	29,1,29,1,29,1,21,21,21	whale,ant,whale,ant,whale,ant,monkey,monkey,monkey	large,small,graceful,strong,majestic,busy,playful,smart,funny	1,1,2,2,3,3,3,2,1	elephant,mouse,swan,lion,eagle,beaver,otter,owl,hyena
A2L9KOQWNKJ834	F	English	0	45	1,2,3,4,5,6,7,8,9	1,29,21,1,1,29,21,29,21	ant,whale,monkey,ant,ant,whale,monkey,whale,monkey	strong,graceful,funny,small,busy,majestic,playful,large,smart	2,2,1,1,3,3,3,1,2	donkey,gazelle,otter,dog,bee,lion,dog,elephant,dolphin
A2CSV75E3JT58Y	M	English	4	65	1,2,3,4,5,6,7,8,9	21,21,29,29,1,21,1,29,1	monkey,monkey,whale,whale,ant,monkey,ant,whale,ant	smart,playful,graceful,large,busy,funny,small,majestic,strong	2,3,2,1,3,1,1,3,2	pig,kitten,gazelle,elephant,beaver,hyena,mouse,giraffe,chimp
A11B8MKRVXG7J1	F	english	6	35	1,2,3,4,5,6,7,8,9	1,21,29,29,21,29,1,1,21	ant,monkey,whale,whale,monkey,whale,ant,ant,monkey	strong,smart,majestic,graceful,playful,large,busy,small,funny	2,2,3,2,3,1,3,1,1	Bear,wolf,lion,deer,monkey,elephant,bee,mouse,platypus
A3OES261FS7CKG	M	english	11	25	1,2,3,4,5,6,7,8,9	21,1,29,1,29,1,21,29,21	monkey,ant,whale,ant,whale,ant,monkey,whale,monkey	funny,busy,graceful,strong,large,small,playful,majestic,smart	1,3,2,2,1,1,3,3,2	hippo,bee,swan,elephant,rhino,mouse,cat,lion,dog
A0686676FGTO586CMUE5	F	English	4	25	1,2,3,4,5,6,7,8,9	1,29,21,29,1,29,21,21,1	ant,whale,monkey,whale,ant,whale,monkey,monkey,ant	strong,majestic,funny,large,small,graceful,playful,smart,busy	2,3,1,1,1,2,3,2,3	Lion,Horse,Hippo,Whale,Chihuahua,Bird,Chihuahua,Dolphin,Bee
A2QUXDWLAWF45P	M	english	6	35	1,2,3,4,5,6,7,8,9	29,21,21,1,21,29,1,29,1	whale,monkey,monkey,ant,monkey,whale,ant,whale,ant	majestic,playful,smart,strong,funny,graceful,small,large,busy	3,3,2,2,1,2,1,1,3	eagle,cat,dog,bear,koala,panda bear,mouse,whale,ants
A2AUORHVBMFFII	F	English	6	35	1,2,3,4,5,6,7,8,9	21,29,29,29,1,21,21,1,1	monkey,whale,whale,whale,ant,monkey,monkey,ant,ant	smart,large,graceful,majestic,strong,funny,playful,small,busy	2,1,2,3,2,1,3,1,3	owl,hippo,cheetah,eagle,elephant,hyena,dog,mouse,beaver
