workerid	Answer.gender	Answer.nativeLanguage	Answer.income	Answer.age	Answer.orders	Answer.categoryIDs	Answer.animals	Answer.adjectives
32	F	english	0	65	1,2,3,4,5,6,7,8,9,10,11,12	2,4,10,12,1,3,6,11,8,9,5,7	whale,elephant,turtle,rabbit,ant,bird,monkey,lion,giraffe,cheetah,panda,penguin	blue,large,slow,fuzzy,annoying,beautiful,curious,hungry,magestic,loyal,round,sleek
33	F	English	8	35	1,2,3,4,5,6,7,8,9,10,11,12	5,4,1,12,2,9,10,11,7,3,6,8	panda,elephant,ant,rabbit,whale,cheetah,turtle,lion,penguin,bird,monkey,giraffe	cuddly,big,tiny,cute,giant,fast,slow,powerful,loveable,free,funny,tall
34	M	English	4	65	1,2,3,4,5,6,7,8,9,10,11,12	3,12,9,8,10,4,1,7,11,2,5,6	bird,rabbit,cheetah,giraffe,turtle,elephant,ant,penguin,lion,whale,panda,monkey	feathery,fuzzy,blazing,awkward,boxy,enormous,focused,funny,majestic,enormous,cute,curious
35	F	English	8	65	1,2,3,4,5,6,7,8,9,10,11,12	9,3,7,12,6,8,1,10,5,11,4,2	cheetah,bird,penguin,rabbit,monkey,giraffe,ant,turtle,panda,lion,elephant,whale	fast,small,funny,soft,busy,tall,industrious,patient,cute,regal,triumphant,enormous
36	F	English	4	35	1,2,3,4,5,6,7,8,9,10,11,12	6,9,11,1,12,3,8,5,4,7,10,2	monkey,cheetah,lion,ant,rabbit,bird,giraffe,panda,elephant,penguin,turtle,whale	funny,fast,loud,small,cute,pretty,tall,cute,huge,funny,slow,large
37	F	Chinese	11	45	1,2,3,4,5,6,7,8,9,10,11,12	3,5,10,8,9,12,4,6,7,2,1,11	bird,panda,turtle,giraffe,cheetah,rabbit,elephant,monkey,penguin,whale,ant,lion	cute,rare,hard,long,cruel,fast,big,cute,cute,big,small,strong
38	F	english	4	25	1,2,3,4,5,6,7,8,9,10,11,12	6,1,2,8,3,7,10,12,4,11,9,5	monkey,ant,whale,giraffe,bird,penguin,turtle,rabbit,elephant,lion,cheetah,panda	banana,bite,large,tall,flying,waddle,shell,hop,gray,roar,spots,bamboo
39	F	English	4	25	1,2,3,4,5,6,7,8,9,10,11,12	11,6,9,7,8,5,2,12,1,3,4,10	lion,monkey,cheetah,penguin,giraffe,panda,whale,rabbit,ant,bird,elephant,turtle	strong,funny,fast,adorable,tall,cute,big,cute,annoying,common,huge,slow
40	M	English	4	65	1,2,3,4,5,6,7,8,9,10,11,12	2,12,6,11,10,5,8,3,1,9,7,4	whale,rabbit,monkey,lion,turtle,panda,giraffe,bird,ant,cheetah,penguin,elephant	Big,fast,agile,fierce,slow,cute,tall,swift,tiny,fast,clumsy,big
41	F	English	6	35	1,2,3,4,5,6,7,8,9,10,11,12	12,4,11,9,2,8,6,1,7,3,5,10	rabbit,elephant,lion,cheetah,whale,giraffe,monkey,ant,penguin,bird,panda,turtle	furry,large,powerful,fast,immense,engineered,smart,powerhouse,slippery,lightweight,cuddly,reserved
42	F	English	11	65	1,2,3,4,5,6,7,8,9,10,11,12	11,8,2,3,9,10,12,1,7,5,6,4	lion,giraffe,whale,bird,cheetah,turtle,rabbit,ant,penguin,panda,monkey,elephant	fierce,tall,gigantic,flying,swift,slow,fast,mighty,unflighted,benign,inquisitive,grand
43	M	ENglish	4	35	1,2,3,4,5,6,7,8,9,10,11,12	9,1,4,10,12,3,8,6,11,5,7,2	cheetah,ant,elephant,turtle,rabbit,bird,giraffe,monkey,lion,panda,penguin,whale	fast,small,huge,protected,quick,swift,long,agile,royalty,forgien,cold,huge
44	F	english	4	25	1,2,3,4,5,6,7,8,9,10,11,12	7,9,5,10,11,4,12,6,8,3,1,2	penguin,cheetah,panda,turtle,lion,elephant,rabbit,monkey,giraffe,bird,ant,whale	fun,fast,cute,slow,mean,big,cute,funny,tall,cute,small,big
45	F	filipino	4	55	1,2,3,4,5,6,7,8,9,10,11,12	12,5,11,3,1,7,8,4,10,2,9,6	rabbit,panda,lion,bird,ant,penguin,giraffe,elephant,turtle,whale,cheetah,monkey	feline,sleepy,brave,beautiful,small,cute,tall,big,slow,mammal,runner,crazy
46	F	ENGLISH	4	35	1,2,3,4,5,6,7,8,9,10,11,12	2,8,5,6,12,3,11,10,7,9,4,1	whale,giraffe,panda,monkey,rabbit,bird,lion,turtle,penguin,cheetah,elephant,ant	BIG,TALL,CUTE,LIKEABLE,FURRY,SMELLY,LOUD,SLOW,BLACK,FAST,HUGE,SMALL
47	F	English	4	25	1,2,3,4,5,6,7,8,9,10,11,12	8,3,9,6,4,5,11,7,12,1,2,10	giraffe,bird,cheetah,monkey,elephant,panda,lion,penguin,rabbit,ant,whale,turtle	tall,avian,speedy,primal,heavy,black,ferocious,feathered,hoppy,small,huge,slow
48	F	English	0	25	1,2,3,4,5,6,7,8,9,10,11,12	7,4,2,6,9,1,11,10,12,3,5,8	penguin,elephant,whale,monkey,cheetah,ant,lion,turtle,rabbit,bird,panda,giraffe	black,round,slick,furry,cheetos,tiny,yellow,cute,creepy,blue,fluffy,tall
49	F	English	4	35	1,2,3,4,5,6,7,8,9,10,11,12	3,1,12,7,9,8,11,4,10,6,2,5	bird,ant,rabbit,penguin,cheetah,giraffe,lion,elephant,turtle,monkey,whale,panda	chirp,crawling,jumper,waddles,roar,tall,mean,big,slow,ape,ocean,spotted
50	M	Chinese	4	25	1,2,3,4,5,6,7,8,9,10,11,12	11,8,6,10,4,12,3,1,7,9,5,2	lion,giraffe,monkey,turtle,elephant,rabbit,bird,ant,penguin,cheetah,panda,whale	strong,tall,quick,slow,big,cute,free,tiny,adorable,fast,lazy,huge
