workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
10,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,34S9DKFK73Q193LOSSE2QVTDMTTNY1,10,Approved,Wed Sep 02 00:02:00 PDT 2015,Tue Sep 01 07:13:05 PDT 2015,Tue Sep 01 07:22:00 PDT 2015,Wed Sep 02 00:07:01 PDT 2015,,,,,[],"""condition 2""",2.0535
11,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3ERET4BTVMAL0WSDN3U6ZMJIJP2K93,11,Approved,Wed Sep 02 00:07:37 PDT 2015,Tue Sep 01 07:13:07 PDT 2015,Tue Sep 01 07:27:37 PDT 2015,Wed Sep 02 00:11:59 PDT 2015,,,,,[],"""condition 2""",10.770833333333334
12,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3JAOYWH7VI5WK2AV8367EMWX8P8L98,12,Approved,Wed Sep 02 00:08:50 PDT 2015,Tue Sep 01 07:13:01 PDT 2015,Tue Sep 01 07:28:50 PDT 2015,Wed Sep 02 00:11:59 PDT 2015,,,,,[],"""condition 1""",7.937283333333333
13,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3ZSY5X72NXCAUN9EFCMLXO0L9GJORF,13,Approved,Wed Sep 02 00:09:49 PDT 2015,Tue Sep 01 07:26:06 PDT 2015,Tue Sep 01 07:29:49 PDT 2015,Wed Sep 02 00:11:59 PDT 2015,,,,,[],"""condition 1""",2.8745333333333334
14,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3MX2NQ3YC9V8J9P8JWWED0MIT2Z5XN,14,Approved,Wed Sep 02 00:10:03 PDT 2015,Tue Sep 01 07:12:56 PDT 2015,Tue Sep 01 07:30:03 PDT 2015,Wed Sep 02 00:11:59 PDT 2015,,,,,[],"""condition 1""",2.30605
15,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3TVRFO09GKGMLYSTBJCLUPIFFSYXL2,15,Approved,Wed Sep 02 00:10:24 PDT 2015,Tue Sep 01 07:12:58 PDT 2015,Tue Sep 01 07:30:24 PDT 2015,Wed Sep 02 00:11:59 PDT 2015,,,,,[],"""condition 1""",2.73845
16,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3MMN5BL1WZ5UBI30R66CNM8082O3MB,16,Approved,Wed Sep 02 00:14:16 PDT 2015,Tue Sep 01 07:13:01 PDT 2015,Tue Sep 01 07:34:16 PDT 2015,Wed Sep 02 00:16:54 PDT 2015,,,,,[],"""condition 1""",4.554166666666666
17,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3LQ8PUHQFLTN97K8LCXMZN2TAYLHIF,17,Approved,Wed Sep 02 00:15:26 PDT 2015,Tue Sep 01 07:13:04 PDT 2015,Tue Sep 01 07:35:26 PDT 2015,Wed Sep 02 00:16:54 PDT 2015,,,,,[],"""condition 2""",3.5989333333333335
18,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,30X31N5D63RXTYFQKIH8M3LC61XSA7,18,Approved,Wed Sep 02 00:16:47 PDT 2015,Tue Sep 01 07:13:01 PDT 2015,Tue Sep 01 07:36:47 PDT 2015,Wed Sep 02 00:16:55 PDT 2015,,,,,[],"""condition 2""",1.8576833333333334
19,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3C5W7UE9CFR6RGAEBVD0U2X4FXOXM4,19,Approved,Wed Sep 02 00:44:02 PDT 2015,Tue Sep 01 07:43:19 PDT 2015,Tue Sep 01 08:04:02 PDT 2015,Wed Sep 02 00:46:50 PDT 2015,,,,,[],"""condition 1""",3.543816666666667
20,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,33CID57104UA50LFRU5XN9TB8ZG3LV,20,Approved,Thu Sep 03 02:16:35 PDT 2015,Wed Sep 02 09:34:10 PDT 2015,Wed Sep 02 09:36:35 PDT 2015,Thu Sep 03 02:16:51 PDT 2015,,,,,[],"""condition 2""",2.35315
21,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3SBEHTYCWN49V2AXVC1ALNXW0WHIY2,21,Approved,Thu Sep 03 02:21:28 PDT 2015,Wed Sep 02 09:34:05 PDT 2015,Wed Sep 02 09:41:28 PDT 2015,Thu Sep 03 02:21:51 PDT 2015,,,,,[],"""condition 2""",4.42675
22,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3YT88D1N08ZZLU3X6UTW89GWJZB3KS,22,Approved,Thu Sep 03 02:22:33 PDT 2015,Wed Sep 02 09:34:10 PDT 2015,Wed Sep 02 09:42:33 PDT 2015,Thu Sep 03 02:26:50 PDT 2015,,,,,[],"""condition 1""",8.271383333333333
23,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3TDXMTX3CBV7CI0RPT6I2WD31MNI61,23,Approved,Thu Sep 03 02:23:14 PDT 2015,Wed Sep 02 09:34:08 PDT 2015,Wed Sep 02 09:43:14 PDT 2015,Thu Sep 03 02:26:50 PDT 2015,,,,,[],"""condition 1""",1.9456166666666668
24,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3X0H8UUIT1PU0BITLND04SI3YMISW4,24,Approved,Thu Sep 03 02:23:52 PDT 2015,Wed Sep 02 09:34:02 PDT 2015,Wed Sep 02 09:43:52 PDT 2015,Thu Sep 03 02:26:51 PDT 2015,,,,,[],"""condition 2""",9.73775
25,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3D4CH1LGEAUGYAWUXC9R1URPCA49GC,25,Approved,Thu Sep 03 02:27:43 PDT 2015,Wed Sep 02 09:34:06 PDT 2015,Wed Sep 02 09:47:43 PDT 2015,Thu Sep 03 02:31:50 PDT 2015,,,,,[],"""condition 2""",6.139183333333333
26,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,392CY0QWG1STXVWD65D35YTP5VHI4G,26,Approved,Thu Sep 03 02:30:56 PDT 2015,Wed Sep 02 09:33:59 PDT 2015,Wed Sep 02 09:50:56 PDT 2015,Thu Sep 03 02:31:50 PDT 2015,,,,,[],"""condition 2""",16.913066666666666
27,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3B1NLC6UGZX1QXC1E15ONKR4HEMGPE,27,Approved,Thu Sep 03 02:32:35 PDT 2015,Wed Sep 02 09:37:02 PDT 2015,Wed Sep 02 09:52:35 PDT 2015,Thu Sep 03 02:36:50 PDT 2015,,,,,[],"""condition 2""",3.227133333333333
28,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3G2UL9A02DFANYJV622LB7NUN6D67V,28,Approved,Thu Sep 03 02:38:04 PDT 2015,Wed Sep 02 09:34:02 PDT 2015,Wed Sep 02 09:58:04 PDT 2015,Thu Sep 03 02:41:50 PDT 2015,,,,,[],"""condition 1""",1.9271333333333334
29,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,34Z02EIMISE27LUNHGP5725LZ0I0T0,29,Approved,Thu Sep 03 02:40:00 PDT 2015,Wed Sep 02 09:35:15 PDT 2015,Wed Sep 02 10:00:00 PDT 2015,Thu Sep 03 02:41:50 PDT 2015,,,,,[],"""condition 2""",9.250566666666666
