workerid,questionType,trial_type,featureType,animalID,question,feature,animal,response
0,general,multi_slider,expanded,4,general,playful,elephant,0.56
0,general,multi_slider,expanded,4,general,majestic,elephant,0.88
0,general,multi_slider,expanded,4,general,fierce,elephant,0.4
0,general,multi_slider,expanded,4,general,fast,elephant,0.74
0,general,multi_slider,expanded,4,general,cute,elephant,0.21
0,general,multi_slider,expanded,4,general,hairy,elephant,0.33
0,general,multi_slider,expanded,4,general,lazy,elephant,0.66
0,general,multi_slider,expanded,4,general,loyal,elephant,0.44
0,general,multi_slider,expanded,4,general,proud,elephant,0.48
0,general,multi_slider,expanded,4,general,friendly,elephant,0.62
0,general,multi_slider,core,4,general,big,elephant,0.75
0,general,multi_slider,expanded,4,general,slow,elephant,0.8
0,specific,multi_slider,expanded,1,small,funny,ant,0.27
0,specific,multi_slider,expanded,1,small,sleek,ant,0.64
0,specific,multi_slider,core,1,small,industrious,ant,0.59
0,specific,multi_slider,expanded,1,small,fast,ant,0.57
0,specific,multi_slider,expanded,1,small,quiet,ant,0.24
0,specific,multi_slider,expanded,1,small,busy,ant,0.58
0,specific,multi_slider,core,1,small,small,ant,0.84
0,specific,multi_slider,expanded,1,small,smart,ant,0.81
0,specific,multi_slider,expanded,1,small,agile,ant,0.8
1,specific,multi_slider,core,6,smart,funny,monkey,0
1,specific,multi_slider,expanded,6,smart,agile,monkey,0
1,specific,multi_slider,expanded,6,smart,loud,monkey,0
1,specific,multi_slider,expanded,6,smart,sleek,monkey,0
1,specific,multi_slider,expanded,6,smart,industrious,monkey,0
1,specific,multi_slider,expanded,6,smart,friendly,monkey,0.49
1,specific,multi_slider,expanded,6,smart,fast,monkey,0
1,specific,multi_slider,expanded,6,smart,loyal,monkey,0
1,specific,multi_slider,expanded,6,smart,busy,monkey,0
1,specific,multi_slider,expanded,6,smart,cute,monkey,0.53
1,specific,multi_slider,expanded,6,smart,playful,monkey,0.58
1,specific,multi_slider,expanded,6,smart,dumb,monkey,0
1,specific,multi_slider,expanded,6,smart,lazy,monkey,0
1,specific,multi_slider,expanded,6,smart,quiet,monkey,0
1,specific,multi_slider,expanded,6,smart,small,monkey,0
1,specific,multi_slider,expanded,6,smart,happy,monkey,0.5
1,specific,multi_slider,core,6,smart,smart,monkey,0
1,general,multi_slider,core,11,general,strong,lion,0.43
1,general,multi_slider,expanded,11,general,majestic,lion,0.3
1,general,multi_slider,expanded,11,general,hairy,lion,0
1,general,multi_slider,expanded,11,general,fast,lion,0
1,general,multi_slider,expanded,11,general,proud,lion,0
1,general,multi_slider,core,11,general,fierce,lion,0.49
1,general,multi_slider,expanded,11,general,striped,lion,0
1,general,multi_slider,expanded,11,general,hard,lion,0
1,general,multi_slider,expanded,11,general,big,lion,0.66
1,specific,multi_slider,expanded,5,cute,loyal,panda,0
1,specific,multi_slider,expanded,5,cute,hard,panda,0
1,specific,multi_slider,expanded,5,cute,friendly,panda,0.64
1,specific,multi_slider,core,5,cute,cute,panda,0.55
1,specific,multi_slider,core,5,cute,big,panda,0.38
1,specific,multi_slider,expanded,5,cute,lazy,panda,0
1,specific,multi_slider,expanded,5,cute,majestic,panda,0
1,specific,multi_slider,expanded,5,cute,playful,panda,0.69
1,specific,multi_slider,expanded,9,agile,small,cheetah,0
1,specific,multi_slider,expanded,9,agile,loyal,cheetah,0
1,specific,multi_slider,expanded,9,agile,funny,cheetah,0
1,specific,multi_slider,expanded,9,agile,dumb,cheetah,0
1,specific,multi_slider,expanded,9,agile,smart,cheetah,0
1,specific,multi_slider,expanded,9,agile,friendly,cheetah,0
1,specific,multi_slider,expanded,9,agile,lazy,cheetah,0
1,specific,multi_slider,core,9,agile,fast,cheetah,1
1,specific,multi_slider,expanded,9,agile,playful,cheetah,0
1,specific,multi_slider,expanded,9,agile,sleek,cheetah,0.73
1,specific,multi_slider,expanded,9,agile,quiet,cheetah,0.58
1,specific,multi_slider,expanded,9,agile,cute,cheetah,0
1,specific,multi_slider,expanded,9,agile,industrious,cheetah,0
1,specific,multi_slider,core,9,agile,agile,cheetah,0.87
1,specific,multi_slider,expanded,2,majestic,cute,whale,0.52
1,specific,multi_slider,expanded,2,majestic,hard,whale,0
1,specific,multi_slider,expanded,2,majestic,friendly,whale,0.36
1,specific,multi_slider,expanded,2,majestic,loyal,whale,0
1,specific,multi_slider,expanded,2,majestic,slow,whale,0.46
1,specific,multi_slider,core,2,majestic,majestic,whale,0.58
1,specific,multi_slider,expanded,2,majestic,playful,whale,0
1,specific,multi_slider,expanded,2,majestic,strong,whale,0.42
1,specific,multi_slider,expanded,2,majestic,fierce,whale,0
1,specific,multi_slider,expanded,2,majestic,fast,whale,0
1,specific,multi_slider,expanded,2,majestic,proud,whale,0
1,specific,multi_slider,core,2,majestic,big,whale,0.85
1,specific,multi_slider,expanded,2,majestic,lazy,whale,0
1,specific,multi_slider,expanded,8,tall,slithery,giraffe,0
1,specific,multi_slider,expanded,8,tall,fast,giraffe,0
1,specific,multi_slider,expanded,8,tall,strong,giraffe,0.35
1,specific,multi_slider,core,8,tall,long,giraffe,0.53
1,specific,multi_slider,core,8,tall,tall,giraffe,1
2,general,multi_slider,expanded,2,general,loyal,whale,0
2,general,multi_slider,core,2,general,big,whale,1
2,general,multi_slider,expanded,2,general,fast,whale,0
2,general,multi_slider,expanded,2,general,strong,whale,0
2,general,multi_slider,expanded,2,general,proud,whale,0
2,general,multi_slider,expanded,2,general,lazy,whale,1
2,general,multi_slider,expanded,2,general,hard,whale,0
2,general,multi_slider,expanded,2,general,fierce,whale,0
2,general,multi_slider,core,2,general,majestic,whale,0
2,general,multi_slider,expanded,2,general,cute,whale,0
2,general,multi_slider,expanded,2,general,slow,whale,1
2,general,multi_slider,expanded,2,general,playful,whale,0
2,general,multi_slider,expanded,2,general,friendly,whale,0
2,general,multi_slider,expanded,3,general,quiet,bird,0.48
2,general,multi_slider,core,3,general,small,bird,0.78
2,general,multi_slider,expanded,3,general,agile,bird,1
2,general,multi_slider,core,3,general,fast,bird,1
2,general,multi_slider,expanded,3,general,sleek,bird,1
2,general,multi_slider,expanded,3,general,industrious,bird,0.69
2,specific,multi_slider,expanded,11,fierce,big,lion,0.49
2,specific,multi_slider,expanded,11,fierce,fast,lion,0.74
2,specific,multi_slider,expanded,11,fierce,hairy,lion,0.76
2,specific,multi_slider,expanded,11,fierce,proud,lion,1
2,specific,multi_slider,core,11,fierce,strong,lion,0.77
2,specific,multi_slider,expanded,11,fierce,hard,lion,0.76
2,specific,multi_slider,expanded,11,fierce,striped,lion,0
2,specific,multi_slider,expanded,11,fierce,majestic,lion,1
2,specific,multi_slider,core,11,fierce,fierce,lion,1
2,specific,multi_slider,expanded,1,industrious,fast,ant,0.2
2,specific,multi_slider,expanded,1,industrious,quiet,ant,1
2,specific,multi_slider,core,1,industrious,small,ant,0.01
2,specific,multi_slider,expanded,1,industrious,agile,ant,0.01
2,specific,multi_slider,expanded,1,industrious,busy,ant,1
2,specific,multi_slider,expanded,1,industrious,smart,ant,0.15
2,specific,multi_slider,expanded,1,industrious,funny,ant,0.25
2,specific,multi_slider,expanded,1,industrious,sleek,ant,0.2
2,specific,multi_slider,core,1,industrious,industrious,ant,0.77
2,general,multi_slider,expanded,5,general,playful,panda,1
2,general,multi_slider,core,5,general,big,panda,0.75
2,general,multi_slider,expanded,5,general,loyal,panda,0.44
2,general,multi_slider,expanded,5,general,hard,panda,0.16
2,general,multi_slider,expanded,5,general,majestic,panda,0.36
2,general,multi_slider,expanded,5,general,lazy,panda,0.9
2,general,multi_slider,expanded,5,general,friendly,panda,0.73
2,general,multi_slider,core,5,general,cute,panda,0.87
2,specific,multi_slider,expanded,6,funny,agile,monkey,1
2,specific,multi_slider,expanded,6,funny,happy,monkey,0.84
2,specific,multi_slider,core,6,funny,smart,monkey,1
2,specific,multi_slider,expanded,6,funny,playful,monkey,0.81
2,specific,multi_slider,expanded,6,funny,loud,monkey,0.82
2,specific,multi_slider,expanded,6,funny,lazy,monkey,0.11
2,specific,multi_slider,expanded,6,funny,busy,monkey,0.5
2,specific,multi_slider,expanded,6,funny,cute,monkey,0.75
2,specific,multi_slider,expanded,6,funny,industrious,monkey,0.51
2,specific,multi_slider,expanded,6,funny,small,monkey,0.65
2,specific,multi_slider,expanded,6,funny,fast,monkey,0.82
2,specific,multi_slider,expanded,6,funny,loyal,monkey,0.31
2,specific,multi_slider,expanded,6,funny,quiet,monkey,0.3
2,specific,multi_slider,core,6,funny,funny,monkey,0.72
2,specific,multi_slider,expanded,6,funny,friendly,monkey,0.72
2,specific,multi_slider,expanded,6,funny,sleek,monkey,0.73
2,specific,multi_slider,expanded,6,funny,dumb,monkey,0.43
3,specific,multi_slider,expanded,8,long,fast,giraffe,0.34
3,specific,multi_slider,core,8,long,long,giraffe,0.64
3,specific,multi_slider,core,8,long,tall,giraffe,0.79
3,specific,multi_slider,expanded,8,long,slithery,giraffe,0.3
3,specific,multi_slider,expanded,8,long,strong,giraffe,0.29
3,general,multi_slider,expanded,5,general,friendly,panda,0.81
3,general,multi_slider,expanded,5,general,majestic,panda,0.64
3,general,multi_slider,core,5,general,cute,panda,0.72
3,general,multi_slider,expanded,5,general,playful,panda,0.72
3,general,multi_slider,expanded,5,general,hard,panda,0.34
3,general,multi_slider,expanded,5,general,lazy,panda,0.72
3,general,multi_slider,expanded,5,general,loyal,panda,0.47
3,general,multi_slider,core,5,general,big,panda,0.85
3,specific,multi_slider,expanded,12,fast,friendly,rabbit,0.57
3,specific,multi_slider,expanded,12,fast,sleek,rabbit,0.42
3,specific,multi_slider,expanded,12,fast,playful,rabbit,0.55
3,specific,multi_slider,core,12,fast,cute,rabbit,0.69
3,specific,multi_slider,expanded,12,fast,agile,rabbit,0.79
3,specific,multi_slider,expanded,12,fast,lazy,rabbit,0.23
3,specific,multi_slider,core,12,fast,fast,rabbit,0.81
3,specific,multi_slider,expanded,12,fast,loyal,rabbit,0.46
3,general,multi_slider,expanded,10,general,hairy,turtle,0.24
3,general,multi_slider,expanded,10,general,lazy,turtle,0.81
3,general,multi_slider,core,10,general,slow,turtle,0.8
3,general,multi_slider,expanded,10,general,hard,turtle,0.68
3,general,multi_slider,core,10,general,strong,turtle,0.67
3,general,multi_slider,expanded,10,general,big,turtle,0.55
3,general,multi_slider,expanded,10,general,majestic,turtle,0.28
3,general,multi_slider,expanded,10,general,fast,turtle,0.17
3,general,multi_slider,expanded,11,general,hairy,lion,0.57
3,general,multi_slider,core,11,general,strong,lion,0.71
3,general,multi_slider,expanded,11,general,proud,lion,0.92
3,general,multi_slider,core,11,general,fierce,lion,0.81
3,general,multi_slider,expanded,11,general,big,lion,0.74
3,general,multi_slider,expanded,11,general,majestic,lion,0.74
3,general,multi_slider,expanded,11,general,hard,lion,0.73
3,general,multi_slider,expanded,11,general,striped,lion,0.33
3,general,multi_slider,expanded,11,general,fast,lion,0.57
3,specific,multi_slider,expanded,7,funny,lazy,penguin,0.58
3,specific,multi_slider,expanded,7,funny,loud,penguin,0.29
3,specific,multi_slider,expanded,7,funny,loyal,penguin,0.42
3,specific,multi_slider,expanded,7,funny,playful,penguin,0.42
3,specific,multi_slider,core,7,funny,funny,penguin,0.69
3,specific,multi_slider,expanded,7,funny,smart,penguin,0.33
3,specific,multi_slider,core,7,funny,cute,penguin,0.7
3,specific,multi_slider,expanded,7,funny,friendly,penguin,0.82
4,general,multi_slider,expanded,1,general,funny,ant,0.05
4,general,multi_slider,expanded,1,general,busy,ant,0.96
4,general,multi_slider,expanded,1,general,sleek,ant,0.05
4,general,multi_slider,core,1,general,small,ant,0.06
4,general,multi_slider,expanded,1,general,smart,ant,0.57
4,general,multi_slider,expanded,1,general,fast,ant,0.58
4,general,multi_slider,expanded,1,general,quiet,ant,0.04
4,general,multi_slider,expanded,1,general,agile,ant,0.23
4,general,multi_slider,core,1,general,industrious,ant,0.95
4,specific,multi_slider,expanded,5,cute,lazy,panda,0.01
4,specific,multi_slider,expanded,5,cute,majestic,panda,0.01
4,specific,multi_slider,core,5,cute,big,panda,0.01
4,specific,multi_slider,expanded,5,cute,friendly,panda,0.99
4,specific,multi_slider,expanded,5,cute,loyal,panda,0.02
4,specific,multi_slider,expanded,5,cute,hard,panda,0.02
4,specific,multi_slider,expanded,5,cute,playful,panda,0.98
4,specific,multi_slider,core,5,cute,cute,panda,0.98
4,specific,multi_slider,expanded,2,big,fierce,whale,0.02
4,specific,multi_slider,expanded,2,big,slow,whale,0.99
4,specific,multi_slider,expanded,2,big,lazy,whale,0.99
4,specific,multi_slider,expanded,2,big,hard,whale,0.03
4,specific,multi_slider,core,2,big,big,whale,0.98
4,specific,multi_slider,expanded,2,big,strong,whale,0
4,specific,multi_slider,expanded,2,big,fast,whale,0
4,specific,multi_slider,expanded,2,big,friendly,whale,0
4,specific,multi_slider,expanded,2,big,proud,whale,0.02
4,specific,multi_slider,expanded,2,big,loyal,whale,0.01
4,specific,multi_slider,core,2,big,majestic,whale,0.01
4,specific,multi_slider,expanded,2,big,cute,whale,0.01
4,specific,multi_slider,expanded,2,big,playful,whale,0.01
4,specific,multi_slider,expanded,6,funny,industrious,monkey,0.02
4,specific,multi_slider,expanded,6,funny,dumb,monkey,0.99
4,specific,multi_slider,expanded,6,funny,busy,monkey,0.03
4,specific,multi_slider,expanded,6,funny,fast,monkey,0.03
4,specific,multi_slider,expanded,6,funny,happy,monkey,0.02
4,specific,multi_slider,expanded,6,funny,loyal,monkey,0.02
4,specific,multi_slider,expanded,6,funny,sleek,monkey,0.03
4,specific,multi_slider,expanded,6,funny,lazy,monkey,0.03
4,specific,multi_slider,expanded,6,funny,cute,monkey,0
4,specific,multi_slider,expanded,6,funny,playful,monkey,0.02
4,specific,multi_slider,expanded,6,funny,quiet,monkey,0.01
4,specific,multi_slider,expanded,6,funny,small,monkey,0.99
4,specific,multi_slider,core,6,funny,smart,monkey,0.02
4,specific,multi_slider,expanded,6,funny,loud,monkey,0.01
4,specific,multi_slider,expanded,6,funny,agile,monkey,0.01
4,specific,multi_slider,core,6,funny,funny,monkey,0.01
4,specific,multi_slider,expanded,6,funny,friendly,monkey,0.01
4,specific,multi_slider,core,8,tall,tall,giraffe,0.98
4,specific,multi_slider,expanded,8,tall,strong,giraffe,0.02
4,specific,multi_slider,expanded,8,tall,fast,giraffe,0.01
4,specific,multi_slider,core,8,tall,long,giraffe,0.01
4,specific,multi_slider,expanded,8,tall,slithery,giraffe,0.01
4,specific,multi_slider,expanded,11,fierce,striped,lion,0.01
4,specific,multi_slider,core,11,fierce,fierce,lion,0.98
4,specific,multi_slider,expanded,11,fierce,hard,lion,0.98
4,specific,multi_slider,expanded,11,fierce,majestic,lion,0.01
4,specific,multi_slider,expanded,11,fierce,proud,lion,0.98
4,specific,multi_slider,expanded,11,fierce,fast,lion,0.99
4,specific,multi_slider,expanded,11,fierce,big,lion,0.99
4,specific,multi_slider,core,11,fierce,strong,lion,0.99
4,specific,multi_slider,expanded,11,fierce,hairy,lion,0.5
5,specific,multi_slider,expanded,6,funny,fast,monkey,0.1
5,specific,multi_slider,core,6,funny,funny,monkey,0.89
5,specific,multi_slider,expanded,6,funny,busy,monkey,0.11
5,specific,multi_slider,expanded,6,funny,loud,monkey,0.45
5,specific,multi_slider,expanded,6,funny,dumb,monkey,0.04
5,specific,multi_slider,expanded,6,funny,loyal,monkey,0.03
5,specific,multi_slider,core,6,funny,smart,monkey,0.05
5,specific,multi_slider,expanded,6,funny,sleek,monkey,0.04
5,specific,multi_slider,expanded,6,funny,playful,monkey,0.87
5,specific,multi_slider,expanded,6,funny,lazy,monkey,0.03
5,specific,multi_slider,expanded,6,funny,friendly,monkey,0.87
5,specific,multi_slider,expanded,6,funny,industrious,monkey,0.04
5,specific,multi_slider,expanded,6,funny,happy,monkey,0.87
5,specific,multi_slider,expanded,6,funny,agile,monkey,0.02
5,specific,multi_slider,expanded,6,funny,cute,monkey,0.83
5,specific,multi_slider,expanded,6,funny,small,monkey,0.07
5,specific,multi_slider,expanded,6,funny,quiet,monkey,0.07
5,specific,multi_slider,expanded,2,big,fierce,whale,0.43
5,specific,multi_slider,expanded,2,big,hard,whale,0.15
5,specific,multi_slider,expanded,2,big,proud,whale,0.7
5,specific,multi_slider,core,2,big,big,whale,0.92
5,specific,multi_slider,expanded,2,big,slow,whale,0.34
5,specific,multi_slider,core,2,big,majestic,whale,0.79
5,specific,multi_slider,expanded,2,big,fast,whale,0.26
5,specific,multi_slider,expanded,2,big,loyal,whale,0.21
5,specific,multi_slider,expanded,2,big,strong,whale,0.82
5,specific,multi_slider,expanded,2,big,friendly,whale,0.55
5,specific,multi_slider,expanded,2,big,playful,whale,0.26
5,specific,multi_slider,expanded,2,big,cute,whale,0.25
5,specific,multi_slider,expanded,2,big,lazy,whale,0.72
5,general,multi_slider,expanded,10,general,majestic,turtle,0.07
5,general,multi_slider,expanded,10,general,hard,turtle,0.85
5,general,multi_slider,core,10,general,slow,turtle,0.86
5,general,multi_slider,expanded,10,general,fast,turtle,0.15
5,general,multi_slider,expanded,10,general,big,turtle,0.13
5,general,multi_slider,expanded,10,general,hairy,turtle,0.15
5,general,multi_slider,expanded,10,general,lazy,turtle,0.88
5,general,multi_slider,core,10,general,strong,turtle,0.13
5,general,multi_slider,core,5,general,big,panda,0.62
5,general,multi_slider,expanded,5,general,hard,panda,0.43
5,general,multi_slider,core,5,general,cute,panda,0.8
5,general,multi_slider,expanded,5,general,loyal,panda,0.41
5,general,multi_slider,expanded,5,general,playful,panda,0.8
5,general,multi_slider,expanded,5,general,friendly,panda,0.83
5,general,multi_slider,expanded,5,general,lazy,panda,0.22
5,general,multi_slider,expanded,5,general,majestic,panda,0.86
5,specific,multi_slider,expanded,3,small,quiet,bird,0.82
5,specific,multi_slider,core,3,small,small,bird,0.84
5,specific,multi_slider,expanded,3,small,industrious,bird,0.46
5,specific,multi_slider,expanded,3,small,agile,bird,0.46
5,specific,multi_slider,expanded,3,small,sleek,bird,0.83
5,specific,multi_slider,core,3,small,fast,bird,0.83
5,specific,multi_slider,core,11,fierce,fierce,lion,0.84
5,specific,multi_slider,core,11,fierce,strong,lion,0.86
5,specific,multi_slider,expanded,11,fierce,striped,lion,0.09
5,specific,multi_slider,expanded,11,fierce,fast,lion,0.83
5,specific,multi_slider,expanded,11,fierce,hairy,lion,0.84
5,specific,multi_slider,expanded,11,fierce,hard,lion,0.46
5,specific,multi_slider,expanded,11,fierce,majestic,lion,0.98
5,specific,multi_slider,expanded,11,fierce,big,lion,0.91
5,specific,multi_slider,expanded,11,fierce,proud,lion,0.87
6,specific,multi_slider,expanded,1,small,quiet,ant,0.52
6,specific,multi_slider,core,1,small,small,ant,0.88
6,specific,multi_slider,expanded,1,small,funny,ant,0.27
6,specific,multi_slider,expanded,1,small,fast,ant,0.31
6,specific,multi_slider,expanded,1,small,busy,ant,0.57
6,specific,multi_slider,expanded,1,small,smart,ant,0.55
6,specific,multi_slider,expanded,1,small,agile,ant,0.51
6,specific,multi_slider,expanded,1,small,sleek,ant,0.57
6,specific,multi_slider,core,1,small,industrious,ant,0.53
6,general,multi_slider,core,3,general,fast,bird,0.54
6,general,multi_slider,expanded,3,general,quiet,bird,0.75
6,general,multi_slider,expanded,3,general,sleek,bird,0.53
6,general,multi_slider,expanded,3,general,industrious,bird,0.49
6,general,multi_slider,expanded,3,general,agile,bird,0.58
6,general,multi_slider,core,3,general,small,bird,0.35
6,specific,multi_slider,expanded,12,fast,agile,rabbit,0.68
6,specific,multi_slider,expanded,12,fast,lazy,rabbit,0.3
6,specific,multi_slider,expanded,12,fast,loyal,rabbit,0.35
6,specific,multi_slider,core,12,fast,fast,rabbit,0.74
6,specific,multi_slider,expanded,12,fast,friendly,rabbit,0.42
6,specific,multi_slider,expanded,12,fast,playful,rabbit,0.48
6,specific,multi_slider,core,12,fast,cute,rabbit,0.55
6,specific,multi_slider,expanded,12,fast,sleek,rabbit,0.49
6,general,multi_slider,core,11,general,strong,lion,0.63
6,general,multi_slider,expanded,11,general,hard,lion,0.63
6,general,multi_slider,expanded,11,general,fast,lion,0.63
6,general,multi_slider,core,11,general,fierce,lion,0.68
6,general,multi_slider,expanded,11,general,striped,lion,0.32
6,general,multi_slider,expanded,11,general,majestic,lion,0.68
6,general,multi_slider,expanded,11,general,big,lion,0.63
6,general,multi_slider,expanded,11,general,proud,lion,0.7
6,general,multi_slider,expanded,11,general,hairy,lion,0.57
6,general,multi_slider,expanded,2,general,playful,whale,0.33
6,general,multi_slider,expanded,2,general,cute,whale,0.34
6,general,multi_slider,expanded,2,general,loyal,whale,0.34
6,general,multi_slider,expanded,2,general,proud,whale,0.36
6,general,multi_slider,expanded,2,general,lazy,whale,0.77
6,general,multi_slider,expanded,2,general,friendly,whale,0.37
6,general,multi_slider,expanded,2,general,strong,whale,0.44
6,general,multi_slider,core,2,general,majestic,whale,0.44
6,general,multi_slider,core,2,general,big,whale,0.71
6,general,multi_slider,expanded,2,general,fast,whale,0.33
6,general,multi_slider,expanded,2,general,fierce,whale,0.38
6,general,multi_slider,expanded,2,general,slow,whale,0.54
6,general,multi_slider,expanded,2,general,hard,whale,0.41
6,general,multi_slider,expanded,7,general,loud,penguin,0.43
6,general,multi_slider,core,7,general,cute,penguin,0.61
6,general,multi_slider,expanded,7,general,friendly,penguin,0.55
6,general,multi_slider,core,7,general,funny,penguin,0.62
6,general,multi_slider,expanded,7,general,playful,penguin,0.64
6,general,multi_slider,expanded,7,general,lazy,penguin,0.37
6,general,multi_slider,expanded,7,general,loyal,penguin,0.38
6,general,multi_slider,expanded,7,general,smart,penguin,0.4
7,general,multi_slider,core,7,general,cute,penguin,0.8
7,general,multi_slider,expanded,7,general,smart,penguin,0.17
7,general,multi_slider,expanded,7,general,friendly,penguin,0.64
7,general,multi_slider,expanded,7,general,loud,penguin,0.28
7,general,multi_slider,expanded,7,general,playful,penguin,0.67
7,general,multi_slider,core,7,general,funny,penguin,0.83
7,general,multi_slider,expanded,7,general,lazy,penguin,0.46
7,general,multi_slider,expanded,7,general,loyal,penguin,0.35
7,general,multi_slider,expanded,5,general,majestic,panda,0.3
7,general,multi_slider,core,5,general,cute,panda,0.77
7,general,multi_slider,core,5,general,big,panda,0.81
7,general,multi_slider,expanded,5,general,loyal,panda,0.47
7,general,multi_slider,expanded,5,general,friendly,panda,0.67
7,general,multi_slider,expanded,5,general,lazy,panda,0.57
7,general,multi_slider,expanded,5,general,playful,panda,0.47
7,general,multi_slider,expanded,5,general,hard,panda,0.09
7,general,multi_slider,expanded,1,general,busy,ant,0.28
7,general,multi_slider,core,1,general,small,ant,0.44
7,general,multi_slider,core,1,general,industrious,ant,0.27
7,general,multi_slider,expanded,1,general,sleek,ant,0.07
7,general,multi_slider,expanded,1,general,smart,ant,0.06
7,general,multi_slider,expanded,1,general,quiet,ant,0.47
7,general,multi_slider,expanded,1,general,fast,ant,0.22
7,general,multi_slider,expanded,1,general,agile,ant,0.32
7,general,multi_slider,expanded,1,general,funny,ant,0.09
7,general,multi_slider,expanded,9,general,lazy,cheetah,0.03
7,general,multi_slider,expanded,9,general,loyal,cheetah,0.52
7,general,multi_slider,expanded,9,general,friendly,cheetah,0.27
7,general,multi_slider,core,9,general,agile,cheetah,0.9
7,general,multi_slider,expanded,9,general,dumb,cheetah,0.17
7,general,multi_slider,expanded,9,general,playful,cheetah,0.39
7,general,multi_slider,core,9,general,fast,cheetah,0.95
7,general,multi_slider,expanded,9,general,smart,cheetah,0.49
7,general,multi_slider,expanded,9,general,funny,cheetah,0.43
7,general,multi_slider,expanded,9,general,small,cheetah,0.49
7,general,multi_slider,expanded,9,general,industrious,cheetah,0.68
7,general,multi_slider,expanded,9,general,quiet,cheetah,0.54
7,general,multi_slider,expanded,9,general,sleek,cheetah,0.93
7,general,multi_slider,expanded,9,general,cute,cheetah,0.51
7,specific,multi_slider,core,8,tall,long,giraffe,0.81
7,specific,multi_slider,expanded,8,tall,strong,giraffe,0.48
7,specific,multi_slider,expanded,8,tall,slithery,giraffe,0.06
7,specific,multi_slider,core,8,tall,tall,giraffe,1
7,specific,multi_slider,expanded,8,tall,fast,giraffe,0.17
7,specific,multi_slider,core,10,strong,slow,turtle,0.49
7,specific,multi_slider,core,10,strong,strong,turtle,0.11
7,specific,multi_slider,expanded,10,strong,lazy,turtle,0.86
7,specific,multi_slider,expanded,10,strong,big,turtle,0.33
7,specific,multi_slider,expanded,10,strong,hard,turtle,0.23
7,specific,multi_slider,expanded,10,strong,majestic,turtle,0.19
7,specific,multi_slider,expanded,10,strong,hairy,turtle,0.27
7,specific,multi_slider,expanded,10,strong,fast,turtle,0.03
8,general,multi_slider,expanded,5,general,friendly,panda,0.64
