workerID,gender,age,income,language,order,quality,discourseOrder,description,rating,option
26,M,25,6,english,2,tall,lit-fig,literal,0.61,1
26,M,25,6,english,2,tall,lit-fig,figurative,0.82,2
27,M,55,4,English,1,sweet,lit-fig,literal,0.59,1
27,M,55,4,English,1,sweet,lit-fig,figurative,0.91,2
27,M,55,4,English,2,tall,lit-lit,literal,0.81,1
27,M,55,4,English,2,tall,lit-lit,literal,0.53,2
28,M,35,4,English,1,tall,lit-fig,literal,0.63,1
28,M,35,4,English,1,tall,lit-fig,figurative,1,2
28,M,35,4,English,2,sweet,lit-lit,literal,0.71,1
28,M,35,4,English,2,sweet,lit-lit,literal,0.71,2
29,F,45,0,English,1,tall,lit-lit,literal,0.67,1
29,F,45,0,English,1,tall,lit-lit,literal,0.67,2
29,F,45,0,English,2,sweet,fig-lit,figurative,0.97,1
29,F,45,0,English,2,sweet,fig-lit,literal,0.81,2
30,F,45,4,English,1,sweet,lit-fig,literal,0.25,1
30,F,45,4,English,1,sweet,lit-fig,figurative,0.75,2
30,F,45,4,English,2,tall,lit-lit,literal,0.78,1
30,F,45,4,English,2,tall,lit-lit,literal,0.63,2
31,F,35,4,English,1,sweet,lit-lit,literal,0.76,1
31,F,35,4,English,1,sweet,lit-lit,literal,0.69,2
31,F,35,4,English,2,tall,fig-lit,figurative,0.97,1
31,F,35,4,English,2,tall,fig-lit,literal,0.72,2
32,F,66,4,English,1,sweet,lit-lit,literal,0.82,1
32,F,66,4,English,1,sweet,lit-lit,literal,0.82,2
32,F,66,4,English,2,tall,lit-fig,literal,0.77,1
32,F,66,4,English,2,tall,lit-fig,figurative,0.99,2
33,F,55,4,English,1,sweet,fig-lit,figurative,0.88,1
33,F,55,4,English,1,sweet,fig-lit,literal,0.59,2
33,F,55,4,English,2,tall,lit-lit,literal,0.65,1
33,F,55,4,English,2,tall,lit-lit,literal,0.66,2
34,F,45,4,English,1,sweet,lit-fig,literal,0.55,1
34,F,45,4,English,1,sweet,lit-fig,figurative,0.84,2
34,F,45,4,English,2,tall,lit-lit,literal,0.63,1
34,F,45,4,English,2,tall,lit-lit,literal,0.67,2
35,F,35,11,English,1,tall,lit-lit,literal,0.85,1
35,F,35,11,English,1,tall,lit-lit,literal,0.85,2
35,F,35,11,English,2,sweet,lit-fig,literal,0.85,1
35,F,35,11,English,2,sweet,lit-fig,figurative,0.99,2
36,M,35,6,Chinese,1,tall,fig-lit,figurative,0.91,1
36,M,35,6,Chinese,1,tall,fig-lit,literal,0.66,2
36,M,35,6,Chinese,2,sweet,lit-lit,literal,0.58,1
36,M,35,6,Chinese,2,sweet,lit-lit,literal,0.59,2
37,M,35,4,English,1,sweet,fig-lit,figurative,0.99,1
37,M,35,4,English,1,sweet,fig-lit,literal,0.72,2
37,M,35,4,English,2,tall,lit-lit,literal,0.72,1
37,M,35,4,English,2,tall,lit-lit,literal,0.72,2
38,M,35,6,english,1,sweet,lit-lit,literal,0.73,1
38,M,35,6,english,1,sweet,lit-lit,literal,0.73,2
38,M,35,6,english,2,tall,fig-lit,figurative,1,1
38,M,35,6,english,2,tall,fig-lit,literal,0.69,2
39,F,35,6,English,1,sweet,lit-lit,literal,0.76,1
39,F,35,6,English,1,sweet,lit-lit,literal,0.76,2
39,F,35,6,English,2,tall,fig-lit,figurative,1,1
39,F,35,6,English,2,tall,fig-lit,literal,0.52,2
40,F,35,6,english,1,sweet,lit-lit,literal,0.63,1
40,F,35,6,english,1,sweet,lit-lit,literal,0.67,2
40,F,35,6,english,2,tall,fig-lit,figurative,0.61,1
40,F,35,6,english,2,tall,fig-lit,literal,0.64,2
