workerID,gender,age,income,language,order,quality,discourseOrder,option1Type,option2Type,option1,option2
19,M,45,4,English,2,tall,lit-fig,literal,figurative,0.65,0.95
20,F,25,8,English,1,tall,lit-lit,literal,literal,0.69,0.71
20,F,25,8,English,2,sweet,lit-fig,literal,figurative,0.62,0.86
21,M,25,6,English,1,tall,fig-lit,figurative,literal,0.97,0.74
21,M,25,6,English,2,sweet,lit-lit,literal,literal,0.86,0.87
22,M,45,8,english,1,tall,lit-lit,literal,literal,0.91,0.79
22,M,45,8,english,2,sweet,fig-lit,figurative,literal,1,0.8
23,M,45,0,English,1,sweet,fig-lit,figurative,literal,0.97,0.69
23,M,45,0,English,2,tall,lit-lit,literal,literal,0.74,0.74
24,F,35,4,ENGLISH,1,tall,lit-lit,literal,literal,0.51,1
24,F,35,4,ENGLISH,2,sweet,lit-fig,literal,figurative,0.51,0.99
25,M,45,8,English,1,sweet,lit-lit,literal,literal,0.54,0.55
25,M,45,8,English,2,tall,lit-fig,literal,figurative,0.51,1
26,M,25,6,english,1,sweet,lit-lit,literal,literal,0.63,0.63
26,M,25,6,english,2,tall,lit-fig,literal,figurative,0.61,0.82
27,M,55,4,English,1,sweet,lit-fig,literal,figurative,0.59,0.91
27,M,55,4,English,2,tall,lit-lit,literal,literal,0.81,0.53
28,M,35,4,English,1,tall,lit-fig,literal,figurative,0.63,1
28,M,35,4,English,2,sweet,lit-lit,literal,literal,0.71,0.71
29,F,45,0,English,1,tall,lit-lit,literal,literal,0.67,0.67
29,F,45,0,English,2,sweet,fig-lit,figurative,literal,0.97,0.81
30,F,45,4,English,1,sweet,lit-fig,literal,figurative,0.25,0.75
30,F,45,4,English,2,tall,lit-lit,literal,literal,0.78,0.63
31,F,35,4,English,1,sweet,lit-lit,literal,literal,0.76,0.69
31,F,35,4,English,2,tall,fig-lit,figurative,literal,0.97,0.72
32,F,66,4,English,1,sweet,lit-lit,literal,literal,0.82,0.82
32,F,66,4,English,2,tall,lit-fig,literal,figurative,0.77,0.99
33,F,55,4,English,1,sweet,fig-lit,figurative,literal,0.88,0.59
33,F,55,4,English,2,tall,lit-lit,literal,literal,0.65,0.66
34,F,45,4,English,1,sweet,lit-fig,literal,figurative,0.55,0.84
34,F,45,4,English,2,tall,lit-lit,literal,literal,0.63,0.67
35,F,35,11,English,1,tall,lit-lit,literal,literal,0.85,0.85
35,F,35,11,English,2,sweet,lit-fig,literal,figurative,0.85,0.99
36,M,35,6,Chinese,1,tall,fig-lit,figurative,literal,0.91,0.66
36,M,35,6,Chinese,2,sweet,lit-lit,literal,literal,0.58,0.59
37,M,35,4,English,1,sweet,fig-lit,figurative,literal,0.99,0.72
37,M,35,4,English,2,tall,lit-lit,literal,literal,0.72,0.72
38,M,35,6,english,1,sweet,lit-lit,literal,literal,0.73,0.73
38,M,35,6,english,2,tall,fig-lit,figurative,literal,1,0.69
39,F,35,6,English,1,sweet,lit-lit,literal,literal,0.76,0.76
39,F,35,6,English,2,tall,fig-lit,figurative,literal,1,0.52
40,F,35,6,english,1,sweet,lit-lit,literal,literal,0.63,0.67
40,F,35,6,english,2,tall,fig-lit,figurative,literal,0.61,0.64
