"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.condition"	"Answer.option1"	"Answer.option2"	"Answer.option1Types"	"Answer.option2Types"	"Answer.orders"	"Answer.discourseOrders"	"Answer.qualities"	"Answer.gender"	"Answer.age"	"Answer.income"	"Answer.nativeLanguage"	"Answer.comments"
"3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3XL0AZPMI5CQC481FIO9TUT2MNSCQZ"	"Fun experiment about conversations!"	"Read different conversations and answer questions about them. This should take around 5 minutes."	"behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Feb 23 14:29:05 PST 2015"	"40"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Tue Feb 24 12:25:36 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3AQF3RZ558JN2RY1OL0XZZ0B9OYF6M"	11	"Approved"	"Tue Feb 24 07:23:21 PST 2015"	"Mon Feb 23 14:29:20 PST 2015"	"Mon Feb 23 14:43:21 PST 2015"	"Mon Feb 23 17:34:50 PST 2015"	""	""	""	""	"1"	"[0.85,0.79]"	"[0.91,0.79]"	"[""literal"",""literal""]"	"[""figurative"",""literal""]"	"[1,2]"	"[""lit-fig"",""lit-lit""]"	"[""sweet"",""tall""]"	"""M"""	"""35"""	"""4"""	"""English"""	""""""
"3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3XL0AZPMI5CQC481FIO9TUT2MNSCQZ"	"Fun experiment about conversations!"	"Read different conversations and answer questions about them. This should take around 5 minutes."	"behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Feb 23 14:29:05 PST 2015"	"40"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Tue Feb 24 12:25:36 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3I7DHKZYGN1RJNYNJ2QS7TMBDTNF56"	12	"Approved"	"Tue Feb 24 07:27:47 PST 2015"	"Mon Feb 23 14:29:17 PST 2015"	"Mon Feb 23 14:47:47 PST 2015"	"Mon Feb 23 17:34:50 PST 2015"	""	""	""	""	"1"	"[0.79,1]"	"[0.8,0.86]"	"[""literal"",""figurative""]"	"[""literal"",""literal""]"	"[1,2]"	"[""lit-lit"",""fig-lit""]"	"[""sweet"",""tall""]"	"""M"""	"""35"""	"""6"""	"""English"""	"""Thank you"""
"3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3XL0AZPMI5CQC481FIO9TUT2MNSCQZ"	"Fun experiment about conversations!"	"Read different conversations and answer questions about them. This should take around 5 minutes."	"behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Feb 23 14:29:05 PST 2015"	"40"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Tue Feb 24 12:25:36 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3OXV7EAXLERSMFI84QZVYQBE6YU362"	13	"Approved"	"Tue Feb 24 07:31:26 PST 2015"	"Mon Feb 23 14:29:30 PST 2015"	"Mon Feb 23 14:51:26 PST 2015"	"Mon Feb 23 17:34:50 PST 2015"	""	""	""	""	"1"	"[0.53,0.54]"	"[0.96,0.54]"	"[""literal"",""literal""]"	"[""figurative"",""literal""]"	"[1,2]"	"[""lit-fig"",""lit-lit""]"	"[""sweet"",""tall""]"	"""F"""	"""17"""	"""0"""	"""English"""	"""Thank you"""
"3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3XL0AZPMI5CQC481FIO9TUT2MNSCQZ"	"Fun experiment about conversations!"	"Read different conversations and answer questions about them. This should take around 5 minutes."	"behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Feb 23 14:29:05 PST 2015"	"40"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Tue Feb 24 12:25:36 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"32N49TQG3GJDLQWUEDMDXQ5JT1CVAG"	14	"Approved"	"Tue Feb 24 07:31:37 PST 2015"	"Mon Feb 23 14:29:18 PST 2015"	"Mon Feb 23 14:51:37 PST 2015"	"Mon Feb 23 17:34:51 PST 2015"	""	""	""	""	"1"	"[0.61,0.57]"	"[0.87,0.57]"	"[""literal"",""literal""]"	"[""figurative"",""literal""]"	"[1,2]"	"[""lit-fig"",""lit-lit""]"	"[""tall"",""sweet""]"	"""M"""	"""35"""	"""0"""	"""English"""	"""none\n"""
"3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3XL0AZPMI5CQC481FIO9TUT2MNSCQZ"	"Fun experiment about conversations!"	"Read different conversations and answer questions about them. This should take around 5 minutes."	"behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Feb 23 14:29:05 PST 2015"	"40"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Tue Feb 24 12:25:36 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3WETL7AQWT9W3BIUZ7PQ6KXEA3J35M"	15	"Approved"	"Tue Feb 24 07:37:25 PST 2015"	"Mon Feb 23 14:29:24 PST 2015"	"Mon Feb 23 14:57:25 PST 2015"	"Mon Feb 23 17:34:51 PST 2015"	""	""	""	""	"1"	"[0.66,0.89]"	"[0.68,0.68]"	"[""literal"",""figurative""]"	"[""literal"",""literal""]"	"[1,2]"	"[""lit-lit"",""fig-lit""]"	"[""tall"",""sweet""]"	"""M"""	"""35"""	"""4"""	"""English"""	""""""
"3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3XL0AZPMI5CQC481FIO9TUT2MNSCQZ"	"Fun experiment about conversations!"	"Read different conversations and answer questions about them. This should take around 5 minutes."	"behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Feb 23 14:29:05 PST 2015"	"40"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Tue Feb 24 12:25:36 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"34QN5IT0TZSJ912ZEIEAG69Y9HZ80X"	16	"Approved"	"Tue Feb 24 07:37:40 PST 2015"	"Mon Feb 23 14:29:38 PST 2015"	"Mon Feb 23 14:57:40 PST 2015"	"Mon Feb 23 17:34:51 PST 2015"	""	""	""	""	"1"	"[0.76,0.56]"	"[0.91,0.58]"	"[""literal"",""literal""]"	"[""figurative"",""literal""]"	"[1,2]"	"[""lit-fig"",""lit-lit""]"	"[""tall"",""sweet""]"	"""F"""	"""65"""	"""6"""	"""English"""	""""""
"3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3XL0AZPMI5CQC481FIO9TUT2MNSCQZ"	"Fun experiment about conversations!"	"Read different conversations and answer questions about them. This should take around 5 minutes."	"behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Feb 23 14:29:05 PST 2015"	"40"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Tue Feb 24 12:25:36 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3IO1LGZLK9YENCOEG7URP7JPMKM86Z"	17	"Approved"	"Tue Feb 24 07:49:43 PST 2015"	"Mon Feb 23 14:29:28 PST 2015"	"Mon Feb 23 15:09:43 PST 2015"	"Mon Feb 23 17:34:51 PST 2015"	""	""	""	""	"1"	"[0.67,0.65]"	"[0.86,0.67]"	"[""literal"",""literal""]"	"[""figurative"",""literal""]"	"[1,2]"	"[""lit-fig"",""lit-lit""]"	"[""tall"",""sweet""]"	"""F"""	"""45"""	"""4"""	"""English"""	"""interesting"""
"3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3XL0AZPMI5CQC481FIO9TUT2MNSCQZ"	"Fun experiment about conversations!"	"Read different conversations and answer questions about them. This should take around 5 minutes."	"behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Feb 23 14:29:05 PST 2015"	"40"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Tue Feb 24 12:25:36 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3WJ1OXY92AHFAE0H6KB35CLBI3D8AQ"	18	"Approved"	"Tue Feb 24 07:57:33 PST 2015"	"Mon Feb 23 15:16:39 PST 2015"	"Mon Feb 23 15:17:33 PST 2015"	"Mon Feb 23 17:34:51 PST 2015"	""	""	""	""	"1"	"[0.78,0.72]"	"[0.8,0.92]"	"[""literal"",""literal""]"	"[""literal"",""figurative""]"	"[1,2]"	"[""lit-lit"",""lit-fig""]"	"[""tall"",""sweet""]"	"""F"""	"""45"""	"""6"""	"""English"""	""""""
"3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3XL0AZPMI5CQC481FIO9TUT2MNSCQZ"	"Fun experiment about conversations!"	"Read different conversations and answer questions about them. This should take around 5 minutes."	"behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Feb 23 14:29:05 PST 2015"	"40"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Tue Feb 24 12:25:36 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3HMVI3QICJTYVWEZN5G4TOGA7O81Y7"	19	"Approved"	"Tue Feb 24 07:59:00 PST 2015"	"Mon Feb 23 14:29:36 PST 2015"	"Mon Feb 23 15:19:00 PST 2015"	"Mon Feb 23 17:34:51 PST 2015"	""	""	""	""	"1"	"[0.66,0.65]"	"[0.67,0.95]"	"[""literal"",""literal""]"	"[""literal"",""figurative""]"	"[1,2]"	"[""lit-lit"",""lit-fig""]"	"[""sweet"",""tall""]"	"""M"""	"""45"""	"""4"""	"""English"""	"""Thank you"""
"3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3XL0AZPMI5CQC481FIO9TUT2MNSCQZ"	"Fun experiment about conversations!"	"Read different conversations and answer questions about them. This should take around 5 minutes."	"behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Feb 23 14:29:05 PST 2015"	"40"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Tue Feb 24 12:25:36 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3CFVK00FWLM92J8XAW3VUC5V6KLL6Y"	20	"Approved"	"Tue Feb 24 08:13:34 PST 2015"	"Mon Feb 23 15:32:38 PST 2015"	"Mon Feb 23 15:33:34 PST 2015"	"Mon Feb 23 17:34:51 PST 2015"	""	""	""	""	"1"	"[0.69,0.62]"	"[0.71,0.86]"	"[""literal"",""literal""]"	"[""literal"",""figurative""]"	"[1,2]"	"[""lit-lit"",""lit-fig""]"	"[""tall"",""sweet""]"	"""F"""	"""25"""	"""8"""	"""English"""	""""""
"3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3XL0AZPMI5CQC481FIO9TUT2MNSCQZ"	"Fun experiment about conversations!"	"Read different conversations and answer questions about them. This should take around 5 minutes."	"behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Feb 23 14:29:05 PST 2015"	"40"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Tue Feb 24 12:25:36 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3WEV0KO0OMTVR5I24S8AC4TIF24DSO"	21	"Submitted"	"Wed Feb 25 03:07:17 PST 2015"	"Tue Feb 24 10:26:25 PST 2015"	"Tue Feb 24 10:27:17 PST 2015"	""	""	""	""	""	"1"	"[0.97,0.86]"	"[0.74,0.87]"	"[""figurative"",""literal""]"	"[""literal"",""literal""]"	"[1,2]"	"[""fig-lit"",""lit-lit""]"	"[""tall"",""sweet""]"	"""M"""	"""25"""	"""6"""	"""English"""	""""""
"3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3XL0AZPMI5CQC481FIO9TUT2MNSCQZ"	"Fun experiment about conversations!"	"Read different conversations and answer questions about them. This should take around 5 minutes."	"behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Feb 23 14:29:05 PST 2015"	"40"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Tue Feb 24 12:25:36 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"317HQ483I7TFJ36JOASZ47ZPK84INJ"	22	"Submitted"	"Wed Feb 25 03:07:31 PST 2015"	"Tue Feb 24 10:26:38 PST 2015"	"Tue Feb 24 10:27:31 PST 2015"	""	""	""	""	""	"1"	"[0.91,1]"	"[0.79,0.8]"	"[""literal"",""figurative""]"	"[""literal"",""literal""]"	"[1,2]"	"[""lit-lit"",""fig-lit""]"	"[""tall"",""sweet""]"	"""M"""	"""45"""	"""8"""	"""english"""	""""""
"3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3XL0AZPMI5CQC481FIO9TUT2MNSCQZ"	"Fun experiment about conversations!"	"Read different conversations and answer questions about them. This should take around 5 minutes."	"behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Feb 23 14:29:05 PST 2015"	"40"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Tue Feb 24 12:25:36 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3JNQLM5FT4NLKIPWNURS4ZOJQH72LQ"	23	"Submitted"	"Wed Feb 25 03:07:45 PST 2015"	"Tue Feb 24 10:26:46 PST 2015"	"Tue Feb 24 10:27:45 PST 2015"	""	""	""	""	""	"1"	"[0.97,0.74]"	"[0.69,0.74]"	"[""figurative"",""literal""]"	"[""literal"",""literal""]"	"[1,2]"	"[""fig-lit"",""lit-lit""]"	"[""sweet"",""tall""]"	"""M"""	"""45"""	"""0"""	"""English"""	""""""
"3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3XL0AZPMI5CQC481FIO9TUT2MNSCQZ"	"Fun experiment about conversations!"	"Read different conversations and answer questions about them. This should take around 5 minutes."	"behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Feb 23 14:29:05 PST 2015"	"40"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Tue Feb 24 12:25:36 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"324G5B4FB39F9NXG4DM426D3YZI07V"	24	"Submitted"	"Wed Feb 25 03:08:59 PST 2015"	"Tue Feb 24 10:27:41 PST 2015"	"Tue Feb 24 10:28:59 PST 2015"	""	""	""	""	""	"1"	"[0.51,0.51]"	"[1,0.99]"	"[""literal"",""literal""]"	"[""literal"",""figurative""]"	"[1,2]"	"[""lit-lit"",""lit-fig""]"	"[""tall"",""sweet""]"	"""F"""	"""35"""	"""4"""	"""ENGLISH"""	""""""
