workerid,trial_type,animalID,response,animal,feature
2,multi_slider,1,0.46,ant,industrious
2,multi_slider,1,0.94,ant,small
2,multi_slider,3,0.86,bird,small
2,multi_slider,3,0.41,bird,fast
3,multi_slider,12,0.74,rabbit,cute
3,multi_slider,12,0.46,rabbit,fast
3,multi_slider,1,0.5,ant,industrious
3,multi_slider,1,1,ant,small
3,multi_slider,3,0.55,bird,fast
3,multi_slider,3,0.49,bird,small
3,multi_slider,8,0.48,giraffe,long
3,multi_slider,8,1,giraffe,tall
3,multi_slider,4,0.31,elephant,hard
3,multi_slider,4,1,elephant,big
3,multi_slider,10,1,turtle,slow
3,multi_slider,10,0.4,turtle,strong
3,multi_slider,7,0.48,penguin,cute
3,multi_slider,7,0.48,penguin,funny
3,multi_slider,2,0.28,whale,majestic
3,multi_slider,2,1,whale,big
3,multi_slider,6,1,monkey,funny
3,multi_slider,6,0.52,monkey,smart
3,multi_slider,5,0.51,panda,cute
3,multi_slider,5,0.51,panda,big
4,multi_slider,8,1,giraffe,tall
4,multi_slider,8,1,giraffe,long
4,multi_slider,10,0.92,turtle,slow
4,multi_slider,10,0.01,turtle,strong
4,multi_slider,1,1,ant,industrious
4,multi_slider,1,1,ant,small
4,multi_slider,4,1,elephant,big
4,multi_slider,4,0.83,elephant,hard
4,multi_slider,2,1,whale,big
4,multi_slider,2,0.59,whale,majestic
4,multi_slider,3,0.69,bird,small
4,multi_slider,3,0.58,bird,fast
4,multi_slider,7,0.53,penguin,funny
4,multi_slider,7,0.74,penguin,cute
4,multi_slider,12,0.84,rabbit,cute
4,multi_slider,12,0.91,rabbit,fast
4,multi_slider,11,0.94,lion,strong
4,multi_slider,11,0.96,lion,fierce
4,multi_slider,6,0.75,monkey,smart
4,multi_slider,6,0.89,monkey,funny
5,multi_slider,8,0.53,giraffe,long
5,multi_slider,8,0.8,giraffe,tall
5,multi_slider,4,0.97,elephant,big
5,multi_slider,4,0.47,elephant,hard
5,multi_slider,6,0.52,monkey,funny
5,multi_slider,6,0.51,monkey,smart
5,multi_slider,10,0.92,turtle,slow
5,multi_slider,10,0.45,turtle,strong
5,multi_slider,3,0.77,bird,small
5,multi_slider,3,0.51,bird,fast
5,multi_slider,5,0.82,panda,cute
5,multi_slider,5,0.81,panda,big
5,multi_slider,2,0.98,whale,big
5,multi_slider,2,0.5,whale,majestic
5,multi_slider,7,0.85,penguin,cute
5,multi_slider,7,0.52,penguin,funny
5,multi_slider,11,0.77,lion,fierce
5,multi_slider,11,0.73,lion,strong
5,multi_slider,9,0.97,cheetah,fast
5,multi_slider,9,0.83,cheetah,agile
6,multi_slider,3,0.6,bird,fast
6,multi_slider,3,0.72,bird,small
6,multi_slider,8,0.38,giraffe,tall
6,multi_slider,8,0.06,giraffe,long
6,multi_slider,6,0.75,monkey,smart
6,multi_slider,6,0.83,monkey,funny
6,multi_slider,5,0.15,panda,big
6,multi_slider,5,0.77,panda,cute
6,multi_slider,11,0.63,lion,strong
6,multi_slider,11,0.83,lion,fierce
6,multi_slider,9,0.95,cheetah,agile
6,multi_slider,9,0.62,cheetah,fast
6,multi_slider,4,0.69,elephant,big
6,multi_slider,4,0.47,elephant,hard
6,multi_slider,1,0.88,ant,industrious
6,multi_slider,1,0.9,ant,small
6,multi_slider,2,0.84,whale,big
6,multi_slider,2,0.87,whale,majestic
6,multi_slider,7,0.86,penguin,cute
6,multi_slider,7,0.63,penguin,funny
7,multi_slider,4,0.59,elephant,big
7,multi_slider,4,0.52,elephant,hard
7,multi_slider,9,0.76,cheetah,agile
7,multi_slider,9,0.78,cheetah,fast
7,multi_slider,10,0.06,turtle,strong
7,multi_slider,10,0.09,turtle,slow
7,multi_slider,2,0.28,whale,majestic
7,multi_slider,2,0.72,whale,big
7,multi_slider,11,0.69,lion,fierce
7,multi_slider,11,0.63,lion,strong
7,multi_slider,12,0.48,rabbit,cute
7,multi_slider,12,0.55,rabbit,fast
7,multi_slider,8,0.88,giraffe,long
7,multi_slider,8,0.93,giraffe,tall
7,multi_slider,3,0.78,bird,fast
7,multi_slider,3,0.54,bird,small
7,multi_slider,6,0.83,monkey,funny
7,multi_slider,6,0.38,monkey,smart
7,multi_slider,1,0.35,ant,industrious
7,multi_slider,1,0.77,ant,small
8,multi_slider,2,0.07,whale,big
8,multi_slider,2,0,whale,majestic
8,multi_slider,6,0.06,monkey,smart
8,multi_slider,6,0.83,monkey,funny
8,multi_slider,5,0.2,panda,big
8,multi_slider,5,0.65,panda,cute
8,multi_slider,8,0.33,giraffe,tall
8,multi_slider,8,0.71,giraffe,long
8,multi_slider,3,0.91,bird,small
8,multi_slider,3,0.31,bird,fast
8,multi_slider,7,0.22,penguin,cute
8,multi_slider,7,0.92,penguin,funny
8,multi_slider,12,0.25,rabbit,cute
8,multi_slider,12,0.91,rabbit,fast
8,multi_slider,1,0.13,ant,industrious
8,multi_slider,1,0.83,ant,small
8,multi_slider,9,0.91,cheetah,agile
8,multi_slider,9,0.92,cheetah,fast
8,multi_slider,10,0.06,turtle,strong
8,multi_slider,10,0.89,turtle,slow
9,multi_slider,9,0.65,cheetah,agile
9,multi_slider,9,0.66,cheetah,fast
9,multi_slider,11,0.63,lion,strong
9,multi_slider,11,0.46,lion,fierce
9,multi_slider,2,0.64,whale,big
9,multi_slider,2,0.44,whale,majestic
9,multi_slider,1,0.85,ant,industrious
9,multi_slider,1,0.16,ant,small
9,multi_slider,12,0.29,rabbit,cute
9,multi_slider,12,0.74,rabbit,fast
9,multi_slider,4,0.75,elephant,big
9,multi_slider,4,0.3,elephant,hard
9,multi_slider,7,0.38,penguin,funny
9,multi_slider,7,0.68,penguin,cute
9,multi_slider,10,0.37,turtle,strong
9,multi_slider,10,0.92,turtle,slow
9,multi_slider,3,0.61,bird,fast
9,multi_slider,3,0.76,bird,small
9,multi_slider,5,0.34,panda,big
9,multi_slider,5,0.79,panda,cute
10,multi_slider,5,0.12,panda,big
10,multi_slider,5,0.39,panda,cute
10,multi_slider,2,0.13,whale,big
10,multi_slider,2,0,whale,majestic
10,multi_slider,9,0.12,cheetah,fast
10,multi_slider,9,0.2,cheetah,agile
10,multi_slider,8,0.17,giraffe,long
10,multi_slider,8,0.1,giraffe,tall
10,multi_slider,7,0.09,penguin,funny
10,multi_slider,7,0,penguin,cute
10,multi_slider,10,0.03,turtle,strong
10,multi_slider,10,0.1,turtle,slow
10,multi_slider,11,0.07,lion,fierce
10,multi_slider,11,0.12,lion,strong
10,multi_slider,12,0.09,rabbit,cute
10,multi_slider,12,0.12,rabbit,fast
10,multi_slider,4,0.03,elephant,hard
10,multi_slider,4,0.14,elephant,big
10,multi_slider,1,0.26,ant,industrious
10,multi_slider,1,0.14,ant,small
11,multi_slider,5,0.2,panda,big
11,multi_slider,5,0.79,panda,cute
11,multi_slider,10,0.08,turtle,strong
11,multi_slider,10,0.73,turtle,slow
11,multi_slider,4,0.63,elephant,big
11,multi_slider,4,0.28,elephant,hard
11,multi_slider,6,0.73,monkey,smart
11,multi_slider,6,0.12,monkey,funny
11,multi_slider,8,0.74,giraffe,tall
11,multi_slider,8,0.72,giraffe,long
11,multi_slider,3,0.19,bird,small
11,multi_slider,3,0.68,bird,fast
11,multi_slider,7,0,penguin,funny
11,multi_slider,7,0.19,penguin,cute
11,multi_slider,2,0.3,whale,majestic
11,multi_slider,2,0.66,whale,big
11,multi_slider,9,0.74,cheetah,fast
11,multi_slider,9,0.59,cheetah,agile
11,multi_slider,1,0.78,ant,industrious
11,multi_slider,1,0.14,ant,small
12,multi_slider,7,0.53,penguin,funny
12,multi_slider,7,0.49,penguin,cute
12,multi_slider,10,0.33,turtle,strong
12,multi_slider,10,0.83,turtle,slow
12,multi_slider,3,0.71,bird,small
12,multi_slider,3,0.55,bird,fast
12,multi_slider,5,0.78,panda,cute
12,multi_slider,5,0.64,panda,big
12,multi_slider,8,0.5,giraffe,long
12,multi_slider,8,0.78,giraffe,tall
12,multi_slider,2,0.82,whale,big
12,multi_slider,2,0.65,whale,majestic
12,multi_slider,6,0.75,monkey,funny
12,multi_slider,6,0.51,monkey,smart
12,multi_slider,12,0.75,rabbit,cute
12,multi_slider,12,0.53,rabbit,fast
12,multi_slider,1,0.26,ant,industrious
12,multi_slider,1,0.93,ant,small
12,multi_slider,9,0.88,cheetah,agile
12,multi_slider,9,0.9,cheetah,fast
13,multi_slider,10,0.76,turtle,slow
13,multi_slider,10,0.29,turtle,strong
13,multi_slider,11,0.89,lion,fierce
13,multi_slider,11,0.7,lion,strong
13,multi_slider,6,0.63,monkey,funny
13,multi_slider,6,0.4,monkey,smart
13,multi_slider,3,0.5,bird,fast
13,multi_slider,3,0.65,bird,small
13,multi_slider,7,0.74,penguin,cute
13,multi_slider,7,0.66,penguin,funny
13,multi_slider,5,0.64,panda,big
13,multi_slider,5,0.88,panda,cute
13,multi_slider,4,0.88,elephant,big
13,multi_slider,4,0.5,elephant,hard
13,multi_slider,12,0.72,rabbit,cute
13,multi_slider,12,0.5,rabbit,fast
13,multi_slider,2,0.54,whale,majestic
13,multi_slider,2,0.91,whale,big
13,multi_slider,9,0.97,cheetah,fast
13,multi_slider,9,0.89,cheetah,agile
14,multi_slider,11,0.68,lion,fierce
14,multi_slider,11,0.69,lion,strong
14,multi_slider,6,0.46,monkey,funny
14,multi_slider,6,0.63,monkey,smart
14,multi_slider,3,0.63,bird,small
14,multi_slider,3,0.44,bird,fast
14,multi_slider,8,0.78,giraffe,tall
14,multi_slider,8,0.75,giraffe,long
14,multi_slider,4,0.84,elephant,big
14,multi_slider,4,0.24,elephant,hard
14,multi_slider,5,0.73,panda,big
14,multi_slider,5,0.63,panda,cute
14,multi_slider,9,0.78,cheetah,fast
14,multi_slider,9,0.78,cheetah,agile
14,multi_slider,1,0.46,ant,industrious
14,multi_slider,1,0.71,ant,small
14,multi_slider,12,0.49,rabbit,cute
14,multi_slider,12,0.7,rabbit,fast
14,multi_slider,2,0.79,whale,big
14,multi_slider,2,0.2,whale,majestic
15,multi_slider,4,0.56,elephant,big
15,multi_slider,4,0.5,elephant,hard
15,multi_slider,3,0.55,bird,small
15,multi_slider,3,0.54,bird,fast
15,multi_slider,2,0.59,whale,big
15,multi_slider,2,0.45,whale,majestic
15,multi_slider,5,0.59,panda,cute
15,multi_slider,5,0.59,panda,big
15,multi_slider,9,0.72,cheetah,agile
15,multi_slider,9,0.7,cheetah,fast
15,multi_slider,11,0.6,lion,strong
15,multi_slider,11,0.67,lion,fierce
15,multi_slider,7,0.52,penguin,funny
15,multi_slider,7,0.53,penguin,cute
15,multi_slider,1,0.6,ant,small
15,multi_slider,1,0.46,ant,industrious
15,multi_slider,10,0.68,turtle,slow
15,multi_slider,10,0.48,turtle,strong
15,multi_slider,6,0.48,monkey,smart
15,multi_slider,6,0.58,monkey,funny
16,multi_slider,8,0.61,giraffe,tall
16,multi_slider,8,0.62,giraffe,long
16,multi_slider,1,0.67,ant,industrious
16,multi_slider,1,0.68,ant,small
16,multi_slider,12,0.61,rabbit,cute
16,multi_slider,12,0.7,rabbit,fast
16,multi_slider,7,0.68,penguin,cute
16,multi_slider,7,0.74,penguin,funny
16,multi_slider,5,0.72,panda,cute
16,multi_slider,5,0.74,panda,big
16,multi_slider,9,0.86,cheetah,fast
16,multi_slider,9,0.8,cheetah,agile
16,multi_slider,2,0.75,whale,big
16,multi_slider,2,0.34,whale,majestic
16,multi_slider,6,0.23,monkey,smart
16,multi_slider,6,0.85,monkey,funny
16,multi_slider,10,0.51,turtle,strong
16,multi_slider,10,0.8,turtle,slow
16,multi_slider,11,0.76,lion,strong
16,multi_slider,11,0.91,lion,fierce
17,multi_slider,8,0.68,giraffe,long
17,multi_slider,8,0.68,giraffe,tall
17,multi_slider,1,0.81,ant,industrious
17,multi_slider,1,0.52,ant,small
17,multi_slider,2,0.27,whale,majestic
17,multi_slider,2,0.73,whale,big
17,multi_slider,12,0.66,rabbit,fast
17,multi_slider,12,0.52,rabbit,cute
17,multi_slider,5,0.79,panda,cute
17,multi_slider,5,0.8,panda,big
17,multi_slider,10,0.23,turtle,strong
17,multi_slider,10,0.78,turtle,slow
17,multi_slider,6,0.78,monkey,funny
17,multi_slider,6,0.28,monkey,smart
17,multi_slider,3,0.61,bird,fast
17,multi_slider,3,0.73,bird,small
17,multi_slider,9,0.78,cheetah,agile
17,multi_slider,9,0.78,cheetah,fast
17,multi_slider,4,0.8,elephant,big
17,multi_slider,4,0.54,elephant,hard
18,multi_slider,8,0.46,giraffe,long
18,multi_slider,8,0.68,giraffe,tall
18,multi_slider,12,0.46,rabbit,cute
18,multi_slider,12,0.67,rabbit,fast
18,multi_slider,2,0.35,whale,majestic
18,multi_slider,2,0.71,whale,big
18,multi_slider,6,0.75,monkey,funny
18,multi_slider,6,0.46,monkey,smart
18,multi_slider,11,0.72,lion,fierce
18,multi_slider,11,0.72,lion,strong
18,multi_slider,3,0.69,bird,small
18,multi_slider,3,0.44,bird,fast
18,multi_slider,7,0.7,penguin,funny
18,multi_slider,7,0.67,penguin,cute
18,multi_slider,1,0.39,ant,industrious
18,multi_slider,1,0.69,ant,small
18,multi_slider,9,0.58,cheetah,agile
18,multi_slider,9,0.78,cheetah,fast
18,multi_slider,4,0.42,elephant,hard
18,multi_slider,4,0.78,elephant,big
19,multi_slider,5,0.73,panda,cute
19,multi_slider,5,0.57,panda,big
19,multi_slider,8,0.9,giraffe,tall
19,multi_slider,8,0.69,giraffe,long
19,multi_slider,7,0.6,penguin,cute
19,multi_slider,7,0.78,penguin,funny
19,multi_slider,4,0.88,elephant,big
19,multi_slider,4,0.54,elephant,hard
19,multi_slider,12,0.61,rabbit,cute
19,multi_slider,12,0.76,rabbit,fast
19,multi_slider,2,0.61,whale,majestic
19,multi_slider,2,0.87,whale,big
19,multi_slider,11,0.83,lion,strong
19,multi_slider,11,0.91,lion,fierce
19,multi_slider,10,0.77,turtle,slow
19,multi_slider,10,0.3,turtle,strong
19,multi_slider,1,0.6,ant,small
19,multi_slider,1,0.48,ant,industrious
19,multi_slider,6,0.65,monkey,funny
19,multi_slider,6,0.46,monkey,smart
