workerid	Answer.gender	Answer.age	Answer.income	Answer.categoryIDs	Answer.orders	Answer.speakers	Answer.animals	Answer.f1s	Answer.f2s	Answer.f3s	Answer.conditions	Answer.f1probs	Answer.f2probs	Answer.f3probs
A24ZKEJTS1O4IW	M	25	4	6,18,14,12,23,21,19,13,25,4,20,24,28,10,32,15,5,9,3,16,30,2,11,27,7,29,26,31,1,17,22,8	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	Barry,Frank,Victor,Winston,George,Kenneth,Owen,Eric,Henry,Ivan,Patrick,Quinn,Zach,Daniel,Albert,Matt,Robert,Charles,Harry,Calvin,Ethan,Nathan,David,Luke,Gary,Jake,Fred,Alex,Tom,Steve,Jeff,Bob	buffalo,horse,fox,elephant,ox,monkey,kangaroo,fish,pig,bee,lion,penguin,sheep,dolphin,zebra,frog,bird,dog,bear,goat,whale,bat,duck,shark,cat,tiger,rabbit,wolf,ant,goose,owl,cow	big,fast,sly,huge,strong,funny,jumpy,scaly,dirty,busy,scary,cold,wooly,smart,striped,slimy,small,loyal,scary,funny,large,scary,loud,scary,independent,striped,fast,scary,small,loud,wise,fat	strong,strong,smart,smart,big,smart,bouncy,wet,fat,small,strong,cute,fluffy,friendly,exotic,noisy,graceful,friendly,big,hungry,graceful,blind,cute,mean,lazy,fierce,furry,mean,strong,mean,quiet,lazy	wild,beautiful,cunning,heavy,slow,playful,cute,smelly,smelly,angry,ferocious,funny,dumb,playful,fast,jumpy,free,happy,fierce,loud,majestic,nocturnal,quacking,dangerous,soft,scary,cute,angry,busy,annoying,nocturnal,dumb	2,4,3,4,1,1,3,4,1,1,4,4,2,3,2,4,1,3,2,2,1,3,4,2,3,3,2,4,2,1,3,1	0.925,1,0.975,1,0.925,0.95,0.95,0.825,0.95,0.85,0.6,0.75,0.125,0.9,0,0.875,0.875,0.975,0.6,0.5,0.925,0.825,0.675,0.425,0.9,0.3,0.75,0.7,0.875,0.95,0.9,0.925	0.9,0.825,0.575,0.5,0.85,0.525,0.875,0.8,0.675,0.525,0.625,0.55,0.15,0.5,0.3,0.5,0.55,0.8,0.575,0.625,0.325,0.125,0.4,0.8,0.3,0.275,0.125,0.7,0.15,0.5,0.5,0.925	0.9,0.5,0.575,0.975,0.525,0.875,0.5,0.575,0.675,0.5,0.6,0.525,0.525,0.5,0.5,0.5,0.525,0.75,0.55,0.475,0.6,0.025,0.575,0.4,0.3,0.275,0.625,0.675,0.65,0.6,0.05,0.525
A9JHTV37LSE5F	M	35	6	27,4,7,14,17,10,6,26,23,18,22,19,25,28,3,30,8,24,11,21,12,2,29,13,9,31,20,15,16,5,1,32	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	Winston,Charles,Ivan,Quinn,Harry,Patrick,Frank,Fred,Kenneth,Daniel,Luke,Barry,Steve,Jake,Calvin,Zach,Owen,Eric,Gary,Jeff,Henry,George,Victor,Nathan,Albert,Robert,Bob,Alex,Ethan,David,Tom,Matt	shark,bee,cat,fox,goose,dolphin,buffalo,rabbit,ox,horse,owl,kangaroo,pig,sheep,bear,whale,cow,penguin,duck,monkey,elephant,bat,tiger,fish,dog,wolf,lion,frog,goat,bird,ant,zebra	scary,busy,independent,sly,loud,smart,big,fast,strong,fast,wise,jumpy,dirty,wooly,scary,large,fat,cold,loud,funny,huge,scary,striped,scaly,loyal,scary,scary,slimy,funny,small,small,striped	mean,small,lazy,smart,mean,friendly,strong,furry,big,strong,quiet,bouncy,fat,fluffy,big,graceful,lazy,cute,cute,smart,smart,blind,fierce,wet,friendly,mean,strong,noisy,hungry,graceful,strong,exotic	dangerous,angry,soft,cunning,annoying,playful,wild,cute,slow,beautiful,nocturnal,cute,smelly,dumb,fierce,majestic,dumb,funny,quacking,playful,heavy,nocturnal,scary,smelly,happy,angry,ferocious,jumpy,loud,free,busy,fast	1,1,4,3,3,1,4,2,4,2,3,2,2,1,4,4,3,1,1,2,3,3,3,2,4,3,2,1,1,4,2,4	0.975,1,0.825,0.975,1,0.975,0.975,0.975,1,0.675,0.975,0.775,0.975,0.975,0.775,0.975,1,0.975,0.975,0.825,0.975,1,0.975,0.3,0.975,0.975,0.625,0.975,0.975,0.875,0.975,0.975	0.875,0.5,0.725,0.85,0.5,0.725,0.975,0.025,0.975,0.875,0.65,0.775,0.975,0.725,0.925,0,0.975,0.2,0.5,0.4,0.5,0.3,0.7,0.275,0.875,0.9,0.7,0.625,0.5,0.65,0.2,0.725	0.825,0.6,0.625,0.85,0.75,0.625,0.275,0.5,0.725,0.5,0.275,0.55,0.975,0.55,0.575,0.025,0.5,0.075,0,0.975,0.85,0.275,0.65,0.65,0.7,0.875,0.825,0.375,0.7,0.8,0.475,0.525
AO1XRGCWU3YR4	F	35	0	27,10,21,3,17,4,16,9,18,11,30,15,8,7,6,24,12,1,20,22,14,32,25,29,2,23,26,31,28,5,19,13	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	Ivan,Ethan,David,Charles,Bob,Tom,Jake,Albert,Patrick,Victor,Barry,Daniel,Kenneth,Steve,Jeff,Harry,Owen,Fred,Matt,Nathan,Zach,Calvin,Frank,Winston,Eric,Robert,George,Alex,Quinn,Henry,Luke,Gary	shark,dolphin,monkey,bear,goose,bee,goat,dog,horse,duck,whale,frog,cow,cat,buffalo,penguin,elephant,ant,lion,owl,fox,zebra,pig,tiger,bat,ox,rabbit,wolf,sheep,bird,kangaroo,fish	scary,smart,funny,scary,loud,busy,funny,loyal,fast,loud,large,slimy,fat,independent,big,cold,huge,small,scary,wise,sly,striped,dirty,striped,scary,strong,fast,scary,wooly,small,jumpy,scaly	mean,friendly,smart,big,mean,small,hungry,friendly,strong,cute,graceful,noisy,lazy,lazy,strong,cute,smart,strong,strong,quiet,smart,exotic,fat,fierce,blind,big,furry,mean,fluffy,graceful,bouncy,wet	dangerous,playful,playful,fierce,annoying,angry,loud,happy,beautiful,quacking,majestic,jumpy,dumb,soft,wild,funny,heavy,busy,ferocious,nocturnal,cunning,fast,smelly,scary,nocturnal,slow,cute,angry,dumb,free,cute,smelly	4,2,4,3,1,3,3,1,1,4,2,3,4,1,3,4,2,1,3,4,1,2,3,1,4,2,1,2,2,4,2,3	0.3,0.725,0.95,0.95,0.95,0.975,0.975,0.975,0.975,0.5,0.975,0.975,0.975,0.975,0.975,0.7,1,0.975,0.975,0.975,0.975,0,0.975,1,0.975,0.975,1,0.7,0.725,0.975,0.7,0.975	0.725,0.925,0.7,0.5,0.275,0.5,0.5,0.725,0.7,0.7,0.275,0.5,0.7,0.3,0.7,0.5,0.5,0.5,0.7,0.5,0.95,0.725,0.5,0.5,0.7,0.7,0.275,0.5,0.275,0.5,0.7,0.5	0.5,0.725,0.5,0.7,0.7,0.5,0.5,0.7,0.5,0.7,0.275,0.5,0.5,0.5,0.5,0.5,1,0.5,0.975,0.275,0.975,0.7,1,0.7,0.025,0.275,0.5,0.5,0.275,0.5,0.5,0.725
A3DDFEQ9K0H93C	F	45	4	15,11,2,20,32,16,29,9,7,31,24,21,14,8,10,3,1,4,25,13,22,5,19,26,28,12,23,30,27,6,18,17	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	George,Eric,Fred,Patrick,Ethan,Harry,Nathan,Daniel,Barry,Alex,Tom,Robert,Frank,Winston,Charles,Kenneth,Gary,Bob,Henry,Albert,David,Calvin,Matt,Jake,Luke,Steve,Quinn,Zach,Owen,Jeff,Ivan,Victor	frog,duck,bat,lion,zebra,goat,tiger,dog,cat,wolf,penguin,monkey,fox,cow,dolphin,bear,ant,bee,pig,fish,owl,bird,kangaroo,rabbit,sheep,elephant,ox,whale,shark,buffalo,horse,goose	slimy,loud,scary,scary,striped,funny,striped,loyal,independent,scary,cold,funny,sly,fat,smart,scary,small,busy,dirty,scaly,wise,small,jumpy,fast,wooly,huge,strong,large,scary,big,fast,loud	noisy,cute,blind,strong,exotic,hungry,fierce,friendly,lazy,mean,cute,smart,smart,lazy,friendly,big,strong,small,fat,wet,quiet,graceful,bouncy,furry,fluffy,smart,big,graceful,mean,strong,strong,mean	jumpy,quacking,nocturnal,ferocious,fast,loud,scary,happy,soft,angry,funny,playful,cunning,dumb,playful,fierce,busy,angry,smelly,smelly,nocturnal,free,cute,cute,dumb,heavy,slow,majestic,dangerous,wild,beautiful,annoying	2,1,2,3,2,4,2,2,3,3,3,4,4,2,3,1,3,1,1,2,4,3,1,2,1,4,3,1,1,4,4,4	0.05,0.925,0.275,0.925,0.025,0.125,0,0,1,0.975,1,0.875,0.95,0.55,1,1,1,1,1,0,0.85,1,1,0.925,0,0.875,1,1,1,0.725,0.85,0.85	0.725,0.275,0.725,0.275,0.65,0.725,0.725,0.275,0,0.525,0,0.625,0.8,0.725,0.575,0.5,0.275,0.5,0.5,0.175,0.6,0.5,0.575,0,0,0.525,0.6,0.275,0.575,0.725,0.725,0.5	0.725,0.275,0.725,0.6,0.25,0.575,0.55,0.275,0.1,0.525,0,0.875,0.775,0.725,0.5,0.525,0.5,0.5,0.675,0.5,0.4,0.5,0.5,0.05,0.7,0.7,0.5,0.275,0.575,0.5,0.5,0.7
A8ZDIHQNX149L	M	25	8	7,14,30,11,10,17,13,20,24,27,18,19,16,28,2,23,21,25,5,26,31,4,9,15,12,29,32,6,22,8,3,1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	Daniel,Steve,George,Matt,Zach,Kenneth,Robert,Victor,Luke,Nathan,Alex,Albert,Eric,Owen,Charles,Jake,Gary,Winston,Ethan,David,Jeff,Frank,Henry,Patrick,Calvin,Harry,Bob,Ivan,Quinn,Barry,Fred,Tom	cat,fox,whale,duck,dolphin,goose,fish,lion,penguin,shark,horse,kangaroo,goat,sheep,bat,ox,monkey,pig,bird,rabbit,wolf,bee,dog,frog,elephant,tiger,zebra,buffalo,owl,cow,bear,ant	independent,sly,large,loud,smart,loud,scaly,scary,cold,scary,fast,jumpy,funny,wooly,scary,strong,funny,dirty,small,fast,scary,busy,loyal,slimy,huge,striped,striped,big,wise,fat,scary,small	lazy,smart,graceful,cute,friendly,mean,wet,strong,cute,mean,strong,bouncy,hungry,fluffy,blind,big,smart,fat,graceful,furry,mean,small,friendly,noisy,smart,fierce,exotic,strong,quiet,lazy,big,strong	soft,cunning,majestic,quacking,playful,annoying,smelly,ferocious,funny,dangerous,beautiful,cute,loud,dumb,nocturnal,slow,playful,smelly,free,cute,angry,angry,happy,jumpy,heavy,scary,fast,wild,nocturnal,dumb,fierce,busy	4,2,3,2,3,3,1,1,2,4,1,3,4,1,4,4,1,1,4,1,2,2,4,3,2,1,2,2,3,3,3,4	0.875,0.675,0.975,0.825,0.975,0.975,0.975,0.975,0.325,0.775,0.975,0.975,1,1,0.625,0.95,0.975,0.95,0.95,0.975,0.5,0.9,0.95,0.95,0.975,0.975,0.95,0.95,1,0.975,0.975,0.975	0.4,0.8,0.5,0.375,0.5,0.5,0.5,0.5,0.975,0.875,0.425,0.9,0.5,0.75,0.5,0.875,0.5,0.5,0.6,0.5,0.9,0.5,0.85,0.5,0.375,0.5,0.825,0.85,0.5,0.5,0.5,0.5	0.15,0.725,0.5,0.1,0.5,0.6,0.5,0.5,0.875,0.75,0.35,0.5,0.85,0.5,0.275,0.5,0.825,0.5,0.5,0.5,0.625,0.5,0.8,0.5,0.875,0.5,0.5,0.875,0.275,0.5,0.5,0.825
A239TEQ5BUWBM	F	45	4	22,29,17,20,26,4,28,25,10,11,14,6,27,1,23,3,8,32,18,31,9,2,16,30,21,7,12,15,19,5,24,13	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	Zach,Daniel,Jeff,Winston,Barry,Nathan,Henry,Charles,Tom,Matt,Harry,Eric,Steve,Luke,Albert,Bob,Robert,David,Alex,George,Owen,Frank,Victor,Gary,Jake,Quinn,Ethan,Ivan,Patrick,Fred,Calvin,Kenneth	owl,tiger,goose,lion,rabbit,bee,sheep,pig,dolphin,duck,fox,buffalo,shark,ant,ox,bear,cow,zebra,horse,wolf,dog,bat,goat,whale,monkey,cat,elephant,frog,kangaroo,bird,penguin,fish	wise,striped,loud,scary,fast,busy,wooly,dirty,smart,loud,sly,big,scary,small,strong,scary,fat,striped,fast,scary,loyal,scary,funny,large,funny,independent,huge,slimy,jumpy,small,cold,scaly	quiet,fierce,mean,strong,furry,small,fluffy,fat,friendly,cute,smart,strong,mean,strong,big,big,lazy,exotic,strong,mean,friendly,blind,hungry,graceful,smart,lazy,smart,noisy,bouncy,graceful,cute,wet	nocturnal,scary,annoying,ferocious,cute,angry,dumb,smelly,playful,quacking,cunning,wild,dangerous,busy,slow,fierce,dumb,fast,beautiful,angry,happy,nocturnal,loud,majestic,playful,soft,heavy,jumpy,cute,free,funny,smelly	1,2,1,2,4,4,3,1,1,2,1,1,3,2,3,3,1,3,4,4,3,3,2,4,1,2,4,2,4,3,4,2	0.725,0.275,0.725,0.5,0.925,0.95,0.5,0.725,0.725,0.5,0.725,0.725,0.725,0.7,0.925,0.925,0.925,0.725,0.5,0.5,0.925,0.925,0.5,0.725,0.725,0.5,0.725,0.5,0.75,0.95,0.725,0.5	0.5,0.725,0.5,0.725,0.25,0.5,0.275,0.5,0.5,0.5,0.725,0.5,0.725,0.725,0.5,0.5,0.5,0.5,0.725,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.725,0.5,0.5,0.5	0.5,0.725,0.725,0.725,0.5,0.5,0.5,0.725,0.5,0.5,0.7,0.5,0.725,0.725,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.725,0.7,0.5,0.5,0.5,0.5
A3LFKYV5E1VWBM	F	55	0	27,29,8,14,10,30,4,24,15,13,3,26,12,23,17,11,5,9,18,19,31,2,21,6,7,16,28,25,1,32,20,22	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	Gary,Eric,Henry,Quinn,Barry,Jeff,Patrick,Ivan,Kenneth,Owen,Bob,Calvin,Victor,Luke,George,Matt,Ethan,Jake,Albert,Charles,Fred,Zach,Robert,David,Alex,Frank,Nathan,Tom,Harry,Steve,Winston,Daniel	shark,tiger,cow,fox,dolphin,whale,bee,penguin,frog,fish,bear,rabbit,elephant,ox,goose,duck,bird,dog,horse,kangaroo,wolf,bat,monkey,buffalo,cat,goat,sheep,pig,ant,zebra,lion,owl	scary,striped,fat,sly,smart,large,busy,cold,slimy,scaly,scary,fast,huge,strong,loud,loud,small,loyal,fast,jumpy,scary,scary,funny,big,independent,funny,wooly,dirty,small,striped,scary,wise	mean,fierce,lazy,smart,friendly,graceful,small,cute,noisy,wet,big,furry,smart,big,mean,cute,graceful,friendly,strong,bouncy,mean,blind,smart,strong,lazy,hungry,fluffy,fat,strong,exotic,strong,quiet	dangerous,scary,dumb,cunning,playful,majestic,angry,funny,jumpy,smelly,fierce,cute,heavy,slow,annoying,quacking,free,happy,beautiful,cute,angry,nocturnal,playful,wild,soft,loud,dumb,smelly,busy,fast,ferocious,nocturnal	2,1,4,4,2,1,4,1,3,4,1,4,3,1,2,2,4,3,3,3,1,3,1,2,3,2,1,2,3,2,4,4	0.675,0,0.8,0.925,0.875,0.925,0.925,0.725,0.6,0,0.875,0.95,0.95,0.95,0.5,0.5,0.825,0.95,0.925,0.925,0.95,0.925,0.925,0.925,0.95,0.5,0.075,0.875,0.925,0.05,0.525,0.925	0.85,0.5,0.725,0.925,0.875,0.5,0.5,0.275,0.5,0.275,0.6,0,0.5,0.5,0.5,0.5,0.5,0.5,0.625,0.6,0.725,0.4,0.6,0.925,0.5,0.5,0.075,0.875,0.5,0.5,0.925,0.825	0.625,0.5,0.725,0.925,0.925,0.5,0.5,0.275,0.5,0.275,0.725,0.5,0.65,0.5,0.725,0.275,0.5,0.5,0.5,0.5,0.725,0.275,0.6,0.5,0.5,0.5,0.5,0.725,0.5,0.5,0.825,0.425
AWG0O1Y2ZKL2E	M	65	6	26,7,4,6,11,23,1,20,13,16,17,21,15,5,14,31,22,25,28,18,10,24,12,8,2,32,9,3,19,27,30,29	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	Ethan,Harry,Gary,Alex,Albert,Jeff,Quinn,Owen,Nathan,Kenneth,Matt,Eric,Ivan,Henry,Zach,Winston,Jake,Victor,Charles,Patrick,Luke,Bob,Fred,Barry,David,Tom,Frank,Calvin,Daniel,George,Steve,Robert	rabbit,cat,bee,buffalo,duck,ox,ant,lion,fish,goat,goose,monkey,frog,bird,fox,wolf,owl,pig,sheep,horse,dolphin,penguin,elephant,cow,bat,zebra,dog,bear,kangaroo,shark,whale,tiger	fast,independent,busy,big,loud,strong,small,scary,scaly,funny,loud,funny,slimy,small,sly,scary,wise,dirty,wooly,fast,smart,cold,huge,fat,scary,striped,loyal,scary,jumpy,scary,large,striped	furry,lazy,small,strong,cute,big,strong,strong,wet,hungry,mean,smart,noisy,graceful,smart,mean,quiet,fat,fluffy,strong,friendly,cute,smart,lazy,blind,exotic,friendly,big,bouncy,mean,graceful,fierce	cute,soft,angry,wild,quacking,slow,busy,ferocious,smelly,loud,annoying,playful,jumpy,free,cunning,angry,nocturnal,smelly,dumb,beautiful,playful,funny,heavy,dumb,nocturnal,fast,happy,fierce,cute,dangerous,majestic,scary	1,1,2,2,4,1,2,4,2,4,4,2,4,2,3,3,3,4,1,3,4,2,1,1,1,3,3,3,2,4,3,1	0.725,0.925,0.825,0.825,0.6,0.9,0.8,0.8,0.125,0.65,0.7,0.7,0.675,0.625,0.925,0.925,0.9,0.9,0.75,0.9,0.675,0.65,0.925,0.925,0.925,0.6,0.925,0.925,0.65,0.875,0.9,0.675	0.275,0.575,0.575,0.85,0.175,0.6,0.55,0.675,0.425,0.35,0.675,0.35,0.55,0.525,0.625,0.6,0.525,0.7,0.45,0.525,0.725,0.55,0.425,0.6,0.275,0.675,0.7,0.525,0.55,0.85,0.425,0.525	0.275,0.425,0.575,0.55,0.275,0.55,0.55,0.85,0.625,0.55,0.85,0.725,0.375,0.625,0.85,0.575,0.575,0.7,0.525,0.475,0.725,0.675,0.725,0.6,0.45,0.45,0.525,0.55,0.275,0.85,0.525,0.525
A6SFBW18Y5FNR	F	35	0	13,18,9,27,6,2,20,30,7,22,28,15,8,16,32,10,25,29,21,1,4,11,19,3,12,5,24,17,31,26,14,23	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	George,Barry,Steve,Harry,Henry,Albert,Fred,Ivan,Zach,Matt,Frank,Calvin,David,Robert,Jake,Kenneth,Charles,Bob,Owen,Jeff,Daniel,Victor,Quinn,Ethan,Patrick,Eric,Luke,Gary,Nathan,Winston,Tom,Alex	fish,horse,dog,shark,buffalo,bat,lion,whale,cat,owl,sheep,frog,cow,goat,zebra,dolphin,pig,tiger,monkey,ant,bee,duck,kangaroo,bear,elephant,bird,penguin,goose,wolf,rabbit,fox,ox	scaly,fast,loyal,scary,big,scary,scary,large,independent,wise,wooly,slimy,fat,funny,striped,smart,dirty,striped,funny,small,busy,loud,jumpy,scary,huge,small,cold,loud,scary,fast,sly,strong	wet,strong,friendly,mean,strong,blind,strong,graceful,lazy,quiet,fluffy,noisy,lazy,hungry,exotic,friendly,fat,fierce,smart,strong,small,cute,bouncy,big,smart,graceful,cute,mean,mean,furry,smart,big	smelly,beautiful,happy,dangerous,wild,nocturnal,ferocious,majestic,soft,nocturnal,dumb,jumpy,dumb,loud,fast,playful,smelly,scary,playful,busy,angry,quacking,cute,fierce,heavy,free,funny,annoying,angry,cute,cunning,slow	4,3,2,4,4,2,1,1,1,3,2,1,4,3,1,1,2,4,3,4,3,3,4,1,4,2,3,2,2,2,1,3	0.725,0.925,0.725,0.775,0.825,0.575,0.875,0.9,0.875,0.875,0.825,0.85,0.775,0.925,0.925,0.925,0.8,0.9,0.925,0.925,0.9,0.9,0.9,0.925,0.925,0.7,0.925,0.75,0.825,0.85,0.925,0.925	0.825,0.625,0.525,0.575,0.875,0.65,0.525,0.4,0.225,0.575,0.8,0.45,0.85,0.5,0.5,0.475,0.875,0.775,0.575,0.9,0.5,0.475,0.775,0.525,0.675,0.75,0.5,0.75,0.75,0.925,0.725,0.5	0.55,0.475,0.575,0.575,0.625,0.9,0.6,0.275,0.475,0.475,0.55,0.475,0.575,0.65,0.5,0.5,0.925,0.775,0.65,0.9,0.675,0.5,0.825,0.625,0.925,0.5,0.5,0.75,0.775,0.875,0.725,0.5
ATBOUUBKB2HMP	F	35	8	14,29,10,8,20,15,25,5,21,32,30,2,19,3,7,12,13,1,6,28,26,18,16,9,4,22,31,24,11,17,23,27	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	Frank,Owen,Charles,Jake,Winston,Robert,Tom,Fred,Eric,Patrick,Luke,Jeff,Daniel,David,Kenneth,Henry,Alex,Nathan,Gary,Bob,Zach,Steve,Harry,Quinn,Ivan,Matt,George,Calvin,Barry,Ethan,Victor,Albert	fox,tiger,dolphin,cow,lion,frog,pig,bird,monkey,zebra,whale,bat,kangaroo,bear,cat,elephant,fish,ant,buffalo,sheep,rabbit,horse,goat,dog,bee,owl,wolf,penguin,duck,goose,ox,shark	sly,striped,smart,fat,scary,slimy,dirty,small,funny,striped,large,scary,jumpy,scary,independent,huge,scaly,small,big,wooly,fast,fast,funny,loyal,busy,wise,scary,cold,loud,loud,strong,scary	smart,fierce,friendly,lazy,strong,noisy,fat,graceful,smart,exotic,graceful,blind,bouncy,big,lazy,smart,wet,strong,strong,fluffy,furry,strong,hungry,friendly,small,quiet,mean,cute,cute,mean,big,mean	cunning,scary,playful,dumb,ferocious,jumpy,smelly,free,playful,fast,majestic,nocturnal,cute,fierce,soft,heavy,smelly,busy,wild,dumb,cute,beautiful,loud,happy,angry,nocturnal,angry,funny,quacking,annoying,slow,dangerous	1,2,4,2,3,3,1,1,2,1,2,3,4,3,4,3,1,4,3,1,1,4,2,4,4,4,3,2,2,2,1,3	0.525,0.025,0.55,0.9,0.9,0.025,0.075,0.725,0.575,0.05,0.85,0.925,0.875,0.85,0.925,0.85,0.5,0.65,0.75,0.5,0.875,0.775,0.625,0.95,0.9,0.85,0.9,0.65,0.625,0.575,0.85,0.875	0.525,0.825,0.575,0.5,0.5,0.45,0.325,0.5,0.6,0.575,0.5,0.05,0.675,0.5,0.5,0.5,0.5,0.625,0.5,0.5,0.325,0.7,0.5,0.525,0.275,0.5,0.725,0.5,0.55,0.5,0.45,0.625	0.7,0.275,0.05,0.5,0.575,0.7,0.425,0.375,0.6,0.5,0.5,0.3,0.175,0.65,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.625,0.5,0.275,0.3,0.675,0.5,0.2,0.675,0.5,0.675
AI31HI6NS7U3E	F	45	4	9,31,14,20,4,32,10,1,28,22,7,21,8,19,11,18,26,13,25,23,24,2,30,15,17,5,12,29,3,27,6,16	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	David,Winston,Matt,Jake,Ivan,Ethan,Bob,George,Henry,Zach,Fred,Harry,Charles,Owen,Kenneth,Steve,Frank,Victor,Daniel,Albert,Jeff,Eric,Patrick,Nathan,Quinn,Alex,Barry,Robert,Gary,Calvin,Tom,Luke	dog,wolf,fox,lion,bee,zebra,dolphin,ant,sheep,owl,cat,monkey,cow,kangaroo,duck,horse,rabbit,fish,pig,ox,penguin,bat,whale,frog,goose,bird,elephant,tiger,bear,shark,buffalo,goat	loyal,scary,sly,scary,busy,striped,smart,small,wooly,wise,independent,funny,fat,jumpy,loud,fast,fast,scaly,dirty,strong,cold,scary,large,slimy,loud,small,huge,striped,scary,scary,big,funny	friendly,mean,smart,strong,small,exotic,friendly,strong,fluffy,quiet,lazy,smart,lazy,bouncy,cute,strong,furry,wet,fat,big,cute,blind,graceful,noisy,mean,graceful,smart,fierce,big,mean,strong,hungry	happy,angry,cunning,ferocious,angry,fast,playful,busy,dumb,nocturnal,soft,playful,dumb,cute,quacking,beautiful,cute,smelly,smelly,slow,funny,nocturnal,majestic,jumpy,annoying,free,heavy,scary,fierce,dangerous,wild,loud	4,4,1,4,2,1,3,3,2,1,1,3,1,2,3,1,2,2,3,2,4,3,3,3,4,1,4,1,2,2,4,4	0.95,0.925,0.925,0.5,0.95,0.5,0.925,1,0.5,1,1,0.975,0.5,0.725,1,1,1,0.5,1,0.975,1,0.975,1,1,1,1,1,0.5,0.725,1,0.975,0.5	0.725,0.725,0.5,0.925,0.5,0.5,0.5,0.5,0.5,0.975,0,0.725,0.5,0.975,0.5,0.5,0.5,0.5,0.5,0.975,0.5,0.5,0.5,0.5,1,0.5,1,0.5,1,1,0.975,0.725	0.5,0.5,0.725,0.7,0.5,0.5,0.5,0.5,0.95,0.5,0.5,0.725,0.5,0.5,0.5,0.5,0.5,0.5,0.725,0.5,0.5,0.5,0.725,0.5,1,0.5,1,0.5,1,1,1,0.725
A3MTA9LZ70WISN	M	66	8	23,1,12,2,10,25,20,28,29,3,19,7,31,21,27,6,30,22,9,16,15,8,18,5,17,11,26,24,13,32,4,14	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	Albert,Winston,Matt,Jeff,Daniel,Gary,Frank,Barry,Bob,Alex,Ethan,Henry,Victor,Luke,Nathan,Eric,Owen,Calvin,Jake,Robert,Steve,Fred,Ivan,Kenneth,Tom,Harry,Quinn,David,Patrick,Zach,Charles,George	ox,ant,elephant,bat,dolphin,pig,lion,sheep,tiger,bear,kangaroo,cat,wolf,monkey,shark,buffalo,whale,owl,dog,goat,frog,cow,horse,bird,goose,duck,rabbit,penguin,fish,zebra,bee,fox	strong,small,huge,scary,smart,dirty,scary,wooly,striped,scary,jumpy,independent,scary,funny,scary,big,large,wise,loyal,funny,slimy,fat,fast,small,loud,loud,fast,cold,scaly,striped,busy,sly	big,strong,smart,blind,friendly,fat,strong,fluffy,fierce,big,bouncy,lazy,mean,smart,mean,strong,graceful,quiet,friendly,hungry,noisy,lazy,strong,graceful,mean,cute,furry,cute,wet,exotic,small,smart	slow,busy,heavy,nocturnal,playful,smelly,ferocious,dumb,scary,fierce,cute,soft,angry,playful,dangerous,wild,majestic,nocturnal,happy,loud,jumpy,dumb,beautiful,free,annoying,quacking,cute,funny,smelly,fast,angry,cunning	3,1,1,2,2,1,3,1,4,1,2,3,2,3,4,4,4,3,4,2,1,1,4,2,2,3,1,2,4,3,4,3	0.725,0.05,0.825,0.3,0.7,0.85,0.725,0.7,0.5,0.725,0.6,0.8,0.575,0.9,0.55,0.875,0.9,0.85,0.725,0.5,0.85,0.875,0.625,0.725,0.525,0.925,0.85,0.575,0.625,0.625,0.775,0.875	0.5,0.275,0.5,0.125,0.7,0.5,0.5,0.55,0.625,0.6,0.625,0.275,0.5,0.575,0.65,0.75,0.25,0.5,0.6,0.575,0.5,0.575,0.6,0.675,0.4,0.5,0.275,0.7,0.6,0.55,0.675,0.575	0.275,0.5,0.925,0.55,0.8,0.7,0.6,0.5,0.625,0.65,0.5,0.25,0.5,0.8,0.725,0.55,0.375,0.4,0.5,0.55,0.425,0.5,0.55,0.725,0.475,0.275,0.375,0.7,0.575,0.475,0.475,0.8
