workerid	Answer.gender	Answer.age	Answer.income	Answer.nativeLanguage	Answer.orders	Answer.items	Answer.dimensions	Answer.desTypes	Answer.qualities	Answer.speakerGenders	Answer.genders	Answer.bins0	Answer.bins1	Answer.bins2	Answer.bins3	Answer.bins4	Answer.bins5	Answer.bins6	Answer.bins7	Answer.bins8	Answer.bins9	Answer.priors0	Answer.priors1	Answer.priors2	Answer.priors3	Answer.priors4	Answer.priors5	Answer.priors6	Answer.priors7	Answer.priors8	Answer.priors9
11	M	45	4	English	1,2,3,4,5,6	giraffe,turtle,cheetah,elephant,hamster,bird	height,speed,speed,weight,height,weight	fig,fig,lit,lit,fig,lit	tall,slow,fast,heavy,short,light	woman,woman,man,man,man,man	woman,woman,man,man,woman,man	0,0,0,0,0,0	0.5,1,1,10,0.5,10	4,5,5,100,4,100	4.5,10,10,120,4.5,120	5,12,12,140,5,140	5.5,14,14,160,5.5,160	6,16,16,180,6,180	6.5,18,18,200,6.5,200	7,20,20,220,7,220	15,60,60,10000,15,10000	0,0.93,0.92,0.02,0.02,0.03	0,0.7,0.93,0.03,0.12,0.25	0,0.18,0.9,0.12,0.13,0.37	0,0,0.44,0.18,0.25,0.94	0,0,0.04,0.26,0.95,0.74	0.86,0,0.02,0.36,0.67,0.38	0.53,0,0.02,0.55,0.04,0.02	0.05,0,0.02,0.95,0.04,0	0.01,0,0.02,0.85,0.03,0.02	0,0.02,0.03,0.85,0.04,0.02
12	M	35	4	English	1,2,3,4,5,6	cheetah,hamster,giraffe,bird,turtle,elephant	speed,height,height,weight,speed,weight	lit,fig,fig,lit,lit,fig	fast,short,tall,light,slow,heavy	man,woman,woman,woman,man,man	woman,woman,man,man,man,woman	0,0,0,0,0,0	1,0.5,0.5,10,1,10	5,4,4,100,5,100	10,4.5,4.5,120,10,120	12,5,5,140,12,140	14,5.5,5.5,160,14,160	16,6,6,180,16,180	18,6.5,6.5,200,18,200	20,7,7,220,20,220	60,15,15,10000,60,10000	1,1,1,1,1,1	1,1,1,1,1,1	1,1,1,1,1,1	0.73,1,1,0.57,0,1	0.55,1,1,0,0,1	0.47,1,1,0,0,1	0.43,0.61,1,0,0,0.82	0.11,0,0.82,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0
13	M	35	4	english	1,2,3,4,5,6	giraffe,hamster,bird,elephant,turtle,cheetah	height,height,weight,weight,speed,speed	fig,fig,fig,lit,lit,lit	tall,short,light,heavy,slow,fast	woman,man,woman,woman,woman,man	woman,man,woman,woman,man,man	0,0,0,0,0,0	0.5,0.5,10,10,1,1	4,4,100,100,5,5	4.5,4.5,120,120,10,10	5,5,140,140,12,12	5.5,5.5,160,160,14,14	6,6,180,180,16,16	6.5,6.5,200,200,18,18	7,7,220,220,20,20	15,15,10000,10000,60,60	0.04,0.51,0,0.03,0,0.04	0.05,0.51,0.5,0.03,0.44,0.02	0.03,0.49,0.5,0.02,0.44,0.03	0.04,0.49,0,0.01,0.05,0.02	0.06,0.02,0,0,0.03,0.01	0.05,0.02,0,0.53,0.05,0.06	0.49,0.04,0,0.51,0.02,0.48	0.49,0.04,0,0.49,0.05,0.46	0.48,0.03,0,0,0.02,0	0.48,0.02,0,0,0.04,0.02
14	M	35	4	English	1,2,3,4,5,6	elephant,giraffe,turtle,hamster,bird,cheetah	weight,height,speed,height,weight,speed	fig,lit,lit,fig,fig,lit	heavy,tall,slow,short,light,fast	man,man,woman,man,woman,woman	woman,man,man,man,woman,woman	0,0,0,0,0,0	10,0.5,1,0.5,10,1	100,4,5,4,100,5	120,4.5,10,4.5,120,10	140,5,12,5,140,12	160,5.5,14,5.5,160,14	180,6,16,6,180,16	200,6.5,18,6.5,200,18	220,7,20,7,220,20	10000,15,60,15,10000,60	0.02,0,0.04,0,0,0.01	0.08,0.01,0.78,0,0.51,0.68	0.08,0,0.42,0,0.83,0.64	0.18,0.01,0.02,0,0.16,0.06	0.26,0,0,0.43,0.03,0.02	0.49,0.07,0,0.49,0,0.03	0.65,0.84,0,0.11,0.02,0.02	0.11,0.35,0,0.01,0.02,0.02	0.11,0.02,0,0.01,0.02,0.02	0.04,0.02,0,0.02,0.01,0.02
15	M	25	4	English	1,2,3,4,5,6	elephant,bird,turtle,giraffe,cheetah,hamster	weight,weight,speed,height,speed,height	fig,lit,fig,lit,lit,fig	heavy,light,slow,tall,fast,short	woman,woman,man,woman,woman,woman	man,woman,man,woman,woman,man	0,0,0,0,0,0	10,10,1,0.5,1,0.5	100,100,5,4,5,4	120,120,10,4.5,10,4.5	140,140,12,5,12,5	160,160,14,5.5,14,5.5	180,180,16,6,16,6	200,200,18,6.5,18,6.5	220,220,20,7,20,7	10000,10000,60,15,60,15	0,0,0.49,0,0,0	0,0.05,0.5,0,0,0.23	0.04,0.49,0.72,0,0.39,0.35	0.07,0.53,0.47,0,0.49,0.55	0.11,0.27,0.14,0.03,0.66,0.75	0.15,0.04,0.05,0.87,0.71,0.2	0.45,0,0.01,0.6,0.19,0	0.68,0,0.01,0.06,0.06,0	0.85,0,0,0,0,0	0,0,0,0,0,0
16	M	35	6	English	1,2,3,4,5,6	giraffe,bird,hamster,turtle,elephant,cheetah	height,weight,height,speed,weight,speed	lit,lit,fig,fig,fig,lit	tall,light,short,slow,heavy,fast	man,man,woman,man,woman,man	woman,man,woman,man,woman,man	0,0,0,0,0,0	0.5,10,0.5,1,10,1	4,100,4,5,100,5	4.5,120,4.5,10,120,10	5,140,5,12,140,12	5.5,160,5.5,14,160,14	6,180,6,16,180,16	6.5,200,6.5,18,200,18	7,220,7,20,220,20	15,10000,15,60,10000,60	0.1,1,1,1,0.01,0	0.16,0.8,0.85,0.85,0.04,0.09	0.23,0.72,0.74,0.71,0.08,0.13	0.31,0.59,0.59,0.66,0.09,0.25	0.37,0.46,0.47,0.53,0.24,0.35	0.47,0.34,0.29,0.41,0.32,0.53	0.7,0.26,0.1,0.21,0.48,0.63	0.91,0.13,0.03,0.07,0.63,0.76	1,0.05,0,0.02,0.88,0.9	1,0,0,0.01,1,1
17	F	35	4	english	1,2,3,4,5,6	bird,hamster,elephant,cheetah,turtle,giraffe	weight,height,weight,speed,speed,height	fig,lit,lit,fig,lit,fig	light,short,heavy,fast,slow,tall	man,woman,man,woman,woman,man	woman,man,man,woman,woman,man	0,0,0,0,0,0	10,0.5,10,1,1,0.5	100,4,100,5,5,4	120,4.5,120,10,10,4.5	140,5,140,12,12,5	160,5.5,160,14,14,5.5	180,6,180,16,16,6	200,6.5,200,18,18,6.5	220,7,220,20,20,7	10000,15,10000,60,60,15	0,0,0,0,0,0	0.9,0,0,0,0.89,0	0.78,0,0,0,0.69,0	0.25,0.36,0,0.39,0.4,0	0,0.64,0,0.86,0,0	0,0.63,0.41,0.7,0,0	0,0,0.54,0.53,0,0.5	0,0,0.76,0,0,0.87	0,0,0.91,0,0,0.27	0,0,0,0,0,0
18	M	45	6	English	1,2,3,4,5,6	bird,giraffe,turtle,elephant,hamster,cheetah	weight,height,speed,weight,height,speed	fig,lit,fig,fig,lit,lit	light,tall,slow,heavy,short,fast	woman,woman,man,man,man,woman	woman,man,woman,man,woman,man	0,0,0,0,0,0	10,0.5,1,10,0.5,1	100,4,5,100,4,5	120,4.5,10,120,4.5,10	140,5,12,140,5,12	160,5.5,14,160,5.5,14	180,6,16,180,6,16	200,6.5,18,200,6.5,18	220,7,20,220,7,20	10000,15,60,10000,15,60	0,0,0.06,0,0,0	0.75,0,0.87,0,0.37,0	0.67,0,0.17,0,0.77,0.34	0.24,0.03,0.03,0,0.88,0.59	0.16,0.15,0,0.06,0.51,0.8	0.02,0.62,0,0.18,0.08,0.72	0,0.79,0,0.54,0,0.56	0,0.19,0,0.77,0,0.31	0,0.01,0,0.93,0,0.14	0,0,0,0,0,0
19	M	35	4	English	1,2,3,4,5,6	turtle,hamster,giraffe,elephant,cheetah,bird	speed,height,height,weight,speed,weight	fig,fig,lit,fig,lit,lit	slow,short,tall,heavy,fast,light	man,woman,man,woman,man,woman	woman,man,woman,woman,man,man	0,0,0,0,0,0	1,0.5,0.5,10,1,10	5,4,4,100,5,100	10,4.5,4.5,120,10,120	12,5,5,140,12,140	14,5.5,5.5,160,14,160	16,6,6,180,16,180	18,6.5,6.5,200,18,200	20,7,7,220,20,220	60,15,15,10000,60,10000	1,1,1,1,1,1	1,1,1,1,1,0.91	0.43,0.81,1,1,1,0.81	0.26,0.74,1,1,0.93,0.45	0.08,0.53,1,0.89,0.89,0.27	0,0.14,0.92,0.85,0.84,0.14	0,0,0.71,0.79,0.75,0.09	0,0,0.43,0.76,0.67,0.05	0,0,0.05,0.2,0.52,0	0,0,0,0,0,0
20	F	55	6	English	1,2,3,4,5,6	hamster,turtle,elephant,giraffe,cheetah,bird	height,speed,weight,height,speed,weight	lit,fig,fig,fig,lit,lit	short,slow,heavy,tall,fast,light	woman,woman,man,man,woman,man	woman,man,woman,man,man,woman	0,0,0,0,0,0	0.5,1,10,0.5,1,10	4,5,100,4,5,100	4.5,10,120,4.5,10,120	5,12,140,5,12,140	5.5,14,160,5.5,14,160	6,16,180,6,16,180	6.5,18,200,6.5,18,200	7,20,220,7,20,220	15,60,10000,15,60,10000	0.03,0.98,0.04,0.02,0.04,0.03	0.03,0.73,0.11,0.07,0.18,0.07	0.23,0.46,0.53,0.14,0.95,0.98	0.74,0.03,0.9,0.17,0.7,0.62	0.42,0.02,0.97,0.34,0.15,0.48	0.33,0.01,0.97,0.98,0.02,0.33	0.07,0.02,0.9,0.97,0.04,0.2	0.04,0.02,0.83,0.77,0.03,0.08	0.01,0.02,0.73,0.15,0.04,0.03	0.03,0.02,0.02,0.02,0.05,0.02
21	M	45	10	english	1,2,3,4,5,6	elephant,hamster,giraffe,turtle,cheetah,bird	weight,height,height,speed,speed,weight	lit,fig,fig,fig,lit,lit	heavy,short,tall,slow,fast,light	man,man,man,woman,man,woman	man,woman,woman,man,woman,man	0,0,0,0,0,0	10,0.5,0.5,1,1,10	100,4,4,5,5,100	120,4.5,4.5,10,10,120	140,5,5,12,12,140	160,5.5,5.5,14,14,160	180,6,6,16,16,180	200,6.5,6.5,18,18,200	220,7,7,20,20,220	10000,15,15,60,60,10000	0.01,0.01,0.01,0.28,0.31,0.02	0.03,0.03,0.02,0.29,0.47,0.02	0.01,0.02,0.03,0.08,0.47,0.26	0.01,0.67,0.03,0.09,0.44,0.37	0.01,0.59,0.25,0.16,0.43,0.53	0.16,0.45,0.64,0.05,0.31,0.44	0.36,0.03,0.58,0.04,0.19,0.11	0.71,0.03,0.1,0.03,0.1,0.07	0.65,0,0.05,0.03,0.03,0.02	0.02,0,0.03,0.04,0.01,0.01
22	M	45	8	English	1,2,3,4,5,6	cheetah,hamster,turtle,bird,elephant,giraffe	speed,height,speed,weight,weight,height	fig,fig,lit,lit,lit,fig	fast,short,slow,light,heavy,tall	man,man,woman,woman,man,woman	man,woman,woman,man,woman,man	0,0,0,0,0,0	1,0.5,1,10,10,0.5	5,4,5,100,100,4	10,4.5,10,120,120,4.5	12,5,12,140,140,5	14,5.5,14,160,160,5.5	16,6,16,180,180,6	18,6.5,18,200,200,6.5	20,7,20,220,220,7	60,15,60,10000,10000,15	1,0,0.18,0,0,0	1,0.11,0.46,0.24,0,0	1,0.32,0.71,0.67,0.09,0	1,0.84,0.52,0.83,0.39,0	1,0.41,0.14,0.94,0.58,0	0.8,0.11,0.07,0.75,0.79,0.29	0.65,0.01,0.02,0.24,0.76,0.55	0.38,0,0,0.06,0.67,0.89	0.2,0,0,0,0.43,0.06	0,0,0,0,0,0
23	M	35	4	english	1,2,3,4,5,6	hamster,giraffe,elephant,cheetah,bird,turtle	height,height,weight,speed,weight,speed	lit,fig,fig,lit,fig,lit	short,tall,heavy,fast,light,slow	man,man,man,man,woman,woman	woman,man,man,man,woman,woman	0,0,0,0,0,0	0.5,0.5,10,1,10,1	4,4,100,5,100,5	4.5,4.5,120,10,120,10	5,5,140,12,140,12	5.5,5.5,160,14,160,14	6,6,180,16,180,16	6.5,6.5,200,18,200,18	7,7,220,20,220,20	15,15,10000,60,10000,60	0.68,0.69,0.68,0.7,0.72,0.59	0.83,0.8,0.69,0.57,0.52,0.75	0.7,0.85,0.81,0.85,0.87,0.64	0.81,0.47,0.54,0.72,0.62,0.8	0.6,0.79,0.82,0.69,0.72,0.69	0.78,0.76,0.64,0.65,0.5,0.64	0.38,0.52,0.77,0.88,0.69,0.76	0.81,0.8,0.66,0.67,0.51,0.52	0.57,0.74,0.6,0.83,0.68,0.76	0.66,0.64,0.85,0.64,0.41,0.55
24	M	35	6	English	1,2,3,4,5,6	giraffe,cheetah,hamster,turtle,elephant,bird	height,speed,height,speed,weight,weight	lit,lit,lit,fig,fig,fig	tall,fast,short,slow,heavy,light	woman,woman,man,woman,man,man	man,woman,man,woman,woman,man	0,0,0,0,0,0	0.5,1,0.5,1,10,10	4,5,4,5,100,100	4.5,10,4.5,10,120,120	5,12,5,12,140,140	5.5,14,5.5,14,160,160	6,16,6,16,180,180	6.5,18,6.5,18,200,200	7,20,7,20,220,220	15,60,15,60,10000,10000	0,0.99,0.01,0.98,0.02,0.02	0,1,0.98,0.98,0.02,0	0,1,0.91,0.45,0.02,0	0,0.38,0.83,0.04,0.34,0.98	0,0.33,0.69,0.03,0.51,0.67	0.55,0.26,0,0,0.62,0.43	0.85,0.15,0,0,0.73,0.15	1,0.08,0,0,0.85,0	0.49,0.06,0,0,0.99,0.01	0,0.01,0,0,0.94,0.02
25	F	35	10	English	1,2,3,4,5,6	turtle,cheetah,giraffe,bird,elephant,hamster	speed,speed,height,weight,weight,height	lit,fig,fig,lit,fig,lit	slow,fast,tall,light,heavy,short	man,woman,man,woman,woman,man	man,woman,woman,man,woman,man	0,0,0,0,0,0	1,1,0.5,10,10,0.5	5,5,4,100,100,4	10,10,4.5,120,120,4.5	12,12,5,140,140,5	14,14,5.5,160,160,5.5	16,16,6,180,180,6	18,18,6.5,200,200,6.5	20,20,7,220,220,7	60,60,15,10000,10000,15	0.51,0.97,0.01,0.02,0.01,0.03	0.1,0.99,0.03,0.75,0.02,0.05	0.02,0.99,0.02,0.97,0.04,0.33	0.03,0.99,0.01,0.89,0.09,0.6	0.02,0.99,0.02,0.79,0.17,0.96	0.02,0.98,0.63,0.51,0.22,0.52	0.03,0.62,0.95,0.15,0.37,0.02	0.04,0.56,0.46,0,0.82,0.03	0.03,0.35,0.07,0.02,0.98,0.03	0.04,0.06,0.04,0.02,0.03,0.02
26	F	35	4	English	1,2,3,4,5,6	turtle,giraffe,elephant,cheetah,hamster,bird	speed,height,weight,speed,height,weight	fig,lit,lit,lit,fig,fig	slow,tall,heavy,fast,short,light	man,man,woman,woman,woman,man	man,woman,woman,man,man,woman	0,0,0,0,0,0	1,0.5,10,1,0.5,10	5,4,100,5,4,100	10,4.5,120,10,4.5,120	12,5,140,12,5,140	14,5.5,160,14,5.5,160	16,6,180,16,6,180	18,6.5,200,18,6.5,200	20,7,220,20,7,220	60,15,10000,60,15,10000	0.98,0.02,0.02,0.03,0.02,0.04	0.98,0.02,0.03,0.02,0.23,0.76	0.99,0.01,0.01,0.02,0.41,0.63	0.61,0.01,0.21,0.02,0.45,0.29	0.48,0.16,0.4,0.19,0.25,0.02	0.2,0.58,0.72,0.38,0.11,0.03	0.04,0.71,0.73,0.73,0.02,0.02	0.02,0.58,0.74,0.55,0.03,0.01	0.01,0.07,0.63,0.16,0.01,0.03	0.02,0.02,0.02,0.02,0.01,0.02
27	F	45	4	English	1,2,3,4,5,6	turtle,bird,elephant,hamster,giraffe,cheetah	speed,weight,weight,height,height,speed	fig,fig,lit,lit,fig,lit	slow,light,heavy,short,tall,fast	woman,man,woman,woman,man,woman	woman,woman,woman,man,man,man	0,0,0,0,0,0	1,10,10,0.5,0.5,1	5,100,100,4,4,5	10,120,120,4.5,4.5,10	12,140,140,5,5,12	14,160,160,5.5,5.5,14	16,180,180,6,6,16	18,200,200,6.5,6.5,18	20,220,220,7,7,20	60,10000,10000,15,15,60	0.96,0.03,0,0.02,0.03,0.99	0.66,0.99,0.02,0.56,0.02,0.97	0.02,0.48,0,0.98,0.01,0.98	0.02,0.03,0.2,0.98,0.03,0.99	0.02,0.01,0.41,0.98,0.01,0.67	0.03,0.02,0.67,0.12,0.03,0.02	0.02,0.05,0.98,0.04,0.99,0.01	0.02,0.01,0.99,0.01,0.98,0.03	0.02,0.02,0.98,0.01,0.98,0.04	0.01,0.03,0.04,0.01,0.03,0.02
28	M	45	8	english	1,2,3,4,5,6	cheetah,elephant,turtle,bird,giraffe,hamster	speed,weight,speed,weight,height,height	lit,lit,fig,fig,lit,fig	fast,heavy,slow,light,tall,short	man,woman,woman,woman,man,woman	woman,woman,man,man,woman,man	0,0,0,0,0,0	1,10,1,10,0.5,0.5	5,100,5,100,4,4	10,120,10,120,4.5,4.5	12,140,12,140,5,5	14,160,14,160,5.5,5.5	16,180,16,180,6,6	18,200,18,200,6.5,6.5	20,220,20,220,7,7	60,10000,60,10000,15,15	0.01,0,0,0,0,0	1,0,1,0,0,0	1,0.14,1,0.81,0,0.06	1,0.3,0.14,0.9,0,0.09	0.79,0.45,0,0.52,0.43,0.99	0.37,0.7,0,0.08,0.89,0.78	0.08,0.89,0,0.07,0.98,0.08	0,0.91,0,0,0.37,0	0,0,0,0,0,0	0,0,0,0,0,0
