animalID,animal,adjective,freq
19,cat,sneaky,2
19,cat,agile,1
19,cat,angry,1
19,cat,bitchy,1
19,cat,boring,1
19,cat,comfortable,1
19,cat,cuddly,1
19,cat,demanding,1
19,cat,devious,1
19,cat,evil,1
19,cat,feminine,1
19,cat,frisky,1
19,cat,fuzzy,1
19,cat,gentle,1
19,cat,graceful,1
19,cat,gross,1
19,cat,homely,1
19,cat,hungry,1
19,cat,interesting,1
19,cat,loner,1
19,cat,mysterious,1
19,cat,pest,1
19,cat,playful,1
19,cat,quick,1
19,cat,shifty,1
19,cat,shy,1
19,cat,sleek,1
19,cat,slick,1
19,cat,small,1
19,cat,stinky,1
19,cat,straight,1
19,cat,wacky,1
19,cat,whiskered,1
20,dog,loyal,21
20,dog,friendly,8
20,dog,furry,3
20,dog,adorable,2
20,dog,loving,2
20,dog,annoying,1
20,dog,barkey,1
20,dog,barking,1
20,dog,cute,1
20,dog,excitable,1
20,dog,fun,1
20,dog,happy,1
20,dog,loud,1
20,dog,obedient,1
20,dog,slobbery,1
20,dog,soft,1
20,dog,stupid,1
20,dog,tiny,1
20,dog,woof,1
21,kitten,cute,22
21,kitten,playful,6
21,kitten,soft,5
21,kitten,adorable,3
21,kitten,little,3
21,kitten,fluffy,2
21,kitten,small,2
21,kitten,baby,1
21,kitten,cuddly,1
21,kitten,fun,1
21,kitten,fuzzy,1
21,kitten,meow,1
21,kitten,precious,1
21,kitten,tiny,1
22,hyena,loud,7
22,hyena,funny,6
22,hyena,ugly,4
22,hyena,laughing,3
22,hyena,annoying,2
22,hyena,dangerous,2
22,hyena,evil,2
22,hyena,noisy,2
22,hyena,aggresive,1
22,hyena,cowardly,1
22,hyena,cute,1
22,hyena,deadly,1
22,hyena,devious,1
22,hyena,dirty,1
22,hyena,doglike,1
22,hyena,fierce,1
22,hyena,large,1
22,hyena,laugh,1
22,hyena,mean,1
22,hyena,mocking,1
22,hyena,nasty,1
22,hyena,opportunistic,1
22,hyena,quick,1
22,hyena,rodent,1
22,hyena,ruthless,1
22,hyena,scavenger,1
22,hyena,sly,1
22,hyena,sneaky,1
22,hyena,vicious,1
22,hyena,wild,1
23,dolphin,smart,15
23,dolphin,intelligent,5
23,dolphin,happy,4
23,dolphin,playful,3
23,dolphin,wet,3
23,dolphin,sleek,2
23,dolphin,alert,1
23,dolphin,cool,1
23,dolphin,curious,1
23,dolphin,friendly,1
23,dolphin,fun,1
23,dolphin,funny,1
23,dolphin,genius,1
23,dolphin,grey,1
23,dolphin,pretty,1
23,dolphin,seen,1
23,dolphin,silky,1
23,dolphin,silly,1
23,dolphin,slick,1
23,dolphin,slippery,1
23,dolphin,smooth,1
23,dolphin,sweet,1
23,dolphin,swimmer,1
24,snake,slithery,5
24,snake,long,4
24,snake,slimy,4
24,snake,deadly,3
24,snake,evil,3
24,snake,slippery,3
24,snake,sneaky,3
24,snake,dangerous,2
24,snake,scaley,2
24,snake,scaly,2
24,snake,scary,2
24,snake,slick,2
24,snake,sly,2
24,snake,smooth,2
24,snake,afraid,1
24,snake,bad,1
24,snake,cold,1
24,snake,crawl,1
24,snake,cunning,1
24,snake,fasinating,1
24,snake,gross,1
24,snake,icky,1
24,snake,scaled,1
24,snake,slimey,1
24,snake,slithering,1
25,deer,fast,4
25,deer,dumb,3
25,deer,gentle,3
25,deer,graceful,3
25,deer,timid,3
25,deer,cute,2
25,deer,quick,2
25,deer,quiet,2
25,deer,scared,2
25,deer,soft,2
25,deer,stupid,2
25,deer,swift,2
25,deer,adorable,1
25,deer,agile,1
25,deer,aware,1
25,deer,beautiful,1
25,deer,dainty,1
25,deer,docile,1
25,deer,elegant,1
25,deer,ethereal,1
25,deer,hoofed,1
25,deer,jittery,1
25,deer,jumpy,1
25,deer,meat,1
25,deer,pretty,1
25,deer,proud,1
25,deer,skittish,1
25,deer,slender,1
25,deer,smart,1
25,deer,speedy,1
25,deer,tall,1
26,sloth,slow,27
26,sloth,lazy,10
26,sloth,sleepy,4
26,sloth,funky,1
26,sloth,funny,1
26,sloth,fuzzy,1
26,sloth,laziest,1
26,sloth,scary,1
26,sloth,silent,1
26,sloth,ugly,1
26,sloth,underdog,1
26,sloth,weird,1
27,gorilla,big,10
27,gorilla,large,6
27,gorilla,hairy,5
27,gorilla,strong,5
27,gorilla,huge,4
27,gorilla,smart,3
27,gorilla,loud,2
27,gorilla,ugly,2
27,gorilla,angry,1
27,gorilla,beastly,1
27,gorilla,commanding,1
27,gorilla,dominant,1
27,gorilla,fat,1
27,gorilla,freaky,1
27,gorilla,independent,1
27,gorilla,intelligent,1
27,gorilla,mean,1
27,gorilla,poweful,1
27,gorilla,protective,1
27,gorilla,statley,1
27,gorilla,tough,1
28,bear,big,9
28,bear,strong,4
28,bear,large,3
28,bear,scary,3
28,bear,ferocious,2
28,bear,hungry,2
28,bear,loud,2
28,bear,angry,1
28,bear,brutish,1
28,bear,bulky,1
28,bear,burly,1
28,bear,cuddly,1
28,bear,cute,1
28,bear,fat,1
28,bear,fierce,1
28,bear,fluffy,1
28,bear,furry,1
28,bear,fuzzy,1
28,bear,growling,1
28,bear,growly,1
28,bear,huge,1
28,bear,imposing,1
28,bear,lazy,1
28,bear,massive,1
28,bear,mean,1
28,bear,powerful,1
28,bear,protective,1
28,bear,resourceful,1
28,bear,vicious,1
29,tiger,fierce,7
29,tiger,ferocious,5
29,tiger,striped,5
29,tiger,scary,4
29,tiger,strong,4
29,tiger,dangerous,2
29,tiger,fast,2
29,tiger,large,2
29,tiger,loud,2
29,tiger,majestic,2
29,tiger,angry,1
29,tiger,big,1
29,tiger,brave,1
29,tiger,fiercy,1
29,tiger,fierse,1
29,tiger,furious,1
29,tiger,furocious,1
29,tiger,mean,1
29,tiger,powerful,1
29,tiger,royal,1
29,tiger,soft,1
29,tiger,spotty,1
29,tiger,tight,1
29,tiger,vicious,1
