workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.time_in_minutes
11,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3GGAI1SQEVZIOIZJKZHDGPCU97KMCQ,11,Approved,Tue Jun 16 05:06:47 PDT 2015,Mon Jun 15 12:16:05 PDT 2015,Mon Jun 15 12:26:47 PDT 2015,Tue Jun 16 05:11:48 PDT 2015,,,,,10.638433333333333
12,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3DPNQGW4LLGD4B1C444E8V3KRUO46L,12,Approved,Tue Jun 16 05:10:03 PDT 2015,Mon Jun 15 12:16:08 PDT 2015,Mon Jun 15 12:30:03 PDT 2015,Tue Jun 16 05:11:48 PDT 2015,,,,,13.71355
13,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3X66WABAJWJUJ87EG38HAHO378UG3D,13,Approved,Tue Jun 16 05:12:54 PDT 2015,Mon Jun 15 12:16:00 PDT 2015,Mon Jun 15 12:32:54 PDT 2015,Tue Jun 16 05:16:49 PDT 2015,,,,,16.5014
14,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,33L7PJKHCGZKPAZQCK2K0HB3DOV8T7,14,Approved,Tue Jun 16 05:14:31 PDT 2015,Mon Jun 15 12:16:09 PDT 2015,Mon Jun 15 12:34:31 PDT 2015,Tue Jun 16 05:16:49 PDT 2015,,,,,15.029533333333333
15,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3RSDURM96ANXFX8BZTBJ08Z43TAYEK,15,Approved,Tue Jun 16 05:17:16 PDT 2015,Mon Jun 15 12:18:23 PDT 2015,Mon Jun 15 12:37:16 PDT 2015,Tue Jun 16 05:21:51 PDT 2015,,,,,16.484716666666667
16,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3TOK3KHVJTJ0C4PZ6YOFS79L3W7O7D,16,Approved,Tue Jun 16 05:22:38 PDT 2015,Mon Jun 15 12:22:40 PDT 2015,Mon Jun 15 12:42:38 PDT 2015,Tue Jun 16 05:26:53 PDT 2015,,,,,8.35065
17,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3H0W84IWBK3OIWWPLYJPSC6706YER1,17,Approved,Tue Jun 16 05:24:28 PDT 2015,Mon Jun 15 12:26:00 PDT 2015,Mon Jun 15 12:44:28 PDT 2015,Tue Jun 16 05:26:53 PDT 2015,,,,,4.109333333333334
18,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3DH6GAKTYYQVQSZ7VGPWLI0MRZMYZT,18,Approved,Tue Jun 16 05:36:28 PDT 2015,Mon Jun 15 12:30:38 PDT 2015,Mon Jun 15 12:56:28 PDT 2015,Tue Jun 16 05:36:52 PDT 2015,,,,,13.323783333333333
19,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3A4NIXBJ760BRMTPXCACJ82H3G3LMA,19,Approved,Tue Jun 16 05:43:35 PDT 2015,Mon Jun 15 12:42:58 PDT 2015,Mon Jun 15 13:03:35 PDT 2015,Tue Jun 16 05:46:50 PDT 2015,,,,,8.732266666666666
20,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3VW04L3ZLT7HLS9IP2F95JD2I1HXXT,20,Submitted,Thu Jun 18 05:35:30 PDT 2015,Wed Jun 17 12:49:08 PDT 2015,Wed Jun 17 12:55:30 PDT 2015,,,,,,5.347816666666667
21,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3PW9OPU9PQL8UBLSUK99KKF50D121V,21,Submitted,Thu Jun 18 05:35:37 PDT 2015,Wed Jun 17 12:48:57 PDT 2015,Wed Jun 17 12:55:37 PDT 2015,,,,,,6.595266666666666
22,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3OCHAWUVGOLB1SABQJ0KFP50MS2KXR,22,Submitted,Thu Jun 18 05:37:01 PDT 2015,Wed Jun 17 12:49:33 PDT 2015,Wed Jun 17 12:57:01 PDT 2015,,,,,,7.4364
23,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3IAS3U3I0FH9793KWH2YQWSEMPS2BE,23,Submitted,Thu Jun 18 05:38:21 PDT 2015,Wed Jun 17 12:49:47 PDT 2015,Wed Jun 17 12:58:21 PDT 2015,,,,,,8.520766666666667
24,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3TY7ZAOG5FL34240N7BD6BIPCLI0KD,24,Submitted,Thu Jun 18 05:38:23 PDT 2015,Wed Jun 17 12:48:51 PDT 2015,Wed Jun 17 12:58:23 PDT 2015,,,,,,4.8528
25,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3OWEPKL089DIUJPN5JO2DI9GEUSN74,25,Submitted,Thu Jun 18 05:38:29 PDT 2015,Wed Jun 17 12:50:08 PDT 2015,Wed Jun 17 12:58:29 PDT 2015,,,,,,8.325383333333333
26,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3ON104KXQKXBYQGIVMHI6P2XG464WS,26,Submitted,Thu Jun 18 05:38:50 PDT 2015,Wed Jun 17 12:51:07 PDT 2015,Wed Jun 17 12:58:50 PDT 2015,,,,,,7.64215
27,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3Q5C1WP23M20T84FC3B7IRIHKNS51Z,27,Submitted,Thu Jun 18 05:38:50 PDT 2015,Wed Jun 17 12:50:11 PDT 2015,Wed Jun 17 12:58:50 PDT 2015,,,,,,8.60805
28,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3QAVNHZ3EM5APLK009K7AH7HA7YALG,28,Submitted,Thu Jun 18 05:39:52 PDT 2015,Wed Jun 17 12:48:56 PDT 2015,Wed Jun 17 12:59:52 PDT 2015,,,,,,10.85635
29,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3VAR3R6G1P24CIUIG3GL675GFO48OS,29,Submitted,Thu Jun 18 05:40:02 PDT 2015,Wed Jun 17 12:49:46 PDT 2015,Wed Jun 17 13:00:02 PDT 2015,,,,,,5.108116666666667
30,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3OVR4I9USPK6ETKWJDICE0KBS3P4QO,30,Submitted,Thu Jun 18 05:41:34 PDT 2015,Wed Jun 17 12:49:14 PDT 2015,Wed Jun 17 13:01:34 PDT 2015,,,,,,12.263183333333334
31,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3N1FSUEFL51CPKGRERCSE1DC9O0D4S,31,Submitted,Thu Jun 18 05:41:49 PDT 2015,Wed Jun 17 12:50:09 PDT 2015,Wed Jun 17 13:01:49 PDT 2015,,,,,,11.607016666666667
32,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3SEPORI8WN0UUA14FABGIWIFPG6AZZ,32,Submitted,Thu Jun 18 05:42:01 PDT 2015,Wed Jun 17 12:50:26 PDT 2015,Wed Jun 17 13:02:01 PDT 2015,,,,,,11.548483333333333
33,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3PWWM24LHSZQ5B5DT5IOZU2DEJ728F,33,Submitted,Thu Jun 18 05:42:46 PDT 2015,Wed Jun 17 12:49:42 PDT 2015,Wed Jun 17 13:02:46 PDT 2015,,,,,,12.997
34,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3X3OR7WPZZ1W6XRL3B0TEQ1MKJZ8LB,34,Submitted,Thu Jun 18 05:44:34 PDT 2015,Wed Jun 17 12:49:27 PDT 2015,Wed Jun 17 13:04:34 PDT 2015,,,,,,14.9282
